token_0,token_1,token_2,token_3,token_4,token_5,label
Dg,Tr,Tg,Cg,Tg,Cr,1
Cg,Sr,Tg,Dr,Dg,Sg,0
Dg,Tg,Dr,Tg,Tg,Dg,1
Cr,Tr,Tr,Cg,Sr,Cg,0
Sg,Cg,Tr,Tg,Dr,Sg,0
Cr,Dg,Cg,Sg,Cg,Sr,0
Cg,Sr,Tr,Sg,Cg,Sg,1
Sg,Dr,Sr,Cg,Tg,Sg,0
Dr,Cr,Dr,Cg,Sg,Tg,1
Tg,Sg,Dr,Cg,Cr,Tr,0
Tg,Dg,Cg,Cg,Cr,Sr,1
Sr,Sg,Sr,Dr,Sg,Tg,0
Sg,Sr,Tr,Sr,Sr,Tg,1
Sg,Dg,Dr,Dg,Cr,Tr,1
Cg,Cg,Sg,Sg,Cr,Sr,1
Dg,Cr,Cr,Sg,Sr,Dg,1
Dg,Cr,Cg,Tr,Cg,Cg,0
Sg,Cg,Tr,Dr,Cg,Cg,1
Dg,Dr,Sg,Dr,Dr,Dr,0
Cr,Sg,Sg,Cr,Sr,Sr,0
Cg,Sg,Sr,Tr,Dr,Sg,1
Tr,Cg,Dr,Tg,Sg,Sr,1
Tg,Dg,Dr,Sr,Dg,Cr,0
Tg,Dr,Dr,Sg,Dr,Tg,0
Cr,Sr,Cg,Sr,Cg,Dg,1
Dg,Tr,Sg,Cr,Cg,Dg,0
Tg,Cg,Sg,Tr,Tg,Cr,0
Sr,Dg,Cr,Cg,Sr,Tg,0
Tg,Tg,Sg,Tr,Tg,Tg,1
Cr,Dr,Cg,Sr,Cr,Sg,1
Dg,Sr,Cr,Tg,Sr,Tr,1
Dg,Cg,Sg,Sg,Sg,Sg,0
Dg,Tr,Cr,Cg,Cr,Dr,0
Tg,Cr,Sr,Cr,Tg,Sg,0
Dr,Tg,Tg,Dr,Cg,Cg,1
Cr,Cg,Sg,Dg,Dg,Dg,0
Cr,Tg,Sr,Sr,Cr,Tr,1
Sg,Sr,Tr,Sg,Tr,Cg,0
Tg,Cg,Tg,Cr,Tr,Dr,1
Cr,Dr,Dg,Cg,Tg,Sg,1
Cr,Dr,Dr,Cg,Tg,Tr,0
Cr,Sr,Cr,Sg,Dr,Sr,0
Dr,Sg,Cg,Cg,Cg,Dg,0
Dg,Dr,Sr,Cg,Sr,Dg,1
Tr,Dg,Cg,Cg,Cg,Cr,0
Tr,Cr,Tg,Cr,Sr,Dr,1
Cg,Tg,Tg,Sr,Sr,Tr,0
Tg,Cg,Tg,Tg,Tr,Dg,1
Tr,Dg,Cg,Cg,Dr,Sg,0
Tg,Tg,Cg,Tr,Sg,Sr,0
Sg,Cr,Sr,Dr,Cr,Sr,1
Sg,Cg,Dg,Tr,Tg,Tr,1
Cg,Sr,Dg,Dg,Sg,Tr,1
Sr,Sr,Cr,Dg,Tg,Dr,1
Dr,Cg,Cr,Dg,Tg,Dg,1
Dg,Tr,Tr,Sr,Cr,Sr,1
Sg,Sr,Cr,Cg,Cg,Cr,1
Tr,Cg,Cr,Dr,Dg,Tr,0
Sr,Cr,Cg,Tr,Dr,Cr,0
Cg,Dr,Cg,Sg,Tr,Cr,1
Sr,Tr,Cg,Tg,Cg,Cg,0
Sg,Cg,Dr,Dr,Dg,Tr,1
Sr,Sg,Sr,Cg,Cg,Cg,1
Dr,Tr,Cg,Dg,Sr,Dg,0
Sr,Cg,Dg,Dr,Cr,Cg,0
Dg,Cr,Dg,Tg,Tr,Cr,1
Dr,Cg,Dr,Sr,Sr,Dg,1
Tg,Tg,Tg,Cr,Cr,Sg,0
Sr,Sr,Dr,Cr,Sg,Sg,0
Cg,Tr,Cg,Cg,Dg,Tg,1
Sr,Dg,Sg,Sr,Sg,Dg,0
Dg,Dr,Dg,Sr,Tg,Sr,0
Sr,Cg,Cg,Tr,Tg,Tr,1
Dg,Tg,Cg,Dg,Sr,Sg,0
Cr,Sr,Tr,Cg,Sr,Sg,1
Dr,Dr,Tg,Sg,Dr,Dr,1
Sr,Dr,Dg,Dr,Sr,Dg,1
Cg,Tr,Dr,Cr,Tr,Sg,1
Sg,Sr,Sr,Dr,Cg,Sg,0
Cr,Sg,Sr,Dg,Tg,Tr,1
Dg,Tr,Sr,Dg,Dg,Tg,0
Tr,Cg,Tr,Tr,Cg,Tr,1
Sg,Dr,Dg,Tg,Tr,Tr,1
Sr,Sr,Dr,Tr,Tr,Tr,1
Sr,Cr,Sr,Tg,Dg,Cg,0
Cr,Dr,Sr,Tg,Tg,Cr,1
Sr,Cg,Dg,Tg,Sr,Tg,1
Sg,Cr,Cg,Sr,Dg,Tr,1
Dr,Sr,Tg,Sr,Sg,Sr,0
Sg,Cg,Tr,Sr,Dr,Cr,1
Sg,Tg,Dg,Dg,Tr,Tr,0
Tr,Dr,Cr,Tg,Cg,Cr,0
Cg,Sg,Sr,Sg,Sg,Cr,0
Dr,Sr,Dr,Sg,Dg,Cr,0
Sr,Dg,Cg,Tr,Cr,Dg,1
Dg,Cg,Sr,Cg,Tr,Cg,1
Sg,Tg,Sr,Sg,Tr,Tg,0
Sr,Sr,Dr,Sr,Cg,Cr,1
Cr,Dg,Dr,Dr,Tg,Tr,1
Tg,Cr,Sg,Cr,Cg,Dg,1
Dg,Tr,Dr,Sg,Cr,Cg,1
Cr,Dr,Cr,Cg,Tg,Sg,1
Dr,Cg,Dr,Dg,Cr,Cg,0
Dg,Sr,Tr,Tr,Cr,Dr,1
Sr,Sr,Sg,Sr,Tg,Sg,0
Tr,Dr,Dg,Tg,Sg,Dr,0
Sr,Sg,Dr,Sr,Tg,Sr,0
Tr,Cr,Dr,Dr,Tr,Cg,0
Dg,Sr,Dg,Sg,Cg,Cr,0
Sr,Sr,Dg,Sg,Dr,Tg,0
Tg,Dr,Sr,Tg,Sr,Sr,1
Tg,Sg,Cg,Sr,Tr,Tr,1
Tg,Dr,Sr,Cg,Sr,Dr,0
Cr,Dr,Dg,Dg,Sr,Sg,1
Sr,Sr,Cr,Tg,Tr,Tr,0
Dg,Cg,Sg,Dr,Sr,Tg,1
Tg,Dr,Tr,Cr,Sr,Cg,1
Sg,Dr,Tg,Tg,Dr,Tg,1
Tg,Tr,Sg,Cg,Tr,Tr,1
Tg,Sg,Dg,Cr,Tr,Cr,1
