feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,label
0.0247,2.0485,-0.1639,1.4936,-1.2193,-0.0673,0.2135,0.1115,0.3245,0.1079,0.5982,0.092,-0.6495,-1.0706,-1.3588,-0.2764,-0.9077,0.8906,-0.7398,1.4388,-0.085,0.0249,-1.3018,-0.5972,0.6981,1.522,-0.893,0.9718,-0.8625,1.0815,1.719,-1.2031,1
0.4971,-1.9127,-0.4915,-0.6469,-0.9139,-0.4207,-1.6086,0.6565,-0.9409,1.0076,2.5059,-1.2791,-0.5922,1.8632,0.6173,-0.797,0.0555,0.8924,-0.5339,0.6321,0.1123,0.362,-0.5792,-1.8778,-0.1481,-1.3005,0.5252,0.7318,1.7762,-0.0328,-0.5131,-0.4494,1
-1.375,-0.7769,-0.9874,-0.9929,-0.3329,1.2856,-0.1541,-0.6087,-1.6204,-0.7825,-0.9657,1.1935,-1.1357,0.5115,0.8379,-0.5777,1.3086,-1.1645,1.2389,-0.0655,-0.698,-0.683,0.6723,0.4884,0.0481,-1.6945,-0.441,-2.2796,0.0192,-1.8802,-0.2743,-0.2225,3
0.7034,0.0385,0.7407,-2.5227,0.6503,0.9558,0.1285,0.7829,1.8154,-0.609,-0.358,-2.36,0.2433,0.8809,-0.4047,0.5035,0.5516,0.3394,1.1269,-0.365,-0.607,-0.1786,0.9415,-0.2261,0.0861,-0.0769,-0.0516,-0.0679,-0.5494,-0.2652,-1.7891,0.8133,0
0.4227,-1.4926,0.6801,0.047,0.2923,1.0572,-0.549,0.9195,1.3595,0.0856,1.1539,-1.8254,0.0279,-0.8354,-1.3403,0.1946,-0.3814,0.2349,-0.0712,1.1532,1.6804,-1.1677,0.4721,0.8882,0.3683,-0.5977,-0.6487,-0.0907,-1.4693,0.8746,-0.8457,1.2839,3
1.9377,0.2366,-1.4698,-0.4116,-1.1618,-0.8904,0.2859,-0.1666,-0.3223,-0.7805,-1.4307,-1.6401,-1.109,-1.8485,0.3036,-1.0208,1.7267,0.0011,1.3229,0.6009,-0.6678,0.5822,0.1674,-0.9406,-0.016,1.5737,0.6944,2.4015,-1.3509,0.4078,-0.3597,0.5004,2
-0.1467,0.1442,-0.3257,1.2134,-1.1174,-1.4611,-0.5394,-0.4002,0.0679,0.1654,-0.1665,-0.4446,0.4242,-0.6853,0.3274,0.7229,1.196,0.4746,-0.623,1.4353,-0.5951,-0.4636,-1.27,-1.2278,-0.8171,-0.4018,-1.438,-0.0269,1.8964,1.9229,-1.7304,-0.7525,1
-0.726,0.2252,-1.1252,1.0591,-0.5233,0.6438,-1.1346,0.4844,0.8966,0.6624,1.4967,0.5045,-0.9978,-1.016,-0.6585,-0.2199,1.0059,1.6662,1.9453,-0.2163,0.4824,-0.361,-0.9626,-0.0652,0.931,0.6404,2.1891,0.0176,1.112,1.0253,0.3336,0.3262,0
-0.5234,0.4457,-0.4897,-0.5682,-0.1034,-0.702,0.4756,-1.8565,0.6,-0.999,-0.4568,0.3297,0.2732,1.5746,-1.238,0.4477,0.5255,1.9202,-0.8771,0.5837,0.069,-0.6345,-0.0464,0.4303,-0.9869,-0.2834,1.1741,-0.3299,-0.9722,-0.3625,1.1394,-1.2268,2
0.0884,1.8746,0.257,-0.9765,-0.0732,0.8688,0.2975,0.3401,0.7917,-1.8488,2.2168,-1.6877,0.5892,-0.8469,1.2455,0.6557,1.1767,-0.4931,0.0278,-1.4369,-0.5752,-0.7327,-1.0878,-0.2442,-0.8654,0.0748,-0.0319,0.5623,0.5034,-1.2649,-0.0455,-0.2943,3
-1.2304,1.1592,-0.7741,-1.193,-0.224,2.3793,0.2846,-1.337,2.9037,1.1574,-0.3743,0.9017,0.4952,1.1916,-0.1388,-0.4629,0.9001,0.7975,-1.1956,0.9315,1.1775,-2.0651,-2.0498,0.2898,-0.259,1.6124,0.193,0.5042,1.0143,-0.1987,-2.205,0.6508,1
-0.3874,-1.0718,-1.9191,-0.1127,-0.6188,0.3244,1.0256,-1.2162,2.4117,1.7829,0.7658,-0.8601,0.2951,0.449,-2.1841,0.2225,0.2063,1.0888,1.4014,0.3123,-0.0423,0.0568,-1.2331,-0.7885,-1.4168,0.8059,-0.2136,-0.4926,1.6084,-0.1788,0.7703,0.8629,3
-0.9462,0.5983,0.2089,-1.7688,0.5567,-0.2641,0.1445,1.2294,1.1093,-0.1619,0.3522,1.0912,-0.7908,0.3344,0.864,1.6014,1.5789,-1.0955,1.1829,-0.6096,0.6578,-0.5146,-0.561,-0.4953,0.8793,-0.4183,-0.0084,0.3361,0.4379,0.7308,-1.3411,-0.3066,0
-0.5956,0.3721,0.9468,0.4721,-1.7188,0.1297,-0.3175,-0.502,-0.3951,0.1451,1.0081,-0.6757,0.8854,0.6938,-0.1445,0.3421,-0.0336,0.431,-0.4071,0.283,-0.2898,0.7099,2.1,-1.0097,-0.2042,-0.8053,0.1566,-1.0323,-0.1306,-0.7195,-1.3236,0.2683,0
-0.9428,-1.3505,0.1849,-0.2693,0.9686,0.2048,0.439,-0.2508,0.7993,-0.4548,0.1853,0.1402,1.1143,0.1712,-0.0519,-1.4952,-1.3174,1.5424,-1.046,-0.5501,1.1672,-1.0743,-0.0737,0.0632,2.167,-0.5681,0.2614,-0.4799,1.2252,1.3296,0.3763,-0.2484,1
-1.1944,0.0723,1.4035,1.1207,-1.0984,-0.4039,0.1929,-0.0933,1.6798,-0.1462,1.4861,-2.3281,0.8278,-0.8925,-0.3521,1.691,1.2515,0.7202,-0.8359,0.4963,1.0517,0.5573,-1.2401,-0.8067,-0.5551,-0.4864,-2.6255,0.2459,-1.0567,-0.0704,1.0452,-2.1394,2
-0.2169,-1.188,0.8043,-0.5208,-0.7833,0.1627,1.4054,0.4037,0.255,-0.4696,-0.9923,-1.567,-0.0689,1.0161,0.6258,-1.2273,2.1523,-0.0635,-0.0927,-0.6549,0.871,0.7661,-0.6864,-1.0872,-0.9464,-0.1108,0.4364,-0.162,0.4226,2.839,1.2517,-0.5698,0
-1.1876,0.4914,-2.6361,0.2309,-0.4997,2.2284,-0.1806,-1.5764,0.0503,0.0731,1.309,-0.1963,0.4815,-1.0049,0.9808,-1.5796,3.3864,0.8628,1.6276,-0.5819,-1.0055,0.6361,-0.2028,0.3501,1.8064,1.2446,0.106,-0.1951,0.5962,-0.0438,0.6155,-0.4987,1
-0.806,1.6527,-1.7893,-0.5817,-1.1616,-0.7614,1.8764,1.7699,0.2304,2.1627,-2.7882,0.8446,-2.0788,1.4942,0.7345,0.2567,-0.2437,1.31,2.5914,-0.3871,-0.3373,-0.9205,-0.5245,-0.2121,-1.7437,-1.4948,0.5856,-1.047,1.9888,-0.173,-0.3665,-0.4459,0
2.1605,0.7257,0.7868,0.0927,-0.9372,-0.0518,1.9391,-0.8504,1.3635,-0.3748,1.2329,0.2377,2.281,1.08,-0.9903,-2.8924,-0.7888,2.0371,-0.2993,-1.0944,0.776,-0.0462,-1.0234,-0.0716,-1.7147,-0.919,-1.2567,-0.4197,-0.6968,-1.5272,1.0438,-0.6191,1
-2.2402,1.0787,-0.1086,0.9652,0.1376,0.4575,-0.8813,1.4423,1.1079,0.9503,1.5426,-0.1164,-0.9031,-0.2012,0.4005,-1.1372,1.9214,0.0718,0.332,2.3445,-0.5168,0.4119,-0.6552,-0.8138,-0.7264,-0.005,-0.774,-1.5782,1.0973,-2.1743,0.19,-0.6446,0
