id,sym_seq,default_flag
0,ADAA12CD1CDCDC2CA1DA,0
1,11BC1CCCBCBB2ACDBAB2,0
2,ACBCCCACBB1D222A2BDC,0
3,C2D211C1BBBAB12B2D1B,1
4,2DAC2AD22ACBDDCCA12B,0
5,D12ABDCDDCCDCAB111D1,0
6,12ADCADAA1ACC2CCBBCC,0
7,AB2B2CABCDA2ADBB12AC,0
8,A1A2ADACDDABA2CAA22C,0
9,1ADAD2111AA2DDB2DAC1,1
10,2BA12AB21C2BC122A2B2,1
11,AA12BA22DA2D21CABADB,0
12,1AADCB1DD1ABDBA2CDA1,1
13,BD1C1121CBB1C121B212,1
14,D12BAABDABCDCB2D1C22,0
15,11AADA11BC2A2D2DAA1B,0
16,B1B2AAC1AC211D1C1B1C,0
17,C1CBAD1C1C2ADDD1A121,1
18,1BC12DAAAAAAACC221BA,1
19,C1DC1ACCBDA1D11CABB1,0
20,D21DC1BB2211BBAACA12,1
21,A1CA2AB1BAACB21B11BB,1
22,BA2CCBADD21CCCCCA1AA,0
23,BAAB12CCC1ACACBD22DC,1
24,1ADC1D2CA1A2BAD2BB21,0
25,BD2CAAABDCCBBBBDDDC2,0
26,2CCDACBBB2AD1B1AB1DC,0
27,CACBCBADCD21ABAAD1A1,1
28,2BC12DAC1B11DDB12ABC,0
29,AD2ACC12BA1CA1D11DB1,1
30,D2DD112DCCACBCA2AD22,1
31,21BD1C1ABBABDBC1DACA,1
32,C2B2122ACCDBDA21C1BA,0
33,AADC1221BDBCDAAAA2AB,0
34,111AC2DDAD11CCAB1B2C,0
35,B12B2ADD2B1ADA21A1A1,1
36,BBD1DCBBDDC2B2CBA11A,0
37,2CBAA2A2BBDACCD1C222,0
38,2DDA22BBABCDDADBDADA,1
39,BBDCADCB1122DC1ACB1A,0
40,DCD2CAA2CA2DA2BCBD1B,1
41,1BBC1CA1CCAA1DCCDA12,1
42,DCDADDBB112BDD2CB1C1,0
43,C2D22CAD1C2BB1CCADAC,1
44,AA1C1DA1BCC2DBA12B1B,0
45,BBAB21BC2BBDA2BC1DAD,0
46,C2CACAD11BDCD2A1CBDD,0
47,B1A2C1BDB2CDAD1B2CCD,0
48,AD1A1CAB1112CBADC2BC,0
49,BD1BCBDCB12B112D1B1C,0
50,2CDAC1CD1DAB1B22A212,1
51,BBA2CAB22DABDAB12DBC,0
52,B2ABDCC1ACA1111A111B,0
53,DD21CADCA2D22DA1BD2B,1
54,CC2ADDA12DBCDB2C1C1A,0
55,ACBBDDA22CABDB1AB2C2,1
56,A1BD1ABDBA2BACAD1112,0
57,BBB112BCC1CADCB1AC2C,1
58,BD1C11BB22C11BC1BBBB,0
59,ABBDAB21D21B22ABBCB1,1
60,CB2C12C1ADAB1B2BAB1A,0
61,DBDCABC1212BCA112DD1,1
62,CDD11CDB12C112DB111D,1
63,AC111AD1BB1A1A212DBB,0
64,CBB1DD21C2D1D11AD2DC,0
