freq_A,freq_B,freq_C,freq_D,freq_1,freq_2,first_char_A,first_char_B,first_char_C,first_char_D,first_char_1,first_char_2,last_char_A,last_char_B,last_char_C,last_char_D,last_char_1,last_char_2,count_AB,count_BA,count_CD,count_DC,count_12,count_21,letter_number_transitions,max_run_length,num_runs,entropy,letter_ratio,number_ratio
5,0,5,5,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,1,0,8,2,19,2.242737648613667,0.75,0.25
2,6,6,1,3,2,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,6,3,16,2.3332062193464953,0.75,0.25
3,4,6,2,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,6,3,15,2.408694969562842,0.75,0.25
1,6,2,2,5,4,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,12,3,17,2.365957320949175,0.55,0.45
4,2,4,4,1,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,7,2,17,2.4414460711655215,0.7,0.3
2,2,4,6,5,1,0,0,0,1,0,0,0,0,0,0,1,0,2,0,2,3,1,0,5,3,16,2.365957320949175,0.7,0.3
5,2,7,2,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,5,2,15,2.3588718484453604,0.8,0.2
5,5,3,2,1,4,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,8,2,19,2.4232196723355077,0.75,0.25
8,1,3,3,1,4,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,8,2,17,2.2464393446710154,0.75,0.25
5,1,1,5,5,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,8,3,16,2.3427376486136673,0.6,0.4
3,4,2,0,3,8,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,2,1,12,2,19,2.1464393446710153,0.45,0.55
6,3,1,3,2,5,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,1,8,2,18,2.390468570732828,0.65,0.35
5,3,2,5,4,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,8,2,18,2.4232196723355077,0.75,0.25
0,4,3,1,8,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,9,2,18,2.0841837197791886,0.4,0.6
3,4,3,4,2,4,0,0,0,1,0,0,0,0,0,0,0,1,2,1,1,1,1,0,7,2,18,2.5464393446710156,0.7,0.3
6,2,1,3,5,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,11,2,16,2.3904685707328284,0.6,0.4
3,3,4,1,7,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,14,2,18,2.363865121950854,0.55,0.45
3,1,4,4,6,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,11,3,18,2.4086949695628417,0.6,0.4
8,2,3,1,3,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,5,7,12,2.308694969562842,0.7,0.3
3,3,5,3,6,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,9,2,17,2.252724195624655,0.7,0.3
3,4,2,2,5,4,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,2,7,2,15,2.503701696057348,0.55,0.45
5,6,2,0,5,2,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,10,2,17,2.1854752972273346,0.65,0.35
5,2,7,2,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,6,5,13,2.3588718484453604,0.8,0.2
4,3,6,2,2,3,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,6,3,16,2.4709505944546684,0.75,0.25
4,3,2,3,4,4,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,12,2,19,2.5464393446710156,0.6,0.4
3,6,4,5,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,3,4,12,2.2282129458410016,0.9,0.1
3,5,4,3,3,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,9,3,17,2.528212945841002,0.75,0.25
6,3,4,3,3,1,0,0,1,0,0,0,0,0,0,0,1,0,1,2,1,1,0,1,5,2,19,2.433206219346495,0.8,0.2
2,4,3,3,5,3,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2,0,9,2,18,2.5282129458410014,0.6,0.4
4,2,3,3,6,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,11,2,18,2.4709505944546684,0.6,0.4
3,1,4,5,2,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,7,2,16,2.4232196723355077,0.65,0.35
4,5,3,3,4,1,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,1,7,2,19,2.4659573209491747,0.75,0.25
3,3,4,2,3,5,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,2,8,2,18,2.5282129458410014,0.6,0.4
7,3,2,3,2,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,4,4,15,2.426120746842681,0.75,0.25
3,2,4,3,6,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,9,3,15,2.4709505944546684,0.6,0.4
5,3,0,3,5,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,13,2,19,2.2854752972273342,0.55,0.45
2,6,3,4,3,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,8,2,16,2.4709505944546684,0.75,0.25
4,3,4,2,1,6,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,8,3,15,2.4086949695628417,0.65,0.35
5,4,1,7,0,3,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,3,2,16,2.1211274733371868,0.85,0.15
3,4,4,3,4,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,6,2,17,2.546439344671015,0.7,0.3
4,3,4,4,1,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,10,2,19,2.484183719779189,0.75,0.25
4,2,6,2,5,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,8,2,16,2.3659573209491747,0.7,0.3
1,4,3,6,4,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,7,2,16,2.4086949695628417,0.7,0.3
3,2,6,3,2,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,2,17,2.4709505944546684,0.7,0.3
4,4,3,2,5,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,12,2,18,2.503701696057348,0.65,0.35
3,7,2,3,2,3,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,8,2,18,2.42612074684268,0.75,0.25
3,2,5,5,3,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,8,2,18,2.485475297227334,0.75,0.25
2,4,4,4,3,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,12,2,19,2.546439344671015,0.7,0.3
4,3,4,2,5,2,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,8,3,18,2.503701696057348,0.65,0.35
0,6,3,3,6,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,10,2,19,2.195461844238322,0.6,0.4
3,2,3,3,4,5,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0,1,1,10,2,19,2.5282129458410014,0.55,0.45
4,6,2,3,1,4,0,1,0,0,0,0,0,0,1,0,0,0,3,1,0,0,1,0,6,2,18,2.408694969562842,0.75,0.25
4,3,3,1,8,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,8,4,14,2.2464393446710154,0.55,0.45
3,2,2,6,2,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,10,2,18,2.428212945841002,0.65,0.35
3,2,5,4,3,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,10,2,18,2.5282129458410014,0.7,0.3
4,5,3,3,1,4,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,7,2,17,2.4659573209491747,0.75,0.25
5,4,1,3,5,2,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,7,3,18,2.4232196723355077,0.65,0.35
2,5,6,1,4,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,8,3,16,2.3659573209491747,0.7,0.3
0,8,3,1,6,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,4,13,2.008694969562842,0.6,0.4
