feature,importance
entropy,0.0907923649303204
letter_number_transitions,0.07172629972463503
freq_2,0.05823238292260413
freq_1,0.05542156464139454
num_runs,0.054960633565230316
freq_D,0.05430760677063578
number_ratio,0.05355084998699266
freq_A,0.05316129024281623
freq_C,0.05275534486254002
freq_B,0.049695279399571336
letter_ratio,0.04609156296890622
count_21,0.03974516757657867
count_DC,0.03623885527015592
count_CD,0.0344489402416594
count_BA,0.02480908876011213
count_12,0.02468467945673768
max_run_length,0.023329102350789048
count_AB,0.019784417158497884
last_char_1,0.019099467437007408
last_char_A,0.016488956641898186
first_char_C,0.01611655583255104
first_char_D,0.015868852007442348
last_char_C,0.014323957114114681
last_char_B,0.012607335842415244
first_char_1,0.01101206545446926
first_char_A,0.010739389550020701
first_char_2,0.010620328265125923
last_char_2,0.010535022623843046
first_char_B,0.010202534647602117
last_char_D,0.008650103753332628
