Model,Test_Balanced_Accuracy,Test_AUC
LR_count,0.5665007112375533,0.5368065433854908
LR_char_3-6,0.552275960170697,0.5540540540540541
NB_char_3-6,0.5385846372688479,0.555832147937411
NB_count,0.5327169274537695,0.5403627311522048
NB_char_2-5,0.5316500711237554,0.564900426742532
RF_char_3-6,0.5241820768136558,0.5369843527738264
LR_char_2-5,0.5190256045519204,0.5515647226173541
NB_word,0.4850640113798008,0.4965327169274537
RF_word,0.46603840682788056,0.46310455192034145
LR_word,0.4658605974395448,0.48284139402560455
RF_count,0.465149359886202,0.4875533428165007
RF_char_2-5,0.4647937411095306,0.47315078236130864
