metric,change,is_improvement,category,a_value,b_value
[OFFLINE] Sensitivity Critical Esi12,7.3,True,Offline,0.812,0.871
[OFFLINE] Specificity Non Urgent,-6.8,False,Offline,0.706,0.658
[OFFLINE] Auroc Acuity Score,3.7,True,Offline,0.881,0.914
[OFFLINE] Mean Absolute Calibration Error,49.4,False,Offline,0.079,0.118
[OFFLINE] Disposition Agreement With Attending Pct,-21.9,False,Offline,78.4,61.2
[ONLINE] Median Time To Physician Min,-14.8,True,Online,41.8,35.6
[ONLINE] Lwbs Rate,64.9,False,Online,2.05,3.38
[ONLINE] Unscheduled Return 72H,36.6,False,Online,4.18,5.71
[ONLINE] Clinician Override,69.8,False,Online,8.35,14.18
[ONLINE] Patient Complaint Rate,127.3,False,Online,0.11,0.25
