timestamp_utc,asset_id,zone,vibration_rms_mm_s,peak_accel_g,bearing_temp_c,rpm,load_pct,quality_flag
2024-01-01 00:00:00,PUMP_A1,ZONE_A,2.82,4.273,71.29,1817,66.8,GOOD
2024-01-01 00:15:00,PUMP_A1,ZONE_A,2.495,3.833,68.71,1810,72.6,GOOD
2024-01-01 00:30:00,PUMP_A1,ZONE_A,2.306,3.574,68.02,1737,64.7,GOOD
2024-01-01 00:45:00,PUMP_A1,ZONE_A,3.422,5.366,71.53,1777,70.5,GOOD
2024-01-01 01:00:00,PUMP_A1,ZONE_A,2.442,3.834,70.92,1778,66.3,GOOD
2024-01-01 01:15:00,PUMP_A1,ZONE_A,2.268,3.6,70.12,1791,69.7,GOOD
2024-01-01 01:30:00,PUMP_A1,ZONE_A,2.605,3.987,68.48,1826,68.6,GOOD
2024-01-01 01:45:00,PUMP_A1,ZONE_A,2.261,3.411,67.39,1751,63.4,SUSPECT
2024-01-01 02:00:00,PUMP_A1,ZONE_A,2.971,4.476,71.65,1775,71.6,GOOD
2024-01-01 02:15:00,PUMP_A1,ZONE_A,2.627,4.267,69.44,1745,74.0,GOOD
2024-01-01 02:30:00,PUMP_A1,ZONE_A,2.785,4.384,69.31,1797,73.5,GOOD
2024-01-01 02:45:00,PUMP_A1,ZONE_A,2.485,3.735,67.66,1921,63.9,GOOD
2024-01-01 03:00:00,PUMP_A1,ZONE_A,2.507,4.113,67.5,1803,59.8,GOOD
2024-01-01 03:15:00,PUMP_A1,ZONE_A,2.782,4.58,70.81,1792,67.6,GOOD
2024-01-01 03:30:00,PUMP_A1,ZONE_A,2.474,3.85,69.36,1803,74.5,GOOD
2024-01-01 03:45:00,PUMP_A1,ZONE_A,2.542,4.529,68.94,1704,71.4,GOOD
2024-01-01 04:00:00,PUMP_A1,ZONE_A,2.743,4.188,69.8,1867,72.1,GOOD
2024-01-01 04:15:00,PUMP_A1,ZONE_A,2.653,3.993,67.91,1761,66.3,GOOD
2024-01-01 04:30:00,PUMP_A1,ZONE_A,2.66,4.06,68.12,1793,72.8,GOOD
2024-01-01 04:45:00,PUMP_A1,ZONE_A,2.448,3.923,72.0,1772,75.1,GOOD
2024-01-01 05:00:00,PUMP_A1,ZONE_A,2.682,4.027,68.65,1764,70.2,GOOD
2024-01-01 05:15:00,PUMP_A1,ZONE_A,2.788,4.872,67.59,1823,66.9,GOOD
2024-01-01 05:30:00,PUMP_A1,ZONE_A,2.905,4.56,68.25,1771,71.4,GOOD
2024-01-01 05:45:00,PUMP_A1,ZONE_A,2.233,3.674,70.66,1788,72.0,GOOD
2024-01-01 06:00:00,PUMP_A1,ZONE_A,2.497,4.317,70.69,1809,76.7,GOOD
2024-01-01 06:15:00,PUMP_A1,ZONE_A,2.957,4.747,71.68,1806,68.9,GOOD
2024-01-01 06:30:00,PUMP_A1,ZONE_A,2.946,4.629,70.69,1841,70.9,GOOD
2024-01-01 06:45:00,PUMP_A1,ZONE_A,2.922,4.78,69.71,1750,71.1,GOOD
2024-01-01 07:00:00,PUMP_A1,ZONE_A,2.992,4.494,72.81,1790,90.5,GOOD
2024-01-01 07:15:00,PUMP_A1,ZONE_A,2.594,4.368,72.48,1795,80.6,GOOD
2024-01-01 07:30:00,PUMP_A1,ZONE_A,2.708,4.087,70.14,1807,70.7,GOOD
2024-01-01 07:45:00,PUMP_A1,ZONE_A,2.966,4.56,72.97,1838,77.2,GOOD
2024-01-01 08:00:00,PUMP_A1,ZONE_A,2.89,4.597,77.82,1818,81.3,GOOD
2024-01-01 08:15:00,PUMP_A1,ZONE_A,2.377,3.781,68.43,1808,79.6,GOOD
2024-01-01 08:30:00,PUMP_A1,ZONE_A,2.852,4.287,67.17,1883,69.4,GOOD
2024-01-01 08:45:00,PUMP_A1,ZONE_A,3.172,5.001,71.95,1767,77.1,GOOD
2024-01-01 09:00:00,PUMP_A1,ZONE_A,3.346,5.951,73.05,1801,77.0,GOOD
2024-01-01 09:15:00,PUMP_A1,ZONE_A,2.571,3.863,68.07,1837,77.2,GOOD
2024-01-01 09:30:00,PUMP_A1,ZONE_A,2.4,3.672,71.23,1818,84.6,GOOD
2024-01-01 09:45:00,PUMP_A1,ZONE_A,2.888,4.469,75.58,1834,86.6,GOOD
2024-01-01 10:00:00,PUMP_A1,ZONE_A,2.843,4.291,72.44,1845,78.0,GOOD
2024-01-01 10:15:00,PUMP_A1,ZONE_A,2.134,3.453,68.51,1753,81.0,GOOD
2024-01-01 10:30:00,PUMP_A1,ZONE_A,3.032,4.592,70.94,1851,74.3,GOOD
2024-01-01 10:45:00,PUMP_A1,ZONE_A,2.933,4.523,72.42,1792,81.8,GOOD
2024-01-01 11:00:00,PUMP_A1,ZONE_A,2.624,4.525,70.63,1876,72.5,GOOD
2024-01-01 11:15:00,PUMP_A1,ZONE_A,3.016,4.945,71.99,1782,83.3,GOOD
2024-01-01 11:30:00,PUMP_A1,ZONE_A,2.986,4.886,72.19,1812,78.8,GOOD
2024-01-01 11:45:00,PUMP_A1,ZONE_A,2.179,3.373,68.27,1819,78.7,GOOD
2024-01-01 12:00:00,PUMP_A1,ZONE_A,3.033,5.132,74.89,1792,88.0,GOOD
2024-01-01 12:15:00,PUMP_A1,ZONE_A,2.708,4.652,74.15,1781,87.2,GOOD
2024-01-01 12:30:00,PUMP_A1,ZONE_A,2.769,4.302,72.8,1811,81.8,GOOD
2024-01-01 12:45:00,PUMP_A1,ZONE_A,2.931,4.42,72.17,1843,76.5,GOOD
2024-01-01 13:00:00,PUMP_A1,ZONE_A,3.01,4.545,71.57,1802,78.9,GOOD
2024-01-01 13:15:00,PUMP_A1,ZONE_A,2.663,4.301,73.44,1822,89.0,GOOD
2024-01-01 13:30:00,PUMP_A1,ZONE_A,2.474,3.916,69.67,1747,75.2,GOOD
2024-01-01 13:45:00,PUMP_A1,ZONE_A,2.538,3.838,71.45,1789,82.2,GOOD
2024-01-01 14:00:00,PUMP_A1,ZONE_A,2.762,4.65,73.96,1818,89.2,GOOD
2024-01-01 14:15:00,PUMP_A1,ZONE_A,2.916,4.622,73.2,1802,86.4,GOOD
2024-01-01 14:30:00,PUMP_A1,ZONE_A,2.97,4.537,71.75,1877,77.7,GOOD
2024-01-01 14:45:00,PUMP_A1,ZONE_A,2.338,3.662,73.13,1796,86.4,GOOD
2024-01-01 15:00:00,PUMP_A1,ZONE_A,2.836,4.674,74.7,1772,81.1,GOOD
2024-01-01 15:15:00,PUMP_A1,ZONE_A,2.993,4.502,73.33,1826,87.7,GOOD
2024-01-01 15:30:00,PUMP_A1,ZONE_A,2.196,3.756,72.02,1842,78.0,GOOD
2024-01-01 15:45:00,PUMP_A1,ZONE_A,2.662,4.411,70.4,1711,75.8,SUSPECT
2024-01-01 16:00:00,PUMP_A1,ZONE_A,2.583,3.909,71.9,1800,79.0,GOOD
2024-01-01 16:15:00,PUMP_A1,ZONE_A,3.055,4.612,74.71,1750,81.4,GOOD
2024-01-01 16:30:00,PUMP_A1,ZONE_A,3.075,4.818,72.12,1855,79.3,GOOD
2024-01-01 16:45:00,PUMP_A1,ZONE_A,3.153,4.766,73.1,1763,77.4,GOOD
2024-01-01 17:00:00,PUMP_A1,ZONE_A,2.282,3.53,65.13,1838,68.1,GOOD
2024-01-01 17:15:00,PUMP_A1,ZONE_A,3.047,4.611,73.31,1782,83.6,GOOD
2024-01-01 17:30:00,PUMP_A1,ZONE_A,2.816,4.324,70.92,1738,76.7,GOOD
2024-01-01 17:45:00,PUMP_A1,ZONE_A,2.37,4.122,70.78,1795,76.6,GOOD
2024-01-01 18:00:00,PUMP_A1,ZONE_A,2.548,3.845,69.41,1764,77.5,GOOD
2024-01-01 18:15:00,PUMP_A1,ZONE_A,2.698,4.058,66.78,1748,74.0,GOOD
2024-01-01 18:30:00,PUMP_A1,ZONE_A,2.663,4.339,70.21,1774,76.1,GOOD
2024-01-01 18:45:00,PUMP_A1,ZONE_A,3.355,5.187,70.02,1780,68.9,GOOD
2024-01-01 19:00:00,PUMP_A1,ZONE_A,3.609,5.562,73.82,1820,74.6,GOOD
2024-01-01 19:15:00,PUMP_A1,ZONE_A,2.584,3.935,68.8,1770,68.5,GOOD
2024-01-01 19:30:00,PUMP_A1,ZONE_A,2.705,4.249,73.12,1860,77.5,GOOD
2024-01-01 19:45:00,PUMP_A1,ZONE_A,2.617,4.185,70.43,1784,81.0,GOOD
2024-01-01 20:00:00,PUMP_A1,ZONE_A,2.486,3.813,69.06,1749,74.1,GOOD
2024-01-01 20:15:00,PUMP_A1,ZONE_A,2.803,4.629,70.41,1709,74.7,GOOD
2024-01-01 20:30:00,PUMP_A1,ZONE_A,2.653,4.062,69.71,1818,66.4,GOOD
2024-01-01 20:45:00,PUMP_A1,ZONE_A,2.707,4.091,64.55,1779,66.2,GOOD
2024-01-01 21:00:00,PUMP_A1,ZONE_A,2.567,3.863,65.59,1822,61.4,GOOD
2024-01-01 21:15:00,PUMP_A1,ZONE_A,3.009,4.673,71.88,1778,73.5,GOOD
2024-01-01 21:30:00,PUMP_A1,ZONE_A,2.752,4.179,68.34,1820,68.7,GOOD
2024-01-01 21:45:00,PUMP_A1,ZONE_A,2.672,4.064,71.03,1817,77.6,GOOD
2024-01-01 22:00:00,PUMP_A1,ZONE_A,2.711,4.591,71.82,1814,66.4,GOOD
2024-01-01 22:15:00,PUMP_A1,ZONE_A,2.486,4.073,66.63,1790,75.0,GOOD
2024-01-01 22:30:00,PUMP_A1,ZONE_A,2.88,4.565,65.93,1811,67.4,GOOD
2024-01-01 22:45:00,PUMP_A1,ZONE_A,2.399,3.84,68.47,1805,71.3,GOOD
2024-01-01 23:00:00,PUMP_A1,ZONE_A,2.506,4.099,67.54,1806,69.0,GOOD
2024-01-01 23:15:00,PUMP_A1,ZONE_A,2.545,3.847,70.29,1854,69.8,GOOD
2024-01-01 23:30:00,PUMP_A1,ZONE_A,2.464,4.017,68.07,1790,62.9,GOOD
2024-01-01 23:45:00,PUMP_A1,ZONE_A,2.182,3.324,69.35,1849,72.8,GOOD
2024-01-02 00:00:00,PUMP_A1,ZONE_A,2.885,4.548,70.68,1735,75.0,GOOD
2024-01-02 00:15:00,PUMP_A1,ZONE_A,3.169,5.06,70.77,1792,67.7,GOOD
2024-01-02 00:30:00,PUMP_A1,ZONE_A,3.161,5.391,70.4,1867,74.2,GOOD
2024-01-02 00:45:00,PUMP_A1,ZONE_A,2.476,4.119,68.78,1891,70.1,GOOD
