timestamp_utc,asset_id,zone,vibration_rms_mm_s,peak_accel_g,bearing_temp_c,rpm,load_pct,quality_flag
2024-01-01 00:00:00,MOT-001,Zone_A,1.949,0.381,70.91,1812,72.1,OK
2024-01-01 00:15:00,MOT-001,Zone_A,1.759,0.261,71.25,1848,69.6,OK
2024-01-01 00:30:00,MOT-001,Zone_A,1.994,0.357,71.67,1773,63.3,OK
2024-01-01 00:45:00,MOT-001,Zone_A,2.257,0.309,68.07,1882,53.4,OK
2024-01-01 01:00:00,MOT-001,Zone_A,1.737,0.313,71.75,1820,60.4,OK
2024-01-01 01:15:00,MOT-001,Zone_A,1.737,0.201,70.71,1745,83.8,OK
2024-01-01 01:30:00,MOT-001,Zone_A,2.281,0.19,69.65,1770,74.9,OK
2024-01-01 01:45:00,MOT-001,Zone_A,2.037,0.289,69.06,1851,81.7,OK
2024-01-01 02:00:00,MOT-001,Zone_A,1.686,0.312,69.36,1845,70.3,OK
2024-01-01 02:15:00,MOT-001,Zone_A,1.99,0.244,67.89,1801,74.2,OK
2024-01-01 02:30:00,MOT-001,Zone_A,1.688,0.246,73.48,1805,87.9,OK
2024-01-01 02:45:00,MOT-001,Zone_A,1.687,0.328,73.0,1758,87.4,OK
2024-01-01 03:00:00,MOT-001,Zone_A,1.931,0.328,71.3,1848,82.5,OK
2024-01-01 03:15:00,MOT-001,Zone_A,1.285,0.293,68.98,1764,76.6,OK
2024-01-01 03:30:00,MOT-001,Zone_A,1.341,0.339,69.12,1830,79.1,OK
2024-01-01 03:45:00,MOT-001,Zone_A,1.69,0.241,71.55,1849,78.0,OK
2024-01-01 04:00:00,MOT-001,Zone_A,1.596,0.282,73.41,1802,73.7,OK
2024-01-01 04:15:00,MOT-001,Zone_A,1.994,0.382,69.35,1835,71.8,OK
2024-01-01 04:30:00,MOT-001,Zone_A,1.628,0.303,67.71,1867,84.0,OK
2024-01-01 04:45:00,MOT-001,Zone_A,1.476,0.306,72.81,1810,64.6,OK
2024-01-01 05:00:00,MOT-001,Zone_A,2.388,0.415,67.51,1794,86.9,OK
2024-01-01 05:15:00,MOT-001,Zone_A,1.881,0.23,68.3,1798,72.8,OK
2024-01-01 05:30:00,MOT-001,Zone_A,1.968,0.34,69.96,1773,64.5,OK
2024-01-01 05:45:00,MOT-001,Zone_A,1.521,0.383,66.66,1772,70.6,OK
