timestamp_utc,asset_id,zone,vibration_rms_mm_s,peak_accel_g,bearing_temp_c,rpm,load_pct,quality_flag
2024-01-01 00:00:00,PUMP-001,Zone-B,3.857,3.39,77.28,1799,77.5,GOOD
2024-01-01 00:15:00,PUMP-001,Zone-B,3.911,3.012,76.36,1807,73.8,GOOD
2024-01-01 00:30:00,PUMP-001,Zone-B,3.126,2.388,75.41,1733,76.2,GOOD
2024-01-01 00:45:00,PUMP-001,Zone-B,3.007,2.28,78.79,1777,76.6,GOOD
2024-01-01 01:00:00,PUMP-001,Zone-B,3.279,2.698,76.3,1803,74.9,GOOD
2024-01-01 01:15:00,PUMP-001,Zone-B,3.594,2.769,77.51,1765,76.1,GOOD
2024-01-01 01:30:00,PUMP-001,Zone-B,3.789,2.64,75.44,1769,81.7,GOOD
2024-01-01 01:45:00,PUMP-001,Zone-B,3.945,2.954,74.74,1815,78.6,GOOD
2024-01-01 02:00:00,PUMP-001,Zone-B,3.77,2.664,78.55,1843,77.7,GOOD
2024-01-01 02:15:00,PUMP-001,Zone-B,3.939,3.33,79.4,1827,78.1,GOOD
2024-01-01 02:30:00,PUMP-001,Zone-B,3.739,3.186,76.61,1790,75.8,GOOD
2024-01-01 02:45:00,PUMP-001,Zone-B,3.419,2.902,78.65,1850,79.1,GOOD
2024-01-01 03:00:00,PUMP-001,Zone-B,3.869,3.403,78.31,1794,83.9,GOOD
2024-01-01 03:15:00,PUMP-001,Zone-B,3.833,2.783,81.13,1815,89.9,GOOD
2024-01-01 03:30:00,PUMP-001,Zone-B,4.161,3.225,76.56,1824,81.0,GOOD
2024-01-01 03:45:00,PUMP-001,Zone-B,4.044,3.287,78.68,1827,79.6,GOOD
2024-01-01 04:00:00,PUMP-001,Zone-B,3.555,2.778,77.79,1853,84.1,GOOD
2024-01-01 04:15:00,PUMP-001,Zone-B,3.752,2.923,76.82,1707,76.3,GOOD
2024-01-01 04:30:00,PUMP-001,Zone-B,4.312,3.485,78.9,1830,82.9,GOOD
2024-01-01 04:45:00,PUMP-001,Zone-B,3.251,2.386,76.41,1815,83.3,GOOD
2024-01-01 05:00:00,PUMP-001,Zone-B,3.721,3.037,78.75,1908,85.0,GOOD
2024-01-01 05:15:00,PUMP-001,Zone-B,3.342,2.518,79.55,1835,78.8,GOOD
2024-01-01 05:30:00,PUMP-001,Zone-B,4.056,3.683,77.16,1782,91.7,GOOD
2024-01-01 05:45:00,PUMP-001,Zone-B,3.994,3.197,77.68,1875,81.8,GOOD
2024-01-01 06:00:00,PUMP-001,Zone-B,3.424,3.05,76.5,1826,79.7,GOOD
2024-01-01 06:15:00,PUMP-001,Zone-B,3.923,3.347,79.43,1803,83.4,GOOD
2024-01-01 06:30:00,PUMP-001,Zone-B,3.738,3.147,75.28,1810,77.0,GOOD
2024-01-01 06:45:00,PUMP-001,Zone-B,4.047,3.283,79.64,1829,78.4,SUSPECT
2024-01-01 07:00:00,PUMP-001,Zone-B,4.357,3.581,76.25,1796,86.1,GOOD
2024-01-01 07:15:00,PUMP-001,Zone-B,3.486,2.943,81.36,1798,87.9,GOOD
2024-01-01 07:30:00,PUMP-001,Zone-B,3.764,2.861,77.4,1895,88.8,GOOD
2024-01-01 07:45:00,PUMP-001,Zone-B,3.643,3.157,79.29,1842,80.6,GOOD
2024-01-01 08:00:00,PUMP-001,Zone-B,3.929,2.972,76.44,1912,82.3,GOOD
2024-01-01 08:15:00,PUMP-001,Zone-B,4.02,3.126,80.24,1817,86.1,GOOD
2024-01-01 08:30:00,PUMP-001,Zone-B,3.793,2.785,78.65,1843,81.4,GOOD
2024-01-01 08:45:00,PUMP-001,Zone-B,3.548,3.05,78.78,1829,85.6,GOOD
2024-01-01 09:00:00,PUMP-001,Zone-B,3.406,2.538,79.99,1862,87.5,GOOD
2024-01-01 09:15:00,PUMP-001,Zone-B,4.039,3.519,78.57,1820,84.6,GOOD
2024-01-01 09:30:00,PUMP-001,Zone-B,3.716,3.125,77.31,1847,86.8,GOOD
2024-01-01 09:45:00,PUMP-001,Zone-B,3.561,2.491,78.87,1810,80.9,GOOD
2024-01-01 10:00:00,PUMP-001,Zone-B,3.692,2.738,76.5,1844,77.6,GOOD
2024-01-01 10:15:00,PUMP-001,Zone-B,4.313,3.723,80.33,1902,83.4,GOOD
2024-01-01 10:30:00,PUMP-001,Zone-B,3.358,2.857,75.44,1796,69.9,GOOD
2024-01-01 10:45:00,PUMP-001,Zone-B,4.199,3.292,77.3,1781,79.4,GOOD
2024-01-01 11:00:00,PUMP-001,Zone-B,3.427,2.925,83.04,1837,86.4,GOOD
2024-01-01 11:15:00,PUMP-001,Zone-B,3.367,2.646,82.04,1789,82.8,GOOD
2024-01-01 11:30:00,PUMP-001,Zone-B,3.355,2.434,79.27,1735,61.4,GOOD
2024-01-01 11:45:00,PUMP-001,Zone-B,3.427,2.753,81.75,1786,70.4,GOOD
2024-01-01 12:00:00,PUMP-001,Zone-B,3.621,2.777,77.22,1806,70.1,GOOD
2024-01-01 12:15:00,PUMP-001,Zone-B,3.99,3.069,81.38,1727,73.1,GOOD
2024-01-01 12:30:00,PUMP-001,Zone-B,3.708,2.842,77.11,1819,74.2,GOOD
2024-01-01 12:45:00,PUMP-001,Zone-B,3.492,2.984,80.14,1772,72.5,GOOD
2024-01-01 13:00:00,PUMP-001,Zone-B,3.409,2.615,79.27,1825,76.5,GOOD
2024-01-01 13:15:00,PUMP-001,Zone-B,3.277,2.488,79.75,1736,75.5,GOOD
2024-01-01 13:30:00,PUMP-001,Zone-B,3.829,3.226,79.89,1832,71.3,GOOD
2024-01-01 13:45:00,PUMP-001,Zone-B,3.855,3.03,76.05,1786,72.5,GOOD
2024-01-01 14:00:00,PUMP-001,Zone-B,3.323,3.077,75.13,1812,70.5,GOOD
2024-01-01 14:15:00,PUMP-001,Zone-B,3.671,2.797,76.45,1805,63.9,GOOD
2024-01-01 14:30:00,PUMP-001,Zone-B,3.388,2.646,78.36,1794,74.9,GOOD
2024-01-01 14:45:00,PUMP-001,Zone-B,3.581,2.977,78.44,1768,67.2,GOOD
2024-01-01 15:00:00,PUMP-001,Zone-B,3.207,2.523,76.53,1720,60.7,GOOD
2024-01-01 15:15:00,PUMP-001,Zone-B,3.641,2.776,77.47,1789,75.3,GOOD
2024-01-01 15:30:00,PUMP-001,Zone-B,3.712,3.276,76.69,1759,69.5,GOOD
2024-01-01 15:45:00,PUMP-001,Zone-B,3.699,2.974,78.96,1777,69.9,GOOD
2024-01-01 16:00:00,PUMP-001,Zone-B,3.523,2.918,79.53,1755,66.8,GOOD
2024-01-01 16:15:00,PUMP-001,Zone-B,4.125,3.278,79.23,1835,71.1,GOOD
2024-01-01 16:30:00,PUMP-001,Zone-B,2.809,2.142,74.63,1752,62.1,GOOD
2024-01-01 16:45:00,PUMP-001,Zone-B,3.629,3.018,78.48,1715,67.1,GOOD
2024-01-01 17:00:00,PUMP-001,Zone-B,3.749,2.905,72.61,1833,58.7,GOOD
2024-01-01 17:15:00,PUMP-001,Zone-B,3.68,2.453,75.49,1804,72.1,GOOD
2024-01-01 17:30:00,PUMP-001,Zone-B,3.36,2.813,74.43,1782,65.4,GOOD
2024-01-01 17:45:00,PUMP-001,Zone-B,3.645,3.128,79.43,1729,64.6,GOOD
2024-01-01 18:00:00,PUMP-001,Zone-B,3.98,3.207,78.98,1756,66.7,GOOD
2024-01-01 18:15:00,PUMP-001,Zone-B,3.545,2.632,76.12,1817,65.3,GOOD
2024-01-01 18:30:00,PUMP-001,Zone-B,3.249,2.737,79.12,1835,68.2,GOOD
2024-01-01 18:45:00,PUMP-001,Zone-B,3.318,2.694,71.34,1794,56.2,GOOD
2024-01-01 19:00:00,PUMP-001,Zone-B,3.107,2.475,78.05,1747,73.5,GOOD
2024-01-01 19:15:00,PUMP-001,Zone-B,3.061,2.424,76.51,1820,65.2,GOOD
2024-01-01 19:30:00,PUMP-001,Zone-B,3.37,2.484,76.54,1750,67.2,GOOD
2024-01-01 19:45:00,PUMP-001,Zone-B,3.426,2.577,75.9,1774,70.1,GOOD
2024-01-01 20:00:00,PUMP-001,Zone-B,3.338,2.431,80.44,1744,65.8,GOOD
2024-01-01 20:15:00,PUMP-001,Zone-B,3.876,3.271,75.5,1801,66.5,GOOD
2024-01-01 20:30:00,PUMP-001,Zone-B,3.39,2.252,73.3,1756,63.7,GOOD
2024-01-01 20:45:00,PUMP-001,Zone-B,3.319,2.661,79.42,1826,73.2,GOOD
2024-01-01 21:00:00,PUMP-001,Zone-B,3.045,2.477,75.17,1750,67.3,GOOD
2024-01-01 21:15:00,PUMP-001,Zone-B,3.234,2.432,75.28,1733,60.8,GOOD
2024-01-01 21:30:00,PUMP-001,Zone-B,3.661,3.225,77.98,1834,76.4,GOOD
2024-01-01 21:45:00,PUMP-001,Zone-B,3.947,3.08,75.01,1761,63.6,GOOD
2024-01-01 22:00:00,PUMP-001,Zone-B,3.218,2.687,76.44,1868,74.6,GOOD
2024-01-01 22:15:00,PUMP-001,Zone-B,3.368,2.194,78.09,1755,67.6,GOOD
2024-01-01 22:30:00,PUMP-001,Zone-B,3.378,2.853,77.85,1754,68.8,GOOD
2024-01-01 22:45:00,PUMP-001,Zone-B,3.982,3.372,75.23,1853,65.1,GOOD
2024-01-01 23:00:00,PUMP-001,Zone-B,3.06,2.457,77.26,1722,68.6,GOOD
2024-01-01 23:15:00,PUMP-001,Zone-B,3.618,3.451,73.51,1744,67.9,GOOD
2024-01-01 23:30:00,PUMP-001,Zone-B,3.843,2.959,78.5,1772,68.1,GOOD
2024-01-01 23:45:00,PUMP-001,Zone-B,4.251,3.047,74.59,1757,66.8,GOOD
2024-01-02 00:00:00,PUMP-001,Zone-B,3.699,2.928,80.07,1781,76.9,GOOD
2024-01-02 00:15:00,PUMP-001,Zone-B,3.841,3.009,77.04,1781,76.3,GOOD
2024-01-02 00:30:00,PUMP-001,Zone-B,3.928,3.078,80.36,1877,76.4,GOOD
2024-01-02 00:45:00,PUMP-001,Zone-B,2.946,2.567,75.63,1771,73.0,GOOD
2024-01-02 01:00:00,PUMP-001,Zone-B,3.958,2.724,78.5,1800,79.2,GOOD
2024-01-02 01:15:00,PUMP-001,Zone-B,3.913,2.956,77.5,1818,81.4,GOOD
2024-01-02 01:30:00,PUMP-001,Zone-B,3.787,3.079,77.52,1893,80.8,GOOD
2024-01-02 01:45:00,PUMP-001,Zone-B,3.742,2.924,79.24,1851,73.3,GOOD
2024-01-02 02:00:00,PUMP-001,Zone-B,3.568,2.93,79.41,1772,78.7,GOOD
2024-01-02 02:15:00,PUMP-001,Zone-B,3.955,2.838,78.35,1850,75.4,GOOD
2024-01-02 02:30:00,PUMP-001,Zone-B,3.785,3.017,77.91,1846,71.1,GOOD
2024-01-02 02:45:00,PUMP-001,Zone-B,3.652,3.278,78.71,1791,74.4,GOOD
2024-01-02 03:00:00,PUMP-001,Zone-B,4.259,3.676,81.18,1823,78.1,GOOD
2024-01-02 03:15:00,PUMP-001,Zone-B,3.95,3.668,79.13,1805,79.5,GOOD
2024-01-02 03:30:00,PUMP-001,Zone-B,3.439,2.42,79.88,1797,81.3,GOOD
2024-01-02 03:45:00,PUMP-001,Zone-B,3.514,2.511,78.01,1860,82.4,GOOD
2024-01-02 04:00:00,PUMP-001,Zone-B,2.951,2.35,77.91,1805,82.4,GOOD
2024-01-02 04:15:00,PUMP-001,Zone-B,3.986,3.029,78.47,1787,87.1,GOOD
2024-01-02 04:30:00,PUMP-001,Zone-B,3.976,3.176,80.29,1845,96.5,GOOD
2024-01-02 04:45:00,PUMP-001,Zone-B,3.436,3.026,73.4,1908,82.9,GOOD
2024-01-02 05:00:00,PUMP-001,Zone-B,3.785,2.953,76.28,1757,90.9,GOOD
2024-01-02 05:15:00,PUMP-001,Zone-B,3.715,3.069,76.65,1798,80.8,GOOD
2024-01-02 05:30:00,PUMP-001,Zone-B,3.691,3.051,76.47,1785,88.3,GOOD
2024-01-02 05:45:00,PUMP-001,Zone-B,3.566,2.9,79.61,1855,88.2,GOOD
2024-01-02 06:00:00,PUMP-001,Zone-B,3.897,3.056,78.82,1831,79.6,GOOD
2024-01-02 06:15:00,PUMP-001,Zone-B,3.461,3.032,74.39,1762,78.7,GOOD
2024-01-02 06:30:00,PUMP-001,Zone-B,3.08,2.803,78.6,1870,78.6,GOOD
2024-01-02 06:45:00,PUMP-001,Zone-B,3.784,2.96,81.42,1854,84.5,GOOD
2024-01-02 07:00:00,PUMP-001,Zone-B,3.414,2.88,78.98,1760,86.2,GOOD
2024-01-02 07:15:00,PUMP-001,Zone-B,3.812,2.724,79.53,1771,83.7,GOOD
2024-01-02 07:30:00,PUMP-001,Zone-B,3.95,3.357,82.57,1846,89.8,GOOD
2024-01-02 07:45:00,PUMP-001,Zone-B,4.114,3.368,74.43,1823,89.7,GOOD
2024-01-02 08:00:00,PUMP-001,Zone-B,3.876,2.95,77.53,1796,86.2,GOOD
