hour,mean,std,min,max
0,119.17807142857143,4.504512691435288,105.511,126.503
1,118.37117857142857,4.1461745425514325,108.708,125.89
2,119.18296428571429,3.647291491079303,111.076,128.163
3,120.65092857142858,5.673261430074258,112.013,133.182
4,119.37928571428571,4.712346052949776,107.875,127.699
5,118.42399999999999,5.070897648638058,99.074,131.269
6,120.3587857142857,4.684818739188058,110.904,130.682
7,120.16946428571428,3.525921161301581,113.736,126.153
8,119.44682142857143,3.516055007929066,113.668,128.577
9,121.96692857142857,4.170797818062322,116.293,131.926
10,120.46728571428571,4.754338446460459,110.048,130.458
11,119.31585714285714,5.346599041649682,109.886,130.521
12,119.87557142857143,4.196416985146675,113.488,127.203
13,119.03475,4.900227875464721,109.446,130.516
14,118.77142857142857,4.717203875402927,107.815,129.245
15,120.20775,3.7098850997980644,113.444,127.287
16,118.35417857142856,4.0596662064352,110.844,127.568
17,120.07775000000001,5.0621775041313315,109.784,131.456
18,118.30435714285714,6.053024852726514,105.362,128.33
19,120.51707142857143,5.210716272143693,107.9,133.573
20,119.47314285714286,3.7784373481177065,111.959,126.967
21,119.56228571428572,4.096424501088933,109.957,130.82
22,118.98257142857143,4.345347332395126,107.447,126.137
23,118.16364285714285,3.972525898703873,106.492,125.658
