hour,mean,max,min,std
0,119.38,127.45,105.51,5.16
1,118.57,125.89,107.16,5.03
2,119.14,128.16,111.08,3.89
3,120.91,133.18,112.01,5.89
4,119.74,127.7,107.88,4.87
5,118.18,131.27,99.07,5.38
6,120.46,130.68,110.9,4.77
7,120.96,126.15,113.74,3.62
8,119.91,128.58,113.67,3.75
9,122.04,131.93,116.29,4.14
10,121.22,130.46,110.05,4.74
11,119.9,130.52,109.89,5.83
12,120.69,134.01,113.49,5.02
13,119.34,130.52,109.45,5.21
14,119.24,129.24,107.82,5.06
15,120.09,127.29,113.44,3.81
16,118.73,127.57,110.84,4.33
17,120.5,131.69,109.42,5.85
18,119.23,128.33,105.36,6.5
19,120.66,133.57,107.9,5.32
20,119.69,126.97,111.96,4.13
21,120.67,131.1,109.96,4.81
22,119.82,135.35,107.45,5.55
23,118.93,128.26,106.49,4.68
