metric,value
Annual Peak Load (MW),144.99499448311542
Annual Minimum Load (MW),85.10770832497897
Annual Average Load (MW),114.97808050799838
Annual Energy (GWh),1007.2079852500658
Load Factor,0.7929796536623719
Max Upward Ramp (MW/hr),84.67599999999993
Max Downward Ramp (MW/hr),-87.35199999999998
Average Absolute Ramp (MW/hr),18.278622950819674
Load Volatility (MW),6.356627927453941
Mean Daily Load Factor,0.9213996447171133
Mean Peak-Valley Ratio,1.2118117537188675
Critical Load Threshold (MW),127.38419999999999
Observed Data Days,7.0
