quarter,inflation_yoy,reit_index_return
0,2.162,0.4107
1,1.609,0.2674
2,1.968,0.2733
3,2.185,0.2863
4,2.824,0.5403
5,2.266,0.3635
6,1.785,0.304
7,1.899,0.3426
8,1.444,0.3299
9,1.976,0.2702
10,1.89,0.2372
11,2.632,0.4424
12,3.177,0.4789
13,3.416,0.5387
14,2.732,0.5204
15,1.487,0.2041
16,2.023,0.2728
17,2.768,0.4158
18,2.678,0.4088
19,2.987,0.4664
20,2.402,0.3918
21,1.103,0.1606
22,2.843,0.452
23,2.69,0.4632
24,0.996,0.2229
25,3.577,0.623
26,3.081,0.4944
27,4.177,0.6434
28,2.477,0.375
29,1.681,0.2877
30,1.167,0.2273
31,2.585,0.3924
32,2.326,0.2948
33,3.196,0.5097
34,2.371,0.3636
35,0.654,0.1424
36,2.992,0.5838
37,2.272,0.3149
38,2.17,0.3302
39,1.72,0.2863
