record_date,generator_unit,net_kwh
2024-01-01,T01,50
2024-01-01,T02,51
2024-01-01,T03,52
2024-01-02,T01,53
2024-01-02,T02,54
2024-01-02,T03,55
2024-01-03,T01,56
2024-01-03,T02,57
2024-01-03,T03,58
2024-01-04,T01,59
2024-01-04,T02,60
2024-01-04,T03,61
2024-01-05,T01,62
2024-01-05,T02,63
2024-01-05,T03,64
2024-01-06,T01,65
2024-01-06,T02,66
2024-01-06,T03,67
2024-01-07,T01,68
2024-01-07,T02,69
2024-01-07,T03,70
2024-01-08,T01,71
2024-01-08,T02,72
2024-01-08,T03,73
2024-01-09,T01,74
2024-01-09,T02,75
2024-01-09,T03,76
2024-01-10,T01,77
2024-01-10,T02,78
2024-01-10,T03,79
