token_0,token_1,token_2,token_3,token_4,token_5,token_6,token_7,token_8,token_9,token_10,label
Cy,Sr,Cg,Tg,Sb,Sg,Cy,Ty,Cr,Cy,Cb,0
Tr,Tg,Cb,Ty,Cy,Cy,Tb,Cg,Cy,Tb,Tb,0
Cb,Sr,Ty,Sg,Sy,Tr,Tg,Sr,Tb,Tb,Tg,0
Cg,Cr,Sy,Cg,Tb,Sg,Sg,Ty,Cb,Cr,Sr,1
Tr,Ty,Cg,Tr,Cr,Sb,Cr,Tr,Tr,Cg,Sb,1
Cr,Sg,Ty,Sg,Cg,Cy,Sy,Tr,Sg,Cg,Cg,1
Tr,Sg,Sr,Ty,Tr,Sy,Tb,Tg,Ty,Sb,Cg,0
Cg,Sg,Cb,Tr,Ty,Sb,Tg,Cb,Tr,Cr,Sb,1
Tr,Sb,Cb,Cy,Ty,Sr,Sg,Ty,Sr,Tg,Ty,1
Cy,Cg,Sy,Tg,Cb,Sg,Cr,Cb,Tb,Cr,Ty,1
Sy,Cr,Sy,Cy,Sr,Sy,Sb,Sg,Cb,Cg,Tb,1
Sy,Tb,Sg,Sb,Sy,Sg,Sr,Cy,Tg,Tr,Tb,1
Cb,Cb,Sb,Sy,Ty,Sr,Tr,Sb,Tg,Ty,Cb,0
Tg,Sy,Sy,Ty,Sb,Sg,Tr,Sy,Cb,Sb,Sb,1
Tb,Cr,Tb,Tb,Tb,Cy,Sg,Cr,Sg,Sg,Tr,1
Tr,Sr,Tg,Cb,Tb,Tg,Tb,Sb,Tb,Tr,Sr,0
Tr,Sr,Cg,Tb,Tb,Ty,Sr,Tr,Tb,Tb,Cg,1
Sb,Sg,Sb,Sg,Tb,Cg,Sr,Sb,Cy,Sb,Tg,0
Cr,Cb,Tg,Cg,Sy,Ty,Cr,Cg,Cg,Cr,Cg,1
Cb,Tb,Sy,Cg,Cr,Cb,Cy,Tr,Tr,Cb,Sr,0
Sr,Ty,Cg,Sb,Cg,Sb,Cg,Tb,Sg,Cg,Tr,0
Tg,Tr,Tr,Cr,Cb,Cg,Ty,Cb,Tb,Tr,Tg,1
Sr,Sr,Sb,Cb,Cy,Ty,Sg,Tg,Sb,Ty,Sy,0
Sy,Cg,Tr,Cb,Tb,Sr,Sy,Ty,Sy,Ty,Sg,0
Tr,Sb,Sr,Cy,Tr,Cr,Tg,Sy,Ty,Sy,Sr,0
Sr,Cg,Ty,Ty,Sy,Sr,Tg,Sy,Cb,Sy,Cb,0
Tg,Cg,Cy,Cb,Tg,Sg,Sy,Cy,Tg,Sy,Sr,1
Cy,Sr,Ty,Tg,Cb,Cr,Tb,Cg,Sy,Tr,Sg,0
Cg,Sg,Ty,Tg,Tg,Ty,Tr,Cr,Cy,Cb,Cr,1
Tb,Cg,Cr,Tb,Tr,Ty,Cb,Cr,Sr,Sr,Cr,0
Tg,Cr,Cb,Ty,Sg,Ty,Tr,Tg,Sg,Cy,Cy,1
Sr,Sb,Tr,Cr,Tr,Cb,Tr,Cy,Cg,Cg,Sg,0
Ty,Tg,Tg,Cr,Sr,Sb,Tg,Tg,Cg,Cr,Cb,0
Ty,Sr,Cr,Tr,Cb,Sy,Sb,Sy,Cy,Sy,Cr,1
