token_0,token_1,token_2,token_3,token_4,token_5,token_6,token_7,token_8,token_9,label
Tg,Ty,Sb,Tb,Sb,Ty,Sr,Tb,Sy,Ty,0
Sb,Tr,Tb,Tr,Sr,Tg,Tr,Sy,Tr,Sy,0
Sb,Sy,Tb,Sr,Sb,Tg,Sb,Sb,Sr,Tb,0
Tg,Tb,Tb,Sg,Sr,Sg,Sg,Ty,Tb,Sy,1
Sr,Ty,Sg,Sb,Sy,Sr,Tb,Sr,Sr,Sg,1
Tg,Tg,Tb,Sb,Sb,Tb,Tb,Tb,Sb,Sb,0
Sr,Tb,Tb,Sy,Tr,Sb,Sg,Tr,Tg,Sg,0
Sg,Sr,Ty,Tb,Sr,Tr,Tr,Tr,Tr,Ty,0
Sy,Tg,Ty,Ty,Tr,Sr,Sb,Ty,Sb,Tr,0
Tr,Sb,Tr,Sr,Tb,Sy,Sg,Sb,Tr,Ty,1
Sb,Tg,Ty,Tb,Tg,Tg,Ty,Sg,Sg,Sb,0
Tr,Sy,Sg,Ty,Sr,Tr,Tb,Tb,Sy,Tg,1
Tr,Ty,Tr,Tg,Sb,Sr,Ty,Tr,Tb,Sy,1
Sb,Sr,Tb,Tr,Tb,Sb,Sy,Tb,Sg,Tg,1
Tr,Sr,Sr,Tg,Ty,Ty,Tr,Tr,Tr,Tr,1
Tb,Sy,Sg,Tr,Sg,Tg,Sy,Sy,Sr,Tr,0
Sy,Sg,Sb,Sr,Tr,Sr,Tb,Tr,Sg,Tg,0
Sr,Ty,Sy,Tg,Sb,Sb,Ty,Sb,Tr,Ty,1
Tg,Ty,Sb,Tr,Tr,Sg,Tg,Sb,Sg,Tr,0
Tg,Tb,Tb,Sr,Tb,Tr,Sb,Tr,Tb,Sy,0
Ty,Ty,Sy,Tb,Tg,Sr,Tg,Sy,Tb,Tr,1
Sg,Tb,Sr,Sb,Sr,Tg,Tg,Tr,Sr,Sb,1
Sb,Sr,Sg,Ty,Tg,Tr,Tb,Tg,Ty,Sb,1
Sr,Ty,Sy,Sr,Sg,Sg,Tb,Sb,Tg,Sr,1
Tr,Tr,Ty,Tb,Ty,Tr,Sr,Tr,Sr,Tb,1
Sy,Sb,Tb,Sr,Sy,Ty,Tb,Sy,Sb,Tr,0
Tb,Tg,Tg,Ty,Sg,Sg,Sb,Tg,Sb,Tr,1
Sg,Sb,Sb,Tr,Tb,Ty,Sg,Sb,Sg,Sg,1
Ty,Sr,Ty,Sg,Ty,Tg,Ty,Tb,Tb,Tg,1
Tb,Sg,Sg,Tb,Ty,Tb,Ty,Tr,Sb,Sb,1
Sr,Sb,Sg,Sb,Tb,Sg,Tr,Tr,Sb,Ty,0
Sb,Ty,Tg,Tb,Tb,Tg,Sg,Sy,Sr,Tr,1
Tg,Tg,Tg,Ty,Tg,Tb,Sg,Sb,Tr,Sr,1
Tr,Sy,Sr,Sy,Tr,Sg,Tb,Sr,Sr,Tg,1
Sb,Tr,Sr,Tr,Ty,Tg,Tg,Sb,Tb,Sb,0
Sb,Tb,Sy,Sb,Ty,Sy,Tb,Tb,Tg,Sy,0
Sr,Ty,Sy,Sr,Sg,Tb,Sr,Sg,Sr,Tr,1
Sr,Ty,Sr,Ty,Sb,Ty,Sy,Ty,Tr,Sb,0
Sg,Tg,Ty,Sb,Ty,Tb,Sy,Tg,Sb,Tg,1
Tg,Sr,Tb,Sg,Tg,Tr,Sb,Tg,Sr,Sg,1
Sr,Ty,Sy,Sb,Sy,Ty,Sr,Sb,Ty,Tg,1
Sy,Tr,Sg,Tr,Sy,Sy,Sy,Sy,Sy,Sb,1
Sy,Ty,Sb,Sy,Tg,Sg,Sy,Sy,Tg,Ty,1
Tb,Sr,Sy,Sg,Tr,Tb,Tg,Tb,Tg,Tg,1
Sy,Sy,Sb,Sr,Sb,Sy,Sb,Sy,Sy,Tr,0
Ty,Sg,Sb,Sg,Tr,Ty,Tg,Ty,Sg,Tg,1
Tb,Sy,Sy,Ty,Sr,Tg,Tg,Sr,Tr,Sb,0
Tr,Sy,Tg,Tr,Tb,Sy,Sy,Sr,Sb,Sr,0
