source,target
word0xyzword0xyzword0xyz,w o r d 0 x y zw o r d 0 x y z
word1xyzword1xyzword1xyz,w o r d 1 x y zw o r d 1 x y z
word2xyzword2xyzword2xyz,w o r d 2 x y zw o r d 2 x y z
word3xyzword3xyzword3xyz,w o r d 3 x y zw o r d 3 x y z
word4xyzword4xyzword4xyz,w o r d 4 x y zw o r d 4 x y z
word5xyzword5xyzword5xyz,w o r d 5 x y zw o r d 5 x y z
word6xyzword6xyzword6xyz,w o r d 6 x y zw o r d 6 x y z
word7xyzword7xyzword7xyz,w o r d 7 x y zw o r d 7 x y z
word8xyzword8xyzword8xyz,w o r d 8 x y zw o r d 8 x y z
word9xyzword9xyzword9xyz,w o r d 9 x y zw o r d 9 x y z
word10xyzword10xyzword10xyz,w o r d 10 x y zw o r d 10 x y z
word11xyzword11xyzword11xyz,w o r d 11 x y zw o r d 11 x y z
