token_0,token_1,token_2,token_3,token_4,token_5,token_6,label
Tg,Sg,Sb,Tr,Tb,Sg,Sr,0
Sr,Tr,Tb,Tb,Tb,Sg,Tb,1
Sb,Tb,Tr,Sg,Tb,Tb,Sb,0
Tr,Sr,Tr,Tg,Tg,Sb,Sr,0
Sb,Sg,Tb,Sr,Sg,Sb,Sr,1
Sg,Sr,Tg,Sr,Tg,Sg,Sg,1
Sr,Sg,Sr,Tb,Sb,Sr,Sb,0
Tg,Sg,Sb,Sb,Sg,Sb,Tr,0
Sg,Tb,Sr,Sr,Sb,Tr,Sb,1
Sr,Sr,Tg,Tg,Tr,Tb,Sb,0
Sb,Sg,Sg,Sr,Tg,Sb,Tb,0
Sb,Tb,Sr,Tb,Sr,Tg,Tr,0
Tr,Sb,Sg,Sb,Sr,Tr,Sb,1
Sr,Tb,Sb,Tb,Tb,Tg,Sg,0
Sr,Sr,Sg,Tg,Sb,Tr,Sr,1
Sg,Tr,Tg,Sg,Tb,Tb,Tr,1
Sr,Sg,Tb,Tb,Tb,Tg,Sb,1
Tg,Sb,Sg,Sg,Tg,Sr,Sg,1
Tb,Tb,Tr,Tr,Sg,Sr,Sr,1
Tg,Sg,Sb,Tg,Sb,Sb,Sg,1
Sb,Sr,Sb,Sb,Sg,Sg,Sg,1
Sr,Tr,Sb,Sg,Tb,Sr,Tr,0
Sb,Tb,Tr,Tr,Tr,Sr,Sg,1
Sb,Sb,Sg,Tr,Sg,Tg,Tr,1
Tg,Sb,Tr,Sr,Sg,Sg,Tr,0
Tg,Tb,Tg,Sg,Sr,Sb,Tg,0
Tr,Tb,Sr,Tb,Tb,Sb,Tb,0
Sb,Sg,Sg,Sr,Tg,Sb,Sr,0
Tr,Sb,Sg,Sg,Sr,Sb,Tb,1
Tr,Sr,Tg,Tg,Tb,Sr,Tb,0
Sr,Sr,Tb,Tr,Sg,Tb,Tr,0
Tg,Tg,Sb,Sb,Tr,Sg,Sr,1
Tb,Sg,Tb,Sb,Sb,Sg,Sr,1
Tr,Sr,Sb,Sr,Tg,Tg,Sr,1
Sb,Sg,Tb,Tg,Sb,Sg,Tg,0
Tg,Sg,Tb,Sb,Sr,Sg,Tb,0
Sr,Tr,Tr,Sr,Tg,Tg,Tr,0
Sb,Tr,Tb,Sg,Sg,Sb,Tg,1
Tb,Tg,Sr,Tg,Tb,Sr,Tg,1
Tg,Tr,Tg,Sr,Sr,Sr,Sr,1
Sb,Sb,Tb,Sb,Tr,Tg,Sr,1
Sb,Tr,Sr,Tb,Sg,Sr,Tr,0
Sg,Tb,Sb,Sb,Sr,Tb,Sg,0
Sg,Sb,Sg,Tr,Sb,Tr,Tg,0
Sg,Sr,Tg,Tg,Tb,Tg,Sb,0
Tr,Sr,Tb,Sg,Tb,Sg,Tg,1
Sg,Tr,Sg,Tg,Tb,Tg,Sr,1
Sr,Sg,Sb,Tg,Sg,Tg,Tb,0
Tr,Tr,Tr,Tr,Sr,Tr,Tr,0
Tr,Sb,Tg,Sr,Sr,Sb,Sg,0
Tg,Tg,Tr,Sb,Tb,Sb,Sb,1
Tg,Tr,Tr,Tr,Tr,Tg,Sg,0
Tr,Sb,Tg,Tb,Tb,Sg,Sb,1
Tg,Tb,Sb,Tg,Sg,Sr,Tb,1
Sb,Sb,Tg,Sr,Tr,Sb,Sg,0
Sg,Tg,Sg,Sg,Tr,Tr,Tg,1
Tb,Tr,Tr,Sg,Sb,Sr,Sr,0
Tb,Tg,Tg,Sg,Tb,Tr,Sg,0
Tr,Sr,Tb,Sg,Tr,Tb,Sr,1
Sb,Tg,Tg,Sr,Tg,Tb,Tg,0
Tr,Sg,Tg,Sg,Sb,Sr,Tb,0
Sr,Tg,Tg,Sr,Tg,Sg,Sg,0
Sr,Tr,Tr,Sr,Tg,Sg,Tr,0
Tg,Tr,Sr,Tg,Sb,Sr,Tg,0
Sb,Tr,Tb,Sr,Tb,Sb,Sb,0
Tb,Sr,Tr,Sb,Tg,Tg,Tb,1
Tb,Tg,Tg,Tg,Sg,Tr,Sr,0
Sb,Sb,Tr,Sr,Sb,Sr,Sg,1
