feature,importance
last5_0,0.028774284431453658
bigram_21,0.025941703870829495
entropy,0.02516239326369375
bigram_CD,0.02502455665229644
bigram_11,0.024385735629029612
seg0_D,0.023644102260634618
last5_2,0.0235019172654417
transitions,0.021978809126851576
p5_C,0.020341628367473562
last5_1,0.019544966176992366
seg1_1,0.019324145768779458
seg2_D,0.01868286055018713
first5_3,0.017913658609337812
first5_2,0.01729679693969184
bigram_DC,0.016745193015426627
seg2_2,0.016427370554539245
bigram_22,0.015770080872127334
p14_C,0.01510957498215363
bigram_CA,0.014724839629877074
bigram_1C,0.014438123348895812
p7_B,0.014294254262203843
p18_D,0.014276974307649747
bigram_2B,0.01398346732618987
seg0_A,0.013978594537385543
p9_D,0.013548837436846982
freq_B,0.013189791516247601
last5_4,0.01312534357775598
first5_0,0.012121197295258436
p4_1,0.012002878490645855
p8_1,0.011680153026730743
last5_3,0.011663645592664909
bigram_BC,0.011270641198569829
seg1_2,0.010816467141002165
freq_A,0.010405906593915873
bigram_B2,0.01011497636658239
freq_1,0.01010993551689673
first5_1,0.009994140789593665
p16_D,0.009653990649033165
last_1,0.00937752229243714
p13_D,0.009272373446653208
seg0_2,0.008522157849512177
p18_C,0.008443502854232737
seg2_C,0.008422916305020357
bigram_CB,0.008422079111196298
seg0_C,0.008342250864313498
bigram_1D,0.00817815450442366
seg1_B,0.008145040365247968
seg2_B,0.007942256920448096
bigram_B1,0.0077884763953727145
p13_2,0.007492117309580162
bigram_BD,0.007288035164209507
bigram_1B,0.006804883575818087
freq_2,0.006768312167265611
bigram_C2,0.006551803244154999
bigram_BB,0.00644203948199051
seg3_2,0.006199766412138392
bigram_A2,0.006132158947443956
p14_A,0.005839356463348672
freq_C,0.005685842492987034
p15_C,0.00566461756472872
p7_1,0.00563618743803595
seg2_1,0.005524981069445709
p0_D,0.005480270264544635
seg2_A,0.005471066853165681
bigram_12,0.0054591708017820255
seg3_C,0.00545694770121756
p13_A,0.005313697722440367
seg3_1,0.005078755668965842
bigram_AB,0.005000351279627227
seg3_A,0.004852826248165103
p9_1,0.004826635584478796
p16_B,0.004443485168194712
p6_D,0.004026074832112755
bigram_D1,0.0038293257804837646
seg0_1,0.0038084418490955726
p11_A,0.0036230394397589257
p14_D,0.0036081564046579863
bigram_DA,0.003497074059416865
p7_A,0.0034844570162223592
letter_ratio,0.003227075715896268
bigram_CC,0.0031445290740688414
seg3_B,0.002951301988399515
p5_2,0.002926247997838389
bigram_C1,0.0029187119581947606
p19_1,0.0029027549712958164
bigram_2D,0.0028869880400142797
p14_1,0.002840601188419739
seg1_D,0.0027963483858579378
p17_C,0.0026938653151330786
p2_1,0.002648127425902228
p3_D,0.0026114024300851095
bigram_AD,0.0026098496796058694
p10_D,0.0025766775819855052
bigram_1A,0.002552658194248872
p15_2,0.0025270291844842227
p2_D,0.0025019544561277335
bigram_2C,0.0024221259790425794
bigram_DD,0.0024138009030557723
p9_2,0.0023374495956614044
p10_C,0.002331932652626742
freq_D,0.0022566311717644966
p3_2,0.002241094814153109
p13_C,0.002201693930389812
p11_1,0.0021724400326991657
first5_4,0.0021404757509836366
seg3_D,0.002086353500437729
seg1_C,0.002058559414081805
p12_2,0.0020548526798227947
bigram_DB,0.002024990119467693
p11_D,0.002023613460656626
p0_1,0.0020025987806252276
p19_C,0.001970621202778544
p7_D,0.0019592765122553968
p11_2,0.0019183862815120153
p6_A,0.0019127220268045243
p15_B,0.0018917338641137409
bigram_D2,0.001830545504717219
p4_C,0.001754694046422744
p7_2,0.0017016122498257926
bigram_BA,0.0016188298820614653
first_A,0.0015998837866620364
p8_B,0.0015706053096858734
p2_C,0.001514905038782197
p13_1,0.001493639246306465
p19_D,0.0014668334427596146
bigram_2A,0.0014637628661781487
p5_B,0.0014517661925259645
p16_A,0.0014455010735944203
p16_2,0.00136946441189849
p5_1,0.0013522348980726027
p5_D,0.0013320492400466805
p9_B,0.0012612382219087345
p14_B,0.001257375958011736
bigram_AC,0.0012382353227924437
last_D,0.0012092065158103393
max_run,0.0012008066952064653
p12_1,0.0011756305777710014
bigram_AA,0.001132767487350189
p10_2,0.0011323685123688916
bigram_A1,0.0010036576810064726
seg1_A,0.000947026292983245
p17_1,0.0008936048396882283
p1_B,0.0008932326258169888
unique_chars,0.0008404999640330709
p0_A,0.0
p8_D,0.0
first_1,0.0
p7_C,0.0
p11_C,0.0
p11_B,0.0
p8_2,0.0
p8_A,0.0
first_2,0.0
first_B,0.0
first_C,0.0
first_D,0.0
p8_C,0.0
last_2,0.0
seg0_B,0.0
p10_B,0.0
last_A,0.0
p10_A,0.0
p9_A,0.0
last_B,0.0
p9_C,0.0
last_C,0.0
p0_2,0.0
p10_1,0.0
p12_A,0.0
p0_B,0.0
p0_C,0.0
p17_2,0.0
p12_B,0.0
p2_A,0.0
p15_D,0.0
p1_D,0.0
p1_C,0.0
p1_A,0.0
p1_2,0.0
p1_1,0.0
p16_1,0.0
p19_B,0.0
p19_A,0.0
p19_2,0.0
p16_C,0.0
p18_B,0.0
p18_A,0.0
p18_2,0.0
p18_1,0.0
p17_D,0.0
p17_B,0.0
p2_2,0.0
p2_B,0.0
p12_C,0.0
p15_A,0.0
p6_C,0.0
p6_B,0.0
p12_D,0.0
p17_A,0.0
p6_1,0.0
p5_A,0.0
p13_B,0.0
p4_D,0.0
p4_B,0.0
p4_A,0.0
p4_2,0.0
p14_2,0.0
p3_C,0.0
p3_B,0.0
p3_A,0.0
p15_1,0.0
p3_1,0.0
p6_2,0.0
