feature,importance
trend_slope,0.04038861925711289
autocorr_lag1,0.03949769723804287
entropy,0.03841627144952436
std,0.03778278788321887
q1_mean,0.03458581970003262
coefficient_of_variation,0.03435610819435139
std_diff,0.033973402796545475
mean,0.030445783884080587
mean_diff,0.0296132072211074
q3_mean,0.02931953372538485
q2_mean,0.02821464577061802
q4_mean,0.026892126881755348
freq_z,0.02580467303056667
valley_count,0.02572466422577558
freq_y,0.021904868578690725
std_run_length,0.021748282765796424
freq_x,0.02153554926186832
freq_w,0.020840386261439414
freq_u,0.020525869566645604
freq_v,0.019944766085170856
negative_transitions,0.019461407674682445
special_ratio,0.019029192591322127
positive_transitions,0.015277010987105658
peak_count,0.015228332714630415
star_ratio,0.014970982417170656
freq_.,0.014529775808438701
star_count,0.014409675173317711
freq_*,0.014361313459473368
dot_ratio,0.014145297143194324
q4_star,0.013945905501202066
dot_count,0.0139330085663568
q2_dot,0.01347283604083906
q3_star,0.013336936703144023
q1_star,0.01246405103767326
mean_run_length,0.012077701697159583
q3_dot,0.01191336089662379
q2_star,0.011622528195596834
q1_dot,0.011369774752215858
num_runs,0.011315508399986648
zero_transitions,0.011190692498965284
q4_dot,0.010824948473843575
transition_count,0.01053752735216209
bigram_wz,0.010446848344560312
bigram_*z,0.010405573707313119
transition_rate,0.010025872826730484
median,0.009960094967636385
bigram_yx,0.009166624417943746
bigram_uv,0.008881307772877533
bigram_vu,0.008665143601149505
bigram_**,0.008556618530545035
bigram_..,0.00838680926350613
bigram_z*,0.008162788556054942
bigram_zw,0.007682423505508066
bigram_xy,0.006570112384509831
max_consecutive,0.006226722313794423
max_run_length,0.00542301626812933
unique_chars,0.0005072116769086238
max,0.0
range,0.0
min,0.0
