Model,Val_Balanced_Accuracy,Test_Balanced_Accuracy
RF_400_10,0.6262257086824746,0.47208392603129445
ET_200_15,0.625601711535033,0.5124466571834994
ET_400_15,0.6234622927438046,0.5387624466571834
LR_C0.01,0.6072383669103227,0.5119132290184922
ET_200_20,0.6023355321804242,0.5394736842105263
RF_400_15,0.5882510251381707,0.46603840682788056
LR_C0.1,0.5875378855410947,0.4790184921763869
SVM_C1,0.5875378855410947,0.46550497866287344
GB_200_0.1,0.5826350508111963,0.519203413940256
ET_400_20,0.581208771617044,0.5323613086770982
RF_200_10,0.5790693528258156,0.4454125177809388
GB_100_0.1,0.5763059368871457,0.5328947368421053
RF_400_20,0.5685505437689428,0.4864864864864865
LR_C0.001,0.5670351221251559,0.5433854907539118
LR_C1,0.5607951506507399,0.49253200568990047
GB_200_0.05,0.5573185951149937,0.4788406827880512
GB_100_0.05,0.5495632019967909,0.5058677098150782
LR_C10,0.5474237832055624,0.4992887624466572
RF_200_20,0.5291495810304867,0.5062233285917497
RF_200_15,0.5016937065430558,0.48630867709815084
SVM_C0.1,0.5,0.5
SVM_C10,0.49893029060438576,0.4658605974395448
