timestamp_utc,asset_id,zone,vibration_rms_mm_s,peak_accel_g,bearing_temp_c,rpm,load_pct,quality_flag
2024-01-01 00:00:00,COMP-001,Zone_B,2.46,1.03,73.0,3509,73.8,good
2024-01-01 00:00:00,COMP-002,Zone_C,2.62,1.46,69.9,3530,80.4,good
2024-01-01 00:00:00,FAN-001,Zone_C,1.97,1.11,51.1,1122,60.2,good
2024-01-01 00:00:00,FAN-002,Zone_A,1.33,0.56,50.2,1177,53.9,good
2024-01-01 00:00:00,MOTOR-001,Zone_B,1.82,0.85,54.0,1739,69.2,good
2024-01-01 00:00:00,PUMP-001,Zone_A,2.61,1.61,62.0,1699,72.5,good
2024-01-01 00:00:00,PUMP-002,Zone_A,2.09,0.95,65.0,1730,72.9,good
2024-01-01 00:00:00,PUMP-003,Zone_B,1.69,0.62,61.9,1686,67.1,good
2024-01-01 01:00:00,COMP-001,Zone_B,2.55,1.38,69.1,3510,79.7,good
2024-01-01 01:00:00,COMP-002,Zone_C,3.1,1.86,73.9,3542,85.1,good
2024-01-01 01:00:00,FAN-001,Zone_C,1.67,1.13,50.3,1132,53.3,good
2024-01-01 01:00:00,FAN-002,Zone_A,1.5,0.73,47.4,1163,61.5,good
2024-01-01 01:00:00,MOTOR-001,Zone_B,2.35,1.48,55.7,1745,76.8,good
2024-01-01 01:00:00,PUMP-001,Zone_A,2.65,1.23,63.5,1731,71.5,good
2024-01-01 01:00:00,PUMP-002,Zone_A,1.63,1.08,59.0,1702,71.4,good
2024-01-01 01:00:00,PUMP-003,Zone_B,2.29,1.28,62.7,1739,81.4,good
2024-01-01 02:00:00,COMP-001,Zone_B,2.73,1.12,71.7,3535,84.3,good
2024-01-01 02:00:00,COMP-002,Zone_C,2.9,1.46,75.5,3573,91.8,good
2024-01-01 02:00:00,FAN-001,Zone_C,1.91,0.85,50.1,1157,64.7,good
2024-01-01 02:00:00,FAN-002,Zone_A,1.65,0.68,53.0,1171,68.9,good
2024-01-01 02:00:00,MOTOR-001,Zone_B,2.48,0.79,58.7,1721,80.4,good
