hour,mean,std,min,max
0,119.37503571428572,5.161316294082948,105.511,127.446
1,118.5747142857143,5.032337339699026,107.165,125.89
2,119.13860714285714,3.8853955643922484,111.076,128.163
3,120.90575,5.885962457091983,112.013,133.182
4,119.73910714285715,4.869517850794509,107.875,127.699
5,118.18410714285714,5.38400726665135,99.074,131.269
6,120.46078571428572,4.773116400697051,110.904,130.682
7,120.9615,3.6248543623362517,113.736,126.153
8,119.91328571428572,3.7476719475502405,113.668,128.577
9,122.04007142857142,4.1369163137899685,116.293,131.926
10,121.22214285714286,4.743915976664299,110.048,130.458
11,119.89985714285714,5.826526070731172,109.886,130.521
12,120.68760714285715,5.021653883815169,113.488,134.008
13,119.34078571428572,5.207323179246867,109.446,130.516
14,119.23578571428571,5.060375973128672,107.815,129.245
15,120.09142857142857,3.8069115257751096,113.444,127.287
16,118.72767857142857,4.330091368923701,110.844,127.568
17,120.50346428571429,5.84585000303091,109.422,131.688
18,119.23428571428572,6.49826630359059,105.362,128.33
19,120.66014285714286,5.319794480256667,107.9,133.573
20,119.68853571428572,4.132875310484284,111.959,126.967
21,120.66860714285714,4.811409074729723,109.957,131.101
22,119.82121428571429,5.552131231485816,107.447,135.346
23,118.93103571428571,4.684403029140213,106.492,128.26
