Period,Inflation_by_Inflation,Inflation_by_REIT,REIT_by_Inflation,REIT_by_REIT
0,100.0,0.0,87.2046966057431,12.795303394256901
1,97.52039678542471,2.47960321457528,85.65667044472617,14.343329555273824
2,97.47278630980628,2.5272136901937126,85.65066806019325,14.349331939806753
3,97.46917771723471,2.530822282765273,85.64932633095088,14.350673669049128
4,97.46901654651509,2.5309834534849,85.64927878396593,14.350721216034094
5,97.46900790281458,2.530992097185394,85.64927598312406,14.350724016875951
6,97.46900746928794,2.53099253071202,85.6492758471124,14.350724152887597
7,97.46900744701492,2.5309925529850643,85.64927584004128,14.350724159958714
8,97.4690074458805,2.5309925541194582,85.64927583968267,14.350724160317323
9,97.46900744582251,2.530992554177416,85.64927583966431,14.350724160335673
10,97.46900744581956,2.530992554180374,85.64927583966337,14.350724160336611
11,97.4690074458194,2.5309925541805245,85.64927583966335,14.350724160336659
