record_date,unit_std,kwh_site,source_site,kwh_field,source_field,_merge
2024-01-01,T01,50,Site Historian,50,Field Operations,both
2024-01-01,T02,51,Site Historian,51,Field Operations,both
2024-01-01,T03,52,Site Historian,52,Field Operations,both
2024-01-02,T01,53,Site Historian,53,Field Operations,both
2024-01-02,T02,54,Site Historian,54,Field Operations,both
2024-01-02,T03,55,Site Historian,55,Field Operations,both
2024-01-03,T01,56,Site Historian,56,Field Operations,both
2024-01-03,T02,57,Site Historian,57,Field Operations,both
2024-01-03,T03,58,Site Historian,58,Field Operations,both
2024-01-04,T01,59,Site Historian,59,Field Operations,both
2024-01-04,T02,60,Site Historian,60,Field Operations,both
2024-01-04,T03,61,Site Historian,61,Field Operations,both
2024-01-05,T01,62,Site Historian,62,Field Operations,both
2024-01-05,T02,63,Site Historian,63,Field Operations,both
2024-01-05,T03,64,Site Historian,64,Field Operations,both
2024-01-06,T01,65,Site Historian,65,Field Operations,both
2024-01-06,T02,66,Site Historian,66,Field Operations,both
2024-01-06,T03,67,Site Historian,67,Field Operations,both
2024-01-07,T01,68,Site Historian,68,Field Operations,both
2024-01-07,T02,69,Site Historian,69,Field Operations,both
2024-01-07,T03,70,Site Historian,70,Field Operations,both
2024-01-08,T01,71,Site Historian,71,Field Operations,both
2024-01-08,T02,72,Site Historian,72,Field Operations,both
2024-01-08,T03,73,Site Historian,73,Field Operations,both
2024-01-09,T01,74,Site Historian,74,Field Operations,both
2024-01-09,T02,75,Site Historian,75,Field Operations,both
2024-01-09,T03,76,Site Historian,76,Field Operations,both
2024-01-10,T01,77,Site Historian,77,Field Operations,both
2024-01-10,T02,78,Site Historian,78,Field Operations,both
2024-01-10,T03,79,Site Historian,79,Field Operations,both
