accno_normalized,accno,source,object_name,record_count
X100,"['X-100', 'X 100', 'x_100', 'X100', 'X100 ']","['Batch A', 'Batch A', 'Batch A', 'Batch B', 'Batch B']","['Vase, Han style', 'Han vase (registrar dup)', 'Vase Han-style', 'Vase Han', 'Han vase']",5
K12,"['K12', 'K-012', 'K12', 'K12 ']","['Batch A', 'Batch A', 'Batch B', 'Batch B']","['Stone Bodhisattva', 'Bodhisattva stone', 'Stone figure', 'Bodhisattva']",4
M205,"['M-205', 'M205', 'M 205', 'M205']","['Batch A', 'Batch A', 'Batch A', 'Batch B']","['Landscape handscroll', 'Ink landscape scroll', 'scroll landscape', 'Handscroll landscape']",4
A1,"['A001', 'A-001', 'A001']","['Batch A', 'Batch A', 'Batch B']","['Rubbing', 'stele rubbing', 'Paper rubbing']",3
T88,"['T88', 'T-088', 'T088']","['Batch A', 'Batch A', 'Batch B']","['Bronze mirror', 'mirror bronze', 'Mirror']",3
R500,"['R500', 'R-500', 'R500']","['Batch A', 'Batch A', 'Batch B']","['Celadon dish', 'dish celadon', 'Celadon plate']",3
P401,"['P401', 'P-401', 'P401']","['Batch A', 'Batch A', 'Batch B']","['Robe fragment', 'textile robe piece', 'Silk robe frag']",3
B44,"['B44', 'B-044', 'B44']","['Batch A', 'Batch A', 'Batch B']","['Porcelain figure', 'figurine porcelain', 'Porcelain statuette']",3
L600,"['L600', 'L-600', 'L600']","['Batch A', 'Batch A', 'Batch B']","['Snuff bottle', 'bottle snuff', 'Snuff bottle']",3
N300,"['N300', 'N-300', 'N300']","['Batch A', 'Batch A', 'Batch B']","['Inkstone', 'stone ink', 'Inkstone Ming']",3
J150,"['J150', 'J-150', 'J150']","['Batch A', 'Batch A', 'Batch B']","['Wood printing block', 'block print wood', 'Printing block']",3
H222,"['H222', 'H-222', 'H222']","['Batch A', 'Batch A', 'Batch B']","['Ewer', 'ewer brass', 'Brass ewer']",3
G333,"['G333', 'G-333', 'G333']","['Batch A', 'Batch A', 'Batch B']","['Jade pendant', 'pendant jade', 'Jade ornament']",3
F888,"['F888', 'F-888', 'F888']","['Batch A', 'Batch A', 'Batch B']","['Cloisonne vase', 'vase cloisonne', 'Cloisonne']",3
D77,"['D77', 'D-077', 'D77']","['Batch A', 'Batch A', 'Batch B']","['Lacquer box', 'box lacquer', 'Lacquer case']",3
C901,"['C901', 'C-901', 'C901']","['Batch A', 'Batch A', 'Batch B']","['Silver hairpin', 'hairpin silver', 'Hairpin']",3
Z999,"['Z999', 'Z-999', 'Z999']","['Batch A', 'Batch A', 'Batch B']","['Replica vase', 'vase replica', 'Reproduction vase']",3
Q120,"['Q120', 'Q-120']","['Batch B', 'Batch B']","['Iron sword', 'sword iron']",2
E505,"['E505', 'E-505']","['Batch B', 'Batch B']","['Painting album leaf', 'album painting']",2
S400,"['S400', 'S-400']","['Batch B', 'Batch B']","['Snuff dish', 'dish snuff']",2
U808,"['U808', 'U-808']","['Batch B', 'Batch B']","['Stoneware jar', 'jar stoneware']",2
V303,"['V303', 'V-303']","['Batch B', 'Batch B']","['Gilt bronze fitting', 'fitting gilt']",2
W700,"['W700', 'W-700']","['Batch B', 'Batch B']","['Bronze bell', 'bell bronze']",2
Y50,"['Y050', 'Y-050']","['Batch B', 'Batch B']","['Glass bead strand', 'beads glass']",2
T88X,['T88x'],['Batch B'],['Bronze mirror (typo id)'],1
