feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,label
0.2162,0.3868,-0.5621,-1.6714,-0.2997,-0.4469,-1.2037,1.716,-0.1727,-1.0963,-3.3689,-0.2949,-0.8655,0.8843,-1.5626,0.5281,-0.6869,-1.3318,-0.7815,0.7859,0.2433,-0.2553,0.0703,-0.0451,1.0983,-0.9384,-0.286,-0.4614,-1.273,0.5971,-0.2525,-0.3081,0
-1.2802,1.6945,1.2405,0.6629,0.3194,1.8311,-1.0386,-0.4988,-0.3129,0.0726,-0.1454,-0.5559,0.5503,0.1923,-2.3875,0.2287,-1.0981,0.9536,-0.1092,0.2218,0.3435,-0.606,0.5227,-2.1952,-0.8682,-0.0847,0.2604,-1.0024,-1.637,-1.1664,-0.0792,-1.0075,1
0.1228,1.2995,-0.6206,-0.9555,-1.5423,0.7581,-0.1688,0.2576,0.0763,0.9649,-1.4418,1.6674,0.5853,-1.88,-1.151,1.08,1.301,0.1115,-0.3075,0.4146,0.3075,-1.0789,-0.0913,1.1233,-0.4127,0.2229,-1.6825,-1.0788,0.4086,0.5145,-0.6063,0.9432,2
0.5356,-0.3419,-0.9533,-0.4395,-0.9558,-1.425,1.6436,0.5679,1.3804,-1.8355,-0.0467,-0.1653,-0.733,-0.4544,1.217,0.437,0.2547,1.0066,-0.6495,1.0598,-0.9168,1.0588,-1.3739,0.2976,0.3013,1.1353,1.2474,-0.5746,1.0612,2.0891,-1.2198,0.8173,3
-1.2538,2.0617,-0.2923,-0.5323,-2.305,-1.6301,0.0963,0.4172,0.9548,0.405,-2.4094,0.1375,-0.0288,0.2619,0.1934,1.4496,-0.2439,0.4738,-1.8333,-0.6554,-0.1783,-0.6223,-1.7311,0.0003,2.0702,0.7078,-0.1095,0.4791,0.0014,-0.1066,-1.9177,-1.7882,3
0.7234,0.7351,1.665,0.7057,0.1983,0.3175,-0.2768,-0.5507,-0.9786,1.0973,-1.5362,-0.416,0.2746,0.7809,-0.1951,0.5019,-0.2633,0.2559,-0.8109,0.6969,-1.962,0.4011,-0.9439,0.5853,0.2692,-0.2142,-0.0863,-0.6736,0.6158,-0.883,1.2464,0.9843,0
-0.4604,-1.6423,-0.2696,-1.5936,0.1412,-0.2846,-0.777,2.7741,1.3555,0.3074,0.3829,-0.6728,0.3232,-0.8715,-2.4861,-1.5267,-0.5038,1.0869,2.652,0.3535,-1.8917,0.4854,0.6852,0.1323,0.7939,0.797,-0.3697,0.0131,2.131,-0.7559,-0.4347,3.3249,0
-0.7683,0.3182,-0.1574,-0.1082,0.1782,0.08,0.25,0.9179,1.9748,-1.1885,1.761,-1.4964,-1.2706,-0.0751,0.2558,0.546,-0.7076,-0.8898,-1.7174,0.7109,0.9016,-1.05,-0.7281,0.1802,0.247,-0.761,0.6909,-0.4667,-0.3839,-0.4642,-1.9146,1.6107,0
-1.1647,-2.4205,1.075,-0.8702,1.9374,1.6138,-0.9527,0.472,-0.7892,0.0243,-0.6446,-0.2136,-1.1503,-1.6426,-0.8011,1.0292,-0.1913,-0.3973,0.2379,-0.4245,0.3497,1.6167,-3.2248,-2.8774,-0.2994,-0.5729,0.3493,1.0871,0.7876,1.7741,1.0776,0.5871,0
1.4665,-1.7127,0.4544,0.9567,-0.0871,0.7811,0.9523,1.7423,-0.6084,1.639,0.1338,0.6501,-0.0143,-1.3675,-0.5183,-0.5709,-1.9966,0.4529,0.0525,0.7654,0.3905,-0.3361,-0.4808,-1.3658,0.9253,-1.7156,0.0383,-1.5561,-0.1309,0.8127,-0.2067,-2.0546,2
