Model,Train Acc,Val Acc,Test Acc
MLP_256_128_64,1.0,0.482,0.553
MLP_64_32,1.0,0.472,0.533
KNN_3,0.7625,0.474,0.528
MLP_128_64,1.0,0.482,0.511
KNN_7,0.684,0.46,0.508
KNN_5,0.7095,0.46,0.506
AdaBoost,0.589,0.502,0.491
DecisionTree_d5,0.613,0.502,0.489
SVM_rbf,0.862,0.45,0.489
RandomForest_100,0.9975,0.482,0.486
RandomForest_200,1.0,0.468,0.485
LogReg_L1,0.5575,0.484,0.485
GradientBoost_200,0.9995,0.496,0.481
GradientBoost_100,0.8085,0.522,0.479
LogReg_L2,0.557,0.504,0.478
DecisionTree_d10,0.8025,0.5,0.476
VotingEnsemble,0.9975,0.498,0.474
SVM_linear,0.566,0.502,0.473
