object_id,field_id,symbol_series,label
obj0,fld5,.u.xyuxvwuwyvwxxywwu*zv.uyxx*zx.yyx*zuwx,1
obj1,fld1,**zuzww.y*yuxwvzx*xywuyxxzzv.yvuw*.*yu**,1
obj2,fld1,zxywwyv.zxxvwwvyvwxyzx.zzxvywxxvzy..*uyw,0
obj3,fld1,u**wywzxvy**.y.w.*v*yzwxv**zw.yx.xu*wxuu,1
obj4,fld4,vz.vyzxxxwxvxzwzwwyw*.zuzzv.wuvyw*xvwv.*,0
obj5,fld4,vvwwuvxw.wzuvxxu.wzw.xxzwyyw.xw*uu.xxxy*,0
obj6,fld3,z..zzuu*vu*uyv*yzxxv*yuyuuzw*vu*vvxzww**,1
obj7,fld2,**wzzxwuvyywvz*wzvvvvzvx*vwxy.**xuw*xuvw,1
obj8,fld4,*vuyywz..y*yu.z*uwzvvv*y.yz*uxxzyvxwwxv*,0
obj9,fld2,ww.zx.vxz..*w.x*uuyuxuy*.v.u..uxxzvx.vvu,0
obj10,fld4,zw.y*.y.zzuuzvu.*uw*xzxv..u*xv.*ww.w.xyx,1
obj11,fld1,uyvu*x*z*w.xzwyv*xzu.www.w.yvvy.vy*zuwyv,0
obj12,fld1,uwxy*.zvwxvxu*zuuywx.uuwuywywwvzx*zuuwv*,0
obj13,fld2,*zw.z*uzvvwxuyv.uuuuy*xvx.xyxzzv.v*u*wwu,1
obj14,fld5,*vwux.vw.x*vxxyxyx***uww*vx*vzv.*...wyu*,1
obj15,fld1,*wzzzv*.uxwvyv.v.w.zvwzzzu.xzwwwzv*zv.wv,0
obj16,fld4,yv*.**yz*.wyzuyv*zwuvxw*uwvuywu.u.xyxvxw,1
obj17,fld3,yzwy.v*.uwuy*yx.zy.vz.*vyxzxw*xx*y...*w.,1
obj18,fld5,z.z.uwzz*yxzxvuywx.vxwuw.w.*.u*.uwx..wzw,0
obj19,fld1,.yyvy*uy*vvvzxxwy*xvxy*zzuv*.z.zwu..yu.z,0
obj20,fld1,xzxzw*zvxvyyzuwvx*.*vwzuuy.yyv*.zuw*vwzy,1
obj21,fld5,.uuxywxwxvxzzyuyuz.uywuxx*xzvuv*yuzxuux.,1
obj22,fld2,*xvvzw*yzyz*xy*wuzuw..vwwvyzzuwyvvuxu*xx,0
obj23,fld4,vx.y*uzwvwyuzv.vz.xv.yyywv.y.uwxx.*z*.*z,0
