model,val,test
Feat_RF_d2,0.5333392761633089,0.5037339971550499
Feat_RF_d3,0.5361918345516135,0.504267425320057
Feat_RF_d4,0.561508290247816,0.4578591749644382
Feat_ET_d2,0.5191656266714209,0.5024893314366998
Feat_ET_d3,0.5227313246568015,0.4832859174964438
Feat_GB_d2,0.5833481904082725,0.4724395448079659
Feat_GB_d3,0.5460866464610448,0.41963015647226176
Feat_LR_C0.01,0.5354786949545374,0.5254267425320057
Feat_LR_C0.1,0.4911748974861829,0.5261379800853485
Feat_LR_C1,0.4651453021929043,0.5197368421052632
Feat_KNN_10,0.5158673560349438,0.4743954480796586
Feat_KNN_20,0.5538420395792476,0.48097439544807963
Feat_LDA,0.4573899090747014,0.5401849217638691
Feat_Ridge,0.4714744161169549,0.5599217638691323
TFIDF_NB,0.5099839543590658,0.4831081081081081
TFIDF_LR,0.5304867177750044,0.4790184921763869
TFIDF_RF,0.5509003387413086,0.471728307254623
Comb_RF_d2,0.5015154216437867,0.5028449502133713
Comb_RF_d3,0.5276341593867,0.4971550497866287
Comb_LR_C0.1,0.48484578356213226,0.5193812233285917
