store_id,sales_revenue_usd,ad_spend_usd,recommended_ad_spend,change_needed
1,486225.31,17552.26,12223.231011616566,-5329.028988383432
2,511430.52,18796.38,12856.865456780082,-5939.514543219919
3,530198.6,19611.57,13328.676719514431,-6282.8932804855685
4,539182.47,19499.92,13554.522466598908,-5945.39753340109
5,520409.72,19410.26,13082.59380461024,-6327.666195389758
6,489240.66,17256.61,12299.033975536478,-4957.576024463522
7,534668.87,20982.37,13441.054956044938,-7541.315043955061
8,537641.49,21300.49,13515.78372935736,-7784.706270642642
9,510972.55,18139.08,12845.352536758723,-5293.727463241279
10,505606.38,18643.25,12710.452246278974,-5932.797753721026
11,503676.06,17357.11,12661.925880413026,-4695.184119586975
12,501447.93,17486.84,12605.912861029248,-4880.927138970752
13,520076.11,20070.53,13074.2071739394,-6996.322826060599
14,534674.96,20240.96,13441.208052717055,-6799.7519472829445
15,482712.86,16294.23,12134.931437563639,-4159.298562436361
16,507978.56,18950.51,12770.086542447423,-6180.423457552575
17,526357.06,19839.19,13232.104143190987,-6607.085856809012
18,525540.54,20277.69,13211.577625174874,-7066.112374825125
19,537613.76,21461.69,13515.086624149175,-7946.603375850824
20,519053.61,18128.89,13048.50251922001,-5080.387480779989
21,480910.37,17668.93,12089.61859347058,-5579.311406529419
22,527287.03,19739.57,13255.482683777187,-6484.087316222813
23,519148.62,19685.26,13050.890978139218,-6634.369021860781
24,506710.36,19103.74,12738.205228887395,-6365.534771112607
25,508560.2,18580.57,12784.70840589093,-5795.86159410907
26,488213.34,16383.54,12273.208150708779,-4110.331849291222
27,528458.47,19363.17,13284.931545121422,-6078.238454878576
28,523214.02,18967.83,13153.091176961912,-5814.738823038089
29,497182.29,18054.61,12498.678823516078,-5555.931176483922
30,523229.64,19934.89,13153.483848557724,-6781.406151442276
31,496756.04,19145.36,12487.96331341912,-6657.39668658088
32,543780.09,21740.74,13670.102158169526,-8070.637841830476
33,524733.49,19440.8,13191.289173740855,-6249.510826259144
34,480802.3,18479.06,12086.901818863711,-6392.15818113629
35,476682.35,16853.07,11983.330286138873,-4869.739713861127
36,510218.72,17596.78,12826.401984321445,-4770.378015678554
37,524559.58,19181.55,13186.917245621296,-5994.632754378703
38,512182.0,19997.48,12875.7569325048,-7121.723067495199
39,479999.35,17436.25,12066.716437438838,-5369.533562561162
40,505600.11,18099.31,12710.294624582062,-5389.015375417939
41,524517.51,18874.17,13185.859646771376,-5688.310353228622
42,540403.88,20570.73,13585.227525103368,-6985.502474896632
43,475919.1,16339.38,11964.14292407083,-4375.23707592917
44,516680.85,20228.99,12988.85364241612,-7240.136357583882
45,511569.07,19494.21,12860.348468918342,-6633.861531081657
