timestamp_utc,asset_id,zone,vibration_rms_mm_s,peak_accel_g,bearing_temp_c,rpm,load_pct,quality_flag
2025-10-01 00:00:00,PUMP-001,Zone-A,2.311,6.319,49.6,1510.0,67.1,GOOD
2025-10-01 00:00:00,PUMP-002,Zone-A,2.717,7.534,52.3,1471.0,62.2,GOOD
2025-10-01 00:00:00,PUMP-003,Zone-B,2.216,7.573,44.3,1427.0,56.7,GOOD
2025-10-01 00:00:00,MOTOR-001,Zone-B,1.285,3.597,55.8,1583.0,62.6,GOOD
2025-10-01 00:00:00,MOTOR-002,Zone-C,1.383,3.592,60.3,1489.0,65.6,GOOD
2025-10-01 00:00:00,FAN-001,Zone-C,2.432,6.524,39.1,1006.0,60.3,GOOD
2025-10-01 00:00:00,FAN-002,Zone-A,3.115,10.341,36.3,1025.0,41.2,GOOD
2025-10-01 00:00:00,COMP-001,Zone-B,3.843,11.848,65.5,2543.0,70.7,GOOD
2025-10-01 01:00:00,PUMP-001,Zone-A,1.952,5.293,53.3,1500.0,50.7,GOOD
2025-10-01 01:00:00,PUMP-002,Zone-A,1.871,6.843,52.0,1524.0,64.2,GOOD
2025-10-01 01:00:00,PUMP-003,Zone-B,1.81,5.424,49.2,1499.0,64.4,GOOD
2025-10-01 01:00:00,MOTOR-001,Zone-B,1.231,4.717,56.6,1559.0,70.5,GOOD
2025-10-01 01:00:00,MOTOR-002,Zone-C,1.628,5.951,58.2,1543.0,71.4,GOOD
2025-10-01 01:00:00,FAN-001,Zone-C,1.463,4.346,42.6,1022.0,49.5,GOOD
2025-10-01 01:00:00,FAN-002,Zone-A,2.615,7.434,41.2,1055.0,48.4,GOOD
2025-10-01 01:00:00,COMP-001,Zone-B,2.915,10.801,63.7,2605.0,73.9,GOOD
2025-10-01 02:00:00,PUMP-001,Zone-A,2.161,6.143,53.6,1463.0,57.9,GOOD
2025-10-01 02:00:00,PUMP-002,Zone-A,2.236,6.99,51.5,1488.0,58.3,GOOD
2025-10-01 02:00:00,PUMP-003,Zone-B,1.996,6.545,48.3,1482.0,61.5,GOOD
2025-10-01 02:00:00,MOTOR-001,Zone-B,1.6,4.682,60.4,1461.0,63.6,GOOD
2025-10-01 02:00:00,MOTOR-002,Zone-C,1.546,4.202,68.1,1523.0,65.3,GOOD
2025-10-01 02:00:00,FAN-001,Zone-C,3.269,9.975,42.9,1039.0,46.5,GOOD
2025-10-01 02:00:00,FAN-002,Zone-A,3.002,7.688,47.2,996.0,48.2,GOOD
