time_min,temperature_c
0,85.0
1,84.311
2,83.63
3,82.956
4,82.29
5,81.632
6,80.982
7,80.339
8,79.703
9,79.075
10,78.454
11,77.84
12,77.233
13,76.633
14,76.04
15,75.454
16,74.874
17,74.301
18,73.735
19,73.175
20,72.622
21,72.075
22,71.534
23,71.0
24,70.472
25,69.949
26,69.433
27,68.923
28,68.418
29,67.919
30,67.426
31,66.939
32,66.457
33,65.981
34,65.51
35,65.045
36,64.585
37,64.131
38,63.681
39,63.237
40,62.798
41,62.364
42,61.934
43,61.51
44,61.091
45,60.676
46,60.266
47,59.861
48,59.461
49,59.065
50,58.674
51,58.287
52,57.905
53,57.527
54,57.153
55,56.784
56,56.419
57,56.058
58,55.701
59,55.349
60,55.0
61,54.655
62,54.315
63,53.978
64,53.645
65,53.316
66,52.991
67,52.669
68,52.352
69,52.038
70,51.727
71,51.42
72,51.117
73,50.817
74,50.52
75,50.227
76,49.937
77,49.651
78,49.368
79,49.088
80,54.239
81,54.007
82,53.777
83,53.55
84,53.325
85,53.103
86,52.884
87,52.667
88,52.453
89,52.241
90,52.031
91,51.824
92,51.619
93,51.417
94,51.217
95,51.019
96,50.824
97,50.63
98,50.439
99,50.251
100,50.064
101,49.879
102,49.697
103,49.517
104,49.339
105,49.162
106,48.988
107,48.816
108,48.646
109,48.478
110,48.311
111,48.147
112,47.984
113,47.824
114,47.665
115,47.508
116,47.353
117,47.2
118,47.048
119,46.898
120,46.75
121,39.828
122,39.657
123,39.489
124,39.323
125,39.158
126,38.996
127,38.835
128,38.676
129,38.519
130,38.363
131,38.21
132,38.058
133,37.908
134,37.76
135,37.613
136,37.469
137,37.325
138,37.184
139,37.044
140,36.905
141,36.769
142,36.634
143,36.5
144,36.368
145,36.237
146,36.108
147,35.981
148,35.855
149,35.73
150,35.607
151,35.485
152,35.364
153,35.245
154,35.128
155,35.011
156,34.896
157,34.783
158,34.67
159,34.559
160,34.449
161,34.341
162,34.234
163,34.128
164,34.023
165,33.919
166,33.817
167,33.715
168,33.615
169,33.516
170,33.418
171,33.322
172,33.226
173,33.132
174,33.038
175,32.946
176,32.855
177,32.764
178,32.675
179,32.587
180,32.5
181,32.414
182,32.329
183,32.245
184,32.161
185,32.079
186,31.998
187,31.917
188,31.838
189,31.759
190,31.682
191,31.605
192,31.529
193,31.454
194,31.38
195,31.307
196,31.234
197,31.163
198,31.092
199,31.022
