feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,label
-1.7064,0.2873,-0.9897,0.6091,-0.8338,1.4411,-2.1738,1.6726,-1.5272,0.1645,0.3227,-0.9025,1.1207,-0.5017,0.2848,0.2812,0.7476,2.6934,0.7199,-0.041,-0.3455,1.52,1.6414,-0.5314,-0.0143,0.7683,-1.0532,-0.6766,-0.9462,-0.9214,-0.3341,-1.9932,3
0.2904,0.9295,0.5074,-0.1264,-0.3769,0.8919,-0.2769,1.0512,-1.0271,0.2477,-0.8215,-0.6579,-0.538,0.1191,0.4294,-0.5229,-0.1171,-0.3933,-0.8877,-1.1477,0.2145,0.1712,0.2865,0.422,0.0931,-0.2195,-2.617,1.0647,-0.2279,-0.8837,0.2423,-0.434,1
0.0359,0.3601,-0.5302,0.2316,1.529,-0.3984,-0.6476,-0.2074,0.1857,1.6346,1.0376,0.3921,0.0858,-0.609,1.8237,0.4517,-0.7775,0.2996,-1.8024,-0.1504,1.6984,-1.0404,-1.4766,-2.2975,1.3199,-0.5058,0.8018,-0.3705,0.6563,-0.6703,0.6318,0.5074,0
-0.7275,-1.6115,1.2036,-0.5151,-1.0684,0.0754,-0.2528,0.6214,1.0201,0.2789,-0.3289,-0.025,0.0003,-0.9967,1.0711,0.3903,-1.0573,1.1726,-2.2783,0.2298,0.1669,-0.8592,-0.6557,-0.282,-0.7989,0.8493,0.2065,0.5033,-0.7118,0.2347,0.1216,0.0812,2
-1.2277,0.3755,1.7121,0.5275,-1.9694,0.4465,-1.0939,-1.539,0.2678,-0.3444,1.1275,-0.1759,0.2457,1.7313,-0.2439,-1.1052,0.1792,-0.3797,0.2687,1.2813,1.4334,0.9252,-0.4147,-1.501,-1.5443,-0.6669,0.6723,0.5846,0.4976,0.7421,0.0441,1.9997,2
-0.0041,-0.7884,-2.4473,1.187,0.4039,-0.6417,-0.5509,0.9862,-3.0472,0.2586,2.0,0.7071,0.5689,1.352,-1.2362,-0.8303,0.0131,-0.2601,-1.4312,-0.2546,1.0405,0.377,0.6727,0.864,-0.412,0.9459,-0.3099,1.1518,1.1824,2.8265,0.8338,-1.26,1
0.1089,0.1108,1.9831,1.3644,-0.7294,1.2966,0.4171,0.8214,0.379,-0.2703,-0.8194,0.4267,-1.5805,1.2701,0.2039,-0.844,0.5057,-0.4526,-0.0673,0.9888,-1.4088,0.3817,0.8674,0.6255,0.528,0.9887,0.4954,-0.653,-2.4027,-0.1071,1.4318,-1.1627,1
0.1072,0.9924,0.5205,-0.8655,-0.9374,-1.0771,1.1771,0.6437,-0.6566,0.0141,-0.6672,1.0227,-1.0921,1.29,0.8192,-1.4823,0.7865,-0.1271,-0.3352,-1.1137,-0.9001,-0.0787,-0.9252,0.2697,-1.0004,-0.6815,-0.8958,-0.7387,-0.2022,0.4192,-2.0108,0.9827,1
0.1656,-0.2608,-0.9579,0.2311,-1.2057,0.4375,-0.5731,1.6777,-1.5497,0.3501,-0.1881,0.4404,-1.6517,-0.2171,0.5689,1.0062,0.6442,1.384,-1.2014,-0.0743,-1.0539,1.0085,-0.9343,1.1718,0.1175,0.0696,1.0593,0.4951,-1.478,0.2331,1.2682,2.7389,0
0.8022,-1.5289,0.109,-0.153,0.3132,-0.7297,-0.1717,-0.8662,0.3827,-0.4383,1.3544,-0.5069,1.5681,-1.9929,-0.1463,0.4056,-0.4912,0.0428,1.1209,-1.0851,0.58,-0.9628,-0.9463,0.4585,-0.5507,0.5818,0.0789,-0.3196,0.8322,2.6985,-3.7679,-0.0697,1
