feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,label
1.907,-0.6682,0.8682,0.4093,-0.7598,-1.2134,0.6822,-0.4123,-1.7774,-1.1922,-0.1882,-0.8143,-0.463,2.0684,-0.8416,-1.4528,-0.8196,-0.5952,-1.7667,-0.4634,0.303,0.6417,-0.962,-0.6741,0.462,0.1264,0.0646,1.3721,-0.3451,-0.1147,-0.6469,-1.15,0
0.8064,-0.6871,0.7372,0.3123,-0.2846,-1.3398,1.5793,0.1817,0.3513,-1.155,0.1594,1.016,1.5043,-2.3586,0.4355,-0.1819,0.9537,0.377,-1.1785,-1.4365,0.8548,-0.6741,-1.1835,-0.7906,0.9623,-2.3535,0.3053,-1.1455,0.0896,-0.4965,-0.6431,-0.2957,2
-1.8055,-1.3959,0.3368,2.2237,0.1579,-1.3087,0.4717,-0.5225,-0.6801,-0.0632,0.9068,-2.6437,0.3388,-0.8851,-1.3682,-0.927,-0.3434,-0.8748,2.6989,-1.1319,0.0698,-0.1276,-1.2593,-0.0235,0.385,-1.0909,1.5323,0.2206,0.4336,-0.1814,1.3633,0.1404,1
0.3385,0.4149,-0.5946,-0.3194,0.8735,-2.0817,1.0588,-0.5903,-0.3764,1.5524,-0.6913,1.6479,0.0296,-0.7189,0.3353,-0.2775,1.352,0.2764,-0.0443,-1.4919,1.0493,1.3284,1.0147,-0.0862,-0.2356,-1.7359,-0.7095,1.0414,0.8572,-0.7518,-0.6736,1.007,2
0.4899,0.138,-0.0264,-0.5312,1.078,0.3494,-0.63,-0.3017,-1.1071,0.9646,-1.0355,-0.1631,1.106,-0.5052,-0.1208,1.4534,-0.184,-1.1276,-0.261,0.2266,-0.8818,-1.3354,-2.1069,-0.0125,-0.1257,-0.8109,1.2279,-0.5271,0.813,2.0717,-1.3255,-0.1488,1
0.4371,-1.1766,-0.0494,-0.2317,-0.7187,1.1845,1.3547,-0.8313,0.6011,0.8985,-1.0426,1.4347,0.6072,-0.5707,1.8717,-0.4254,-1.3603,-1.0121,-0.4513,0.2347,-1.0276,-0.0832,-0.787,-0.3939,1.089,-1.4339,-0.7223,-0.2298,0.1234,-2.7961,-1.6242,1.9102,2
0.6887,-0.1052,-0.2724,1.7566,0.3119,0.6359,-0.5244,-0.2247,-0.2457,-0.6244,0.4353,-0.5339,0.1206,-0.5571,1.1348,-0.2785,0.2755,-1.5917,-1.2344,-0.1802,0.0546,-1.6292,1.0537,-0.2353,0.5906,-0.536,-0.4457,0.6193,-1.4155,-1.0543,0.698,-0.4509,2
1.1507,0.9952,-0.1324,2.1646,-0.4092,1.3926,1.3513,-0.2767,1.5746,-0.2707,0.6757,0.5547,0.4996,0.946,0.2579,0.0769,1.4153,0.0002,1.679,-1.4201,0.607,-0.4236,-0.1314,-0.2778,0.6562,0.0413,-0.2065,0.9156,-0.1746,-0.5676,0.2012,1.0815,3
-0.3852,-0.813,-0.2469,-1.1049,-0.4463,-0.1359,-0.9747,-0.2625,-1.2904,1.2574,0.9795,-1.613,-1.1769,0.2723,-0.8593,-0.5994,0.4304,-0.5188,1.4169,-0.114,-0.7341,0.2023,-0.6728,0.5693,0.4837,-0.0709,-0.9746,0.7944,-0.1089,0.2469,-1.8909,0.4624,3
0.9171,0.2253,-2.0662,-1.4578,-1.8298,0.2456,-0.4192,-0.9717,-1.339,-0.563,2.5653,0.3127,-1.011,0.5682,0.0244,-1.603,1.0432,-2.0128,1.0135,-0.271,-2.5745,-0.8097,-0.4048,-0.6939,0.4525,1.1845,2.302,0.1996,0.8999,0.596,-0.8906,-0.2459,0
0.3712,0.1801,0.3731,-1.3665,-0.986,0.0679,-0.0454,-1.0837,-0.9455,-0.9299,-0.8165,-0.1191,0.0435,0.2639,-1.1951,-1.6422,-0.0275,-0.4716,0.0623,-0.9877,0.6529,1.221,0.4786,-1.3946,-0.5696,-0.0943,1.0543,-1.2019,2.3273,0.0826,1.3905,0.4812,2
-2.0965,2.3197,-1.3651,-0.3042,1.0288,-1.3968,0.8889,1.6127,0.7631,-0.2252,0.0325,-0.8534,-0.8647,0.7084,0.5155,-0.5692,-1.7168,1.5807,-1.004,-0.5505,-0.6385,0.9109,0.5775,0.5075,0.9756,1.2808,0.9962,0.9507,-0.2847,-1.9927,0.2136,0.3413,1
1.8157,-0.2401,-0.3528,-1.1449,-1.269,0.2713,-0.8732,-0.481,0.4014,-0.3651,0.9152,-0.2752,-1.6473,1.0467,1.449,-0.4699,1.3327,-1.1581,-0.8687,1.5583,0.4882,-0.1971,0.2021,-0.9537,1.7178,0.0091,-0.1653,0.0841,-0.4068,-0.4644,-1.136,0.877,0
-0.3906,2.111,-1.1742,-1.3245,1.2709,-0.2545,-2.723,0.8647,-0.343,-0.4535,-0.2548,-0.5327,-0.5561,1.4338,-0.7554,-0.9671,0.886,-0.0253,-1.0242,0.13,-0.1713,0.7924,2.4668,0.8398,-0.114,0.3072,-1.2333,-0.0871,-1.3309,-0.625,0.6512,-2.1291,3
-0.2239,0.6579,-1.0078,1.3805,0.5353,-0.8334,-0.1946,1.6496,-0.0087,1.37,0.2272,0.8188,-0.2795,-1.2066,0.7609,-0.1856,0.849,0.3504,1.9898,-0.0975,0.6458,-0.9843,0.2891,1.3706,-0.2004,-0.83,-0.5423,-1.0462,1.1268,0.2414,0.1437,0.1749,1
-0.4156,-0.4268,-0.0716,1.2529,-0.3878,-0.8814,0.1551,-0.118,0.2312,0.6227,2.0381,2.244,-0.1172,-0.2701,1.9073,0.4374,-0.4158,0.52,-1.0601,1.8791,-0.5061,-1.7631,2.1586,0.0337,0.0728,-1.6171,-0.6186,-0.43,-0.08,1.936,0.0565,-1.5574,2
1.957,-0.1545,-0.2397,-0.2971,-1.044,0.1912,-0.3159,0.621,0.7285,-0.0183,1.1161,1.2131,-1.0987,-1.3593,0.9101,-1.8591,-0.3262,0.3179,0.771,1.4625,-0.0302,0.0804,-0.4598,0.1693,-0.5823,-0.6884,-1.7042,0.675,-0.9824,-1.0879,0.0577,2.8703,2
0.4947,-1.1926,-0.0394,-0.9745,1.0063,-0.4399,-1.233,0.389,-0.4768,-0.3066,0.85,-0.5722,-0.6747,-0.9869,-1.2726,1.6467,0.338,0.943,-0.6901,1.004,0.084,-0.8057,0.5705,-0.4848,-1.1978,0.0787,-0.3808,0.3195,-1.2522,3.0579,-0.6761,-0.2224,2
1.7945,-0.8717,-0.9291,0.8584,-0.3232,-0.9328,0.4094,-0.623,1.2747,0.9087,0.8013,-0.2373,-0.4213,-0.2896,0.4494,0.1309,-0.5212,1.9099,-0.0199,-0.8915,0.1946,0.1129,1.3779,-0.8326,0.2631,-0.4519,1.527,-1.5184,-1.3735,-0.6877,2.1435,1.0407,0
0.4965,0.973,-1.4491,0.354,-1.2284,0.0985,0.4559,1.1566,1.2766,0.9595,0.1767,0.7001,-3.0433,0.0529,-0.7873,-0.9252,0.1665,1.4005,0.6675,0.7504,1.6511,0.0924,-0.6909,0.6472,0.5277,0.0559,-0.3893,-0.556,-1.0852,1.3987,0.5012,-0.3398,3
-0.7794,-0.4671,0.4827,-0.6198,-1.6671,2.2164,0.4415,-0.443,-0.2269,-0.3091,0.7196,-0.1168,0.26,-0.2286,0.4129,0.2183,-0.7894,0.5586,0.184,-0.4335,-0.8606,0.2005,1.6833,0.0854,0.43,-0.2717,1.2704,-0.2299,-0.1397,0.8011,0.7324,-1.9097,1
0.9783,-0.4693,-0.2857,1.7959,-0.4642,-2.1114,0.3233,-0.5576,-0.2471,0.3095,-0.1428,-0.1674,-0.1432,1.7306,-0.4455,-0.7309,1.6907,-1.7469,-1.2177,-0.582,0.5026,0.3119,1.1575,-0.0469,1.2641,0.2175,0.8877,-0.5171,-0.7775,0.2217,1.4656,0.6239,3
0.2228,-0.0154,0.1884,-0.0748,0.8603,-1.3058,0.4048,-1.1467,0.5064,-1.5077,-0.484,-0.3444,1.6994,-0.898,-1.2244,-0.641,0.5368,-1.4488,2.9753,0.704,-1.3631,1.0259,0.8716,-0.0136,1.3116,-0.8265,-0.83,-0.7866,-0.1746,-0.022,2.0575,-0.1835,3
0.0773,-0.2993,0.1711,-1.1189,-0.7765,1.0692,0.009,0.277,-0.0118,-0.5449,-0.2971,0.8313,0.5949,0.04,-0.0669,1.0082,1.1731,-0.2024,0.8012,-0.16,-0.6217,0.4302,1.2592,0.1572,-1.0223,0.7796,-1.312,0.7835,0.5613,0.6441,-0.4433,-0.6456,1
-0.1205,0.9844,0.6272,2.3526,-1.9381,-0.2407,0.4347,-1.3994,-0.8456,-1.7587,1.0514,-0.935,-1.1709,0.4432,-0.3181,0.4363,0.0017,1.8898,-0.0151,0.8786,0.0606,-1.227,1.6157,0.262,-0.5368,0.4844,-0.6003,1.1515,-0.3543,-1.4599,1.246,0.1577,0
-1.3294,0.7238,-0.0997,-0.3057,-0.4656,-1.0377,-1.3952,0.4267,2.6299,-0.0177,2.4421,-1.3054,-1.6905,-0.0174,0.1058,2.2149,0.0607,0.3695,-1.0976,0.1234,0.6473,0.1794,0.3658,-0.0415,0.3893,-0.3187,1.0237,0.3724,-0.5537,1.1916,0.294,0.3992,1
1.5019,-0.4012,-0.0051,0.786,0.9001,-0.4757,0.0521,0.2142,1.2055,-0.6582,-1.2694,-1.029,1.5448,-0.9416,0.0497,-0.2581,2.3026,0.911,-2.2654,0.9851,-0.2443,-0.0992,0.4816,0.6762,-0.1361,0.4679,1.0318,-0.5062,-1.2076,0.0639,-1.0831,-0.1838,3
0.1783,0.4098,-1.2602,-0.3596,-0.6684,-0.8944,0.8086,-0.7093,0.1401,-0.1621,-0.9267,-0.0799,1.0609,0.3289,0.5065,1.8262,1.5534,1.1064,0.2367,-0.3216,0.0689,-0.8905,-0.677,1.5501,-1.2361,-1.2445,-0.7642,-0.7431,1.195,-0.6873,-0.9729,-0.459,3
1.9122,0.4529,2.3894,-0.2383,-1.4257,2.1714,-0.1838,0.0442,0.654,0.8669,1.7331,-0.0485,-0.1177,0.4888,-0.4089,0.8003,0.0818,0.2346,1.2414,-1.1493,0.304,0.805,0.4433,-0.0369,1.1542,-0.6852,1.2536,-1.3322,-0.0841,-0.6536,-0.3497,-1.3076,2
1.3176,0.1617,0.9846,-0.1501,-0.0681,0.1752,0.6308,0.2222,1.7167,0.5587,-0.9508,1.054,1.0159,1.4035,-1.6789,-0.1723,-0.2088,1.0714,0.3273,-0.2484,0.8503,1.3802,0.3651,-1.8221,-0.1043,1.2687,1.4383,-0.1584,-0.0098,0.0412,1.0272,-0.9256,1
