model,split,val_ba,test_ba,val_auc,test_auc
ET_raw,train_only,0.5263861650918167,0.4523470839260313,0.5240684614013192,0.47999644381223333
ET_haar,train_only,0.5186307719736138,0.5526315789473684,0.5065073988233197,0.5613442389758179
RF_haar,train_only,0.47218755571403104,0.5933499288762447,0.4353717240149759,0.5809032716927454
ET_comb,train_only,0.45810304867177754,0.49253200568990047,0.4528436441433411,0.47635135135135137
RF_comb,train_only,0.47423783205562486,0.4994665718349929,0.4301123194865395,0.5003556187766715
LR_raw,train_only,0.5214833303619184,0.4731507823613087,0.5065073988233197,0.4431009957325747
ET_haar_full,full,,0.5574324324324325,,0.5886379800853485
RF_haar_full,full,,0.5849928876244666,,0.5811699857752489
ET_comb_full,full,,0.4911095305832148,,0.4905761024182077
RF_comb_full,full,,0.4991109530583215,,0.45714793741109533
