model,val_ba,test_ba,val_auc,test_auc
RF_stats,0.5157782135853093,0.4665718349928876,0.4993760028525584,0.4445234708392603
ET_stats,0.5115885184524871,0.43314366998577525,0.4895703333927617,0.4304765291607397
GB_stats,0.48627206275628454,0.4205192034139403,0.5312889998217151,0.4295874822190611
LR_stats,0.4313603137814227,0.46088193456614507,0.44285968978427526,0.4340327169274538
SVM_stats,0.49545373506863966,0.5008890469416785,0.49884114815475133,0.4469238975817924
RF_raw,0.49893029060438576,0.5188477951635846,0.47673382064539127,0.4632823613086771
ET_raw,0.5439472276698163,0.4788406827880512,0.5028525583883046,0.5120910384068278
SVM_raw,0.441255125690854,0.4870199146514936,0.45070422535211274,0.4626600284495021
LR_raw,0.5214833303619184,0.4731507823613087,0.5065073988233197,0.4431009957325747
RF_oh,0.480477803530041,0.48364153627311524,0.5317347120698876,0.4669274537695591
LR_oh,0.48065608842931007,0.46710526315789475,0.5032982706364771,0.48097439544807963
ensemble_top3,0.4982171510073097,0.4665718349928876,0.5038331253342841,0.4541251778093883
ensemble_top5,0.4911748974861829,0.4532361308677098,0.49545373506863966,0.45252489331436696
ensemble_top7,0.4778035300410055,0.45999288762446655,0.49723658406133,0.4519914651493599
