CHROM,SNP,INDEL,TOTAL,MEAN_DP,MEAN_GQ
1,4344,872,5216,30.9,82.0
2,4170,816,4986,30.9,82.0
3,3414,669,4083,31.0,82.1
4,3370,648,4018,30.9,82.4
5,3076,633,3709,30.9,81.9
6,2957,611,3568,30.9,82.6
7,2733,532,3265,30.9,81.9
8,2497,498,2995,30.9,81.9
9,2479,523,3002,30.5,82.3
10,2338,491,2829,30.9,82.2
11,2390,470,2860,30.7,82.3
12,2324,470,2794,30.6,81.8
13,2084,402,2486,30.9,82.0
14,1911,375,2286,31.1,82.0
15,1745,347,2092,31.0,81.4
16,1566,343,1909,30.7,81.5
17,1442,308,1750,31.0,82.2
18,1349,240,1589,31.3,82.1
19,1042,202,1244,31.1,82.0
20,1091,201,1292,30.7,81.5
21,779,179,958,30.7,81.1
22,899,170,1069,30.8,81.8
