day_index,pm25,respiratory_visits,heating_degree_day,flu_index,school_holiday
0,33.31,120,8,0.342,1
1,21.75,123,8,0.316,0
2,0.0,140,6,0.161,0
3,1.66,111,8,0.438,0
4,0.0,91,9,0.216,0
5,9.11,106,8,0.0,0
6,23.56,142,6,0.325,0
7,8.07,135,6,0.337,0
8,0.56,102,9,0.058,0
9,11.11,96,7,0.479,0
10,0.96,128,9,0.302,0
11,12.01,115,8,0.0,0
12,0.0,92,6,0.274,0
13,4.65,157,8,0.501,0
14,7.2,107,9,0.259,0
15,18.22,97,9,0.239,0
16,8.41,102,8,0.305,0
17,1.11,72,9,0.0,0
18,10.06,132,8,0.564,0
19,9.52,129,7,0.655,0
20,15.13,122,6,0.53,0
21,14.62,118,9,0.062,0
22,12.79,115,8,0.242,0
23,0.0,122,7,0.435,0
24,7.2,105,6,0.0,0
25,16.87,118,6,0.307,0
26,0.14,118,8,0.356,0
27,0.0,87,8,0.453,0
28,11.21,107,7,0.709,0
29,11.91,104,9,0.143,0
30,7.34,114,8,0.458,1
31,4.6,103,8,0.137,0
32,6.18,110,8,0.26,0
33,10.72,104,8,0.303,0
34,17.73,111,7,0.197,0
35,8.73,94,9,0.146,0
36,11.62,120,8,0.423,0
37,15.62,112,7,0.061,0
38,13.11,141,6,0.474,0
39,21.68,122,7,0.339,0
40,20.11,139,8,0.565,0
41,0.15,155,8,0.514,0
42,7.3,113,6,0.494,0
43,13.47,114,6,0.507,0
44,10.33,104,9,0.128,0
45,2.54,68,2,0.018,0
46,10.88,82,2,0.233,0
47,10.24,101,1,0.411,0
48,12.46,124,2,0.624,0
49,6.37,135,2,0.411,0
50,16.01,103,3,0.574,0
51,19.66,88,1,0.122,0
52,18.83,104,1,0.544,0
53,11.19,89,1,0.269,0
54,8.43,103,2,0.433,0
55,16.16,93,3,0.137,0
56,0.6,89,1,0.032,0
57,8.2,124,1,0.35,0
58,4.69,101,0,0.26,0
59,12.73,93,3,0.319,0
60,11.15,89,0,0.182,1
61,9.75,80,1,0.475,0
62,19.82,76,1,0.524,0
63,8.63,73,1,0.098,0
64,19.18,125,2,0.53,0
65,33.13,121,2,0.383,0
66,11.06,114,1,0.371,0
67,17.98,101,0,0.368,0
68,18.49,101,0,0.433,0
69,19.05,105,3,0.477,0
70,25.1,86,2,0.353,0
71,8.6,71,1,0.115,0
72,15.08,107,3,0.38,0
73,7.64,88,2,0.379,0
74,1.36,123,1,0.397,0
75,13.07,99,2,0.218,0
76,2.5,95,1,0.603,0
77,6.49,110,2,0.077,0
78,4.08,89,1,0.423,0
79,14.94,103,2,0.207,0
80,3.9,76,1,0.247,0
81,0.0,87,3,0.143,0
82,11.26,68,2,0.225,0
83,8.92,92,1,0.812,0
84,4.53,62,0,0.131,0
85,9.38,85,1,0.0,0
86,6.52,86,2,0.226,0
87,13.22,107,3,0.221,0
88,24.31,132,3,0.681,0
89,18.98,98,1,0.466,0
90,4.69,123,9,0.561,1
91,17.16,130,7,0.095,0
92,14.12,132,6,0.115,0
93,0.0,89,6,0.436,0
94,6.22,100,8,0.186,0
95,3.43,135,7,0.358,0
96,6.62,97,7,0.112,0
97,2.42,139,9,0.719,0
98,17.32,109,6,0.107,0
99,3.57,127,6,0.47,0
100,13.31,107,7,0.159,0
101,6.34,66,6,0.286,0
102,20.87,168,7,0.568,0
103,5.9,106,6,0.107,0
104,9.28,133,8,0.271,0
105,9.42,160,9,0.77,0
106,5.28,93,6,0.19,0
107,0.1,96,9,0.351,0
108,18.85,123,7,0.619,0
109,21.09,107,8,0.246,0
110,11.1,115,8,0.01,0
111,10.21,109,6,0.418,0
112,1.16,139,8,0.113,0
113,1.65,128,8,0.466,0
114,15.06,114,6,0.0,0
115,8.79,96,9,0.237,0
116,13.05,110,7,0.072,0
117,0.0,132,8,0.461,0
118,6.89,116,9,0.68,0
119,17.51,92,7,0.173,0
