hour,mean_mw,max_mw,min_mw,std_mw
0,119.03800531286895,126.503,105.511,4.550835836423378
1,118.22268742621016,125.89,108.708,4.169888424926542
2,119.15505637544274,128.163,111.076,3.6570375177448513
3,120.61880814639905,133.182,112.013,5.689153294562533
4,119.34295277449823,127.699,107.875,4.723936932024539
5,118.38345454545455,131.269,99.074,5.075114425668904
6,120.31402774498228,130.682,110.904,4.709090782513867
7,120.12049380165288,126.153,113.736,3.5586012241104212
8,119.39363842975206,128.577,113.668,3.5405879510570255
9,121.90953305785123,131.926,116.293,4.228934940709006
10,120.40567768595041,130.458,110.048,4.789352967670862
11,119.25003659976387,130.521,109.886,5.3654145707808745
12,119.8055383707202,127.203,113.488,4.231725731163531
13,118.96050442739079,130.516,109.446,4.919368561359625
14,118.6929704840614,129.245,107.815,4.733902874993379
15,120.12507939787486,127.287,113.444,3.765367232548798
16,118.26729545454545,127.568,110.844,4.072471673374039
17,119.98665436835891,131.456,109.784,5.105180032808007
18,118.2090489964581,128.33,105.362,6.062053324381563
19,120.4175507674144,133.573,107.9,5.265464918804705
20,119.36677685950414,126.967,111.959,3.8288208524884895
21,119.44749468713106,130.82,109.957,4.149111184300384
22,118.85935537190083,126.137,107.447,4.381800290854623
23,118.03200177095631,125.658,106.492,3.9871778673996996
