Month,Days,Load_Factor,Energy_MWh,Peak_MW
Jan,31,1.05,93298.86712500002,140.25165
Feb,28,1.03,82664.80270000001,137.58019000000002
Mar,31,0.95,84413.26073214287,126.89435
Apr,30,0.88,75670.97057142858,117.54424
May,31,0.9,79970.4575357143,120.21570000000001
Jun,30,0.95,81690.25232142858,126.89435
Jul,31,1.0,88856.06392857144,133.573
Aug,31,0.98,87078.94265000001,130.90154
Sep,30,0.92,79110.56014285715,122.88716000000001
Oct,31,0.9,79970.4575357143,120.21570000000001
Nov,30,0.93,79970.4575357143,124.22289
Dec,31,1.02,90633.18520714287,136.24446
