lag,correlation,p_value,n
-6,0.05246076128653547,0.7682557153808132,34
-5,0.010502566508274245,0.952251975569656,35
-4,-0.21281724936008575,0.2127004623168604,36
-3,-0.18889770316990045,0.2628417476626228,37
-2,-0.050844450929796836,0.7617737770965416,38
-1,0.052050916118467794,0.7529929686590592,39
0,0.9307533286504156,3.428343485292034e-18,40
1,0.04152738944813714,0.8018071803153853,39
2,-0.15270708661549087,0.3600404945547159,38
3,-0.174575663174298,0.3014084405949832,37
4,-0.18994515387879607,0.2671761612081865,36
5,0.12565635150870916,0.4719847768040399,35
6,0.16662450908552404,0.3462719848431639,34
