,0
0,
1,
2,
3,
4,
5,
6,
7,0.8610300647600889
8,0.7678366769519449
9,0.7196712735140282
10,0.7176626262011649
11,0.808668931762028
12,0.8113589592748648
13,0.8891457509451735
14,0.8625959948548448
15,0.891555693994383
16,0.9505508488100103
17,0.94518695322445
18,0.9369691483304876
19,0.9433523762708629
20,0.9432629557774681
21,0.9545141667284756
22,0.9892609319273351
23,0.9754104015074264
24,0.9723233508481304
25,0.9759262712782023
26,0.9803947801511685
27,0.9840114664370221
28,0.9812923781302362
29,0.9816860882949529
30,0.9862892886688416
31,0.9836621487567279
32,0.9648854438944714
33,0.972835058391503
34,0.9726555325407632
35,0.9648387164188618
36,0.9299791263009484
37,0.9178114632615207
38,0.9114880408957066
39,0.9151203227018868
