date,unit_norm,site_kwh,field_kwh,_merge,delta_kwh,pct_diff
2024-01-01,T-01,50,50,both,0,0.0
2024-01-01,T-02,51,51,both,0,0.0
2024-01-01,T-03,52,52,both,0,0.0
2024-01-02,T-01,53,53,both,0,0.0
2024-01-02,T-02,54,54,both,0,0.0
2024-01-02,T-03,55,55,both,0,0.0
2024-01-03,T-01,56,56,both,0,0.0
2024-01-03,T-02,57,57,both,0,0.0
2024-01-03,T-03,58,58,both,0,0.0
2024-01-04,T-01,59,59,both,0,0.0
2024-01-04,T-02,60,60,both,0,0.0
2024-01-04,T-03,61,61,both,0,0.0
2024-01-05,T-01,62,62,both,0,0.0
2024-01-05,T-02,63,63,both,0,0.0
2024-01-05,T-03,64,64,both,0,0.0
2024-01-06,T-01,65,65,both,0,0.0
2024-01-06,T-02,66,66,both,0,0.0
2024-01-06,T-03,67,67,both,0,0.0
2024-01-07,T-01,68,68,both,0,0.0
2024-01-07,T-02,69,69,both,0,0.0
2024-01-07,T-03,70,70,both,0,0.0
2024-01-08,T-01,71,71,both,0,0.0
2024-01-08,T-02,72,72,both,0,0.0
2024-01-08,T-03,73,73,both,0,0.0
2024-01-09,T-01,74,74,both,0,0.0
2024-01-09,T-02,75,75,both,0,0.0
2024-01-09,T-03,76,76,both,0,0.0
2024-01-10,T-01,77,77,both,0,0.0
2024-01-10,T-02,78,78,both,0,0.0
2024-01-10,T-03,79,79,both,0,0.0
