freq_1,freq_2,freq_A,freq_B,freq_C,freq_D,avg_pos_1,first_pos_1,last_pos_1,avg_pos_2,first_pos_2,last_pos_2,avg_pos_A,first_pos_A,last_pos_A,avg_pos_B,first_pos_B,last_pos_B,avg_pos_C,first_pos_C,last_pos_C,avg_pos_D,first_pos_D,last_pos_D,pattern_11,pattern_22,pattern_AA,pattern_BB,pattern_CC,pattern_DD,pattern_12,pattern_21,pattern_AB,pattern_BA,pattern_CD,pattern_DC,alternations,mean_run,max_run,min_run,std_run,p_dd,p_dl,p_ld,p_ll,digit_minus_letter,lz_complexity
3,2,5,0,5,5,9.666666666666666,4,17,9.5,5,14,8.0,0,19,-1.0,-1,-1,10.8,6,15,9.6,1,18,0,0,1,0,0,0,1,0,0,0,3,2,8,1.0526315789473684,2.0,1.0,0.22329687826943603,0.05263157894736842,0.21052631578947367,0.21052631578947367,0.5263157894736842,-10,1
3,2,2,6,6,1,1.6666666666666667,0,4,15.5,12,19,15.0,13,17,10.833333333333334,2,18,7.333333333333333,3,14,15.0,15,15,1,0,0,1,1,0,0,0,1,1,1,0,6,1.25,3.0,1.0,0.5590169943749475,0.05263157894736842,0.15789473684210525,0.15789473684210525,0.631578947368421,-10,2
1,4,3,4,6,2,10.0,10,10,13.75,12,16,7.0,0,15,9.0,2,17,6.5,1,19,14.5,11,18,0,1,0,1,1,0,0,0,0,0,0,1,6,1.3333333333333333,3.0,1.0,0.699205898780101,0.10526315789473684,0.15789473684210525,0.15789473684210525,0.5789473684210527,-10,2
5,4,1,6,2,2,9.4,4,18,8.5,1,16,11.0,11,11,12.166666666666666,8,19,3.0,0,6,9.5,2,17,1,0,0,1,0,0,1,1,1,1,0,0,12,1.1764705882352942,3.0,1.0,0.5128116404165498,0.15789473684210525,0.3157894736842105,0.3157894736842105,0.21052631578947367,-2,1
1,5,4,2,4,4,17.0,17,17,7.4,0,18,8.0,2,16,15.0,11,19,10.5,3,15,8.0,1,13,0,1,0,0,1,1,1,0,0,0,0,1,7,1.1764705882352942,2.0,1.0,0.3812200410828153,0.10526315789473684,0.21052631578947367,0.15789473684210525,0.5263157894736842,-8,2
5,1,2,2,4,6,13.6,1,19,2.0,2,2,8.0,3,13,9.0,4,14,9.25,6,12,8.166666666666666,0,18,1,0,0,0,1,1,1,0,2,0,2,3,5,1.25,3.0,1.0,0.5590169943749475,0.15789473684210525,0.10526315789473684,0.15789473684210525,0.5789473684210527,-8,1
2,2,5,2,7,2,4.5,0,9,7.0,1,13,6.4,2,10,16.5,16,17,13.285714285714286,4,19,4.5,3,6,0,0,1,1,3,0,1,0,0,0,0,1,5,1.3333333333333333,2.0,1.0,0.47140452079103173,0.05263157894736842,0.15789473684210525,0.10526315789473684,0.6842105263157895,-12,1
1,4,5,5,3,2,16.0,16,16,8.5,2,17,9.2,0,18,8.0,1,15,10.666666666666666,5,19,11.0,9,13,0,0,0,1,0,0,1,0,2,0,1,0,8,1.0526315789473684,2.0,1.0,0.22329687826943603,0.05263157894736842,0.21052631578947367,0.21052631578947367,0.5263157894736842,-10,3
1,4,8,1,3,3,1.0,1,1,12.75,3,18,8.125,0,16,11.0,11,11,13.333333333333334,7,19,7.333333333333333,5,9,0,1,1,0,0,1,0,0,1,1,1,0,8,1.1764705882352942,2.0,1.0,0.3812200410828153,0.05263157894736842,0.21052631578947367,0.21052631578947367,0.5263157894736842,-10,1
5,3,5,1,1,5,8.0,0,19,10.333333333333334,5,15,8.0,1,17,14.0,14,14,18.0,18,18,9.4,2,16,1,0,1,0,0,1,0,1,0,0,0,0,8,1.25,3.0,1.0,0.5590169943749475,0.15789473684210525,0.21052631578947367,0.21052631578947367,0.42105263157894735,-4,1
