feature,score,p_value
trans_50,5.898910712385157,0.015503160420423186
ngram_y*,5.898910712385157,0.015503160420423186
ngram_wu,5.797973844617822,0.016407179782114686
trans_7,5.7979738446178075,0.01640717978211546
trans_24,5.774013040491586,0.016629679777403178
ngram_xw,5.774013040491581,0.016629679777403178
trans_prob_21,4.890115246997398,0.02746431784797346
trans_prob_7,4.463983543312648,0.035113676761446076
trans_prob_1,3.5901439117692995,0.058702184522748974
trans_prob_50,3.420856953535697,0.0649698868243017
trans_prob_24,3.0423196540050848,0.08173689420069817
trans_prob_43,3.0072930957148443,0.08350943050895505
ngram_.z,2.8565022282922,0.09163099294697692
trans_12,2.8565022282921957,0.09163099294697692
trans_52,2.793505427197453,0.09527518785628271
ngram_yz,2.793505427197453,0.09527518785628271
trans_prob_49,2.6591914191666906,0.10358529680531925
trans_prob_9,2.4355019222607948,0.11925115245615431
ngram_yu,2.3450772713974084,0.1263142950153635
trans_55,2.345077271397408,0.1263142950153635
ngram_**,2.3431979925480193,0.12646594531320607
trans_18,2.3431979925480184,0.12646594531320607
ngram_yx,2.2676014234883755,0.13273821715986603
trans_51,2.2676014234883755,0.13273821715986603
trans_prob_12,2.121147282136753,0.14590785108051849
trans_1,2.079130202226254,0.14995380258488836
ngram_w.,2.0791302022262443,0.14995380258490004
trans_20,2.065433917136071,0.1513000171022688
ngram_*z,2.0654339171360703,0.1513000171022688
ngram_zz,2.0056243386327046,0.15734191640160675
trans_36,2.005624338632704,0.15734191640160675
longest_run,1.9822116997449741,0.15978151618693776
repetitions,1.9601661505410763,0.16211822080249363
repetition_ratio,1.9601661505410732,0.16211822080249363
self_transition_prob,1.9601661505410732,0.16211822080249363
trans_53,1.9401582883789912,0.16427282958161882
ngram_yv,1.9401582883789874,0.16427282958161882
most_common_symbol,1.8337711708404267,0.1762969044047011
trans_prob_53,1.817038604639971,0.1782790125807205
trans_prob_52,1.8124695045442043,0.17882473486162298
ngram_x*,1.7232185581643211,0.18988389401185113
trans_26,1.7232185581643193,0.18988389401185113
trans_prob_55,1.672480777443733,0.1965261559178131
ngram_*v,1.65363560986549,0.1990624103037205
trans_21,1.6536356098654874,0.1990624103037205
trans_prob_18,1.63091879932867,0.20217111727556691
trans_40,1.6157634850073037,0.20427692225136207
ngram_vw,1.6157634850073037,0.20427692225136207
trans_prob_59,1.5700933971511934,0.21078146460556219
trans_62,1.398849713944988,0.23748061072853677
ngram_uy,1.3988497139449863,0.23748061072853677
trans_prob_36,1.3807690343252783,0.24053171454662306
trans_prob_14,1.3705945395629342,0.2422696558838449
trans_60,1.3531056361860352,0.2452929767557874
ngram_uz,1.3531056361860347,0.2452929767557874
count_*,1.3391110562378017,0.24774553901986396
