feature,ranking,selected
mean_symbol,1,True
symbol_dist_skew,1,True
symbol_dist_std,1,True
sample_entropy,1,True
normalized_entropy,1,True
shannon_entropy,1,True
run_length_entropy,1,True
std_run_length,1,True
most_common_pattern_4,1,True
most_common_pattern_3,1,True
trans_symmetry,1,True
trans_entropy,1,True
most_common_pattern_2,1,True
kurtosis,1,True
std_symbol,1,True
var_symbol,1,True
autocorr_lag1,1,True
skewness,1,True
gini_impurity,2,False
max_trans_to,3,False
recurrence_rate,4,False
pattern_diversity_2,5,False
avg_run_length,6,False
markov_property,7,False
change_rate,8,False
max_trans_from,9,False
self_transition_prob,10,False
pattern_diversity_3,11,False
percentile_75,12,False
percentile_50,13,False
percentile_25,14,False
max_run_length,15,False
most_common_pattern_freq_2,16,False
symbol_dist_mean,17,False
max_trans_prob,18,False
pattern_diversity_4,19,False
most_common_pattern_freq_3,20,False
most_common_pattern_freq_4,21,False
lempel_ziv_complexity,22,False
avg_diag_line,23,False
range_symbol,24,False
max_diag_line,25,False
max_symbol,26,False
diag_entropy,27,False
min_symbol,28,False
