ngram,importance
vxw,0.010192680287574734
y.x,0.009754110333873245
wxw,0.008788182682847208
wu*,0.007217544887385749
y*,0.0069914990099517295
wx,0.006878327480408548
.w,0.00641790670174765
zz,0.006221510189426608
u*w,0.006177129335880925
yu,0.0061129171081208715
wu,0.0059849508226812185
uyv,0.005747399864117646
wu.,0.0056707446673915805
*y,0.005281502775917095
zu,0.005174635948059447
yz,0.005152060537049745
x*v,0.005094743694008618
.u,0.00493781651517272
uz,0.0049103122163376926
u.x,0.004893541136371311
.v,0.004845339660293341
xzz,0.004808586922875174
u.,0.004762989024166711
.z,0.004750901134509511
vw,0.004599098682890568
zv,0.004595960563718045
xu,0.004505682324921874
v.,0.004493479046286121
**,0.0044648627709415415
uv,0.004389341727217201
