store_id,month,year,ad_spend_usd,sales_revenue_usd,is_holiday_month,foot_traffic,local_population,competitor_count,date,sales_per_traffic,ad_intensity
1,1,1,19862.28,509917.05,1,5121,36680,5,2001-01-01,99.57372583479788,0.03895198248420993
1,2,1,4540.95,215378.98,0,2279,46022,8,2001-01-02,94.50591487494516,0.02108353377845879
1,3,1,5119.94,234701.17,0,2458,52035,3,2001-01-03,95.48460943856794,0.021814718691006096
1,4,1,5205.0,228554.95,0,2987,38125,8,2001-01-04,76.51655507197857,0.022773516828228833
1,5,1,4074.88,235396.95,0,3151,44600,3,2001-01-05,74.70547445255475,0.017310674586055598
1,6,1,4408.9,226449.27,0,2738,41573,7,2001-01-06,82.70608838568297,0.019469702861042562
1,7,1,7536.0,260208.65,0,2946,48301,7,2001-01-07,88.32608621860149,0.02896137388207502
1,8,1,5508.96,241849.24,0,2595,38489,6,2001-01-08,93.19816570327552,0.02277848795390054
1,9,1,5546.27,242073.29,0,2754,38278,4,2001-01-09,87.89879811183734,0.02291153228842389
1,10,1,5072.09,236104.61,0,3017,39675,3,2001-01-10,78.25807424593967,0.021482384439676976
1,11,1,19854.12,525356.03,1,5087,51971,6,2001-01-11,103.27423432278357,0.037791742868165036
1,12,1,17252.41,491541.59,1,5115,50050,2,2001-01-12,96.09806256109482,0.03509857629748075
1,1,2,20591.69,521771.63,1,4811,39888,2,2001-02-01,108.45388276865516,0.0394649475288643
1,2,2,4228.88,229414.56,0,3187,31537,2,2001-02-02,71.98448697834955,0.01843335488383998
1,3,2,4595.31,226056.9,0,3034,50689,7,2001-02-03,74.5078773895847,0.020328112081515762
1,4,2,3338.56,207570.38,0,3143,43469,4,2001-02-04,66.04211899459116,0.016083990403640443
1,5,2,5808.12,230055.45,0,2432,48977,8,2001-02-05,94.59516858552632,0.02524660902404181
1,6,2,4628.86,230734.57,0,2863,50004,4,2001-02-06,80.59188613342648,0.020061406489716733
1,7,2,3406.89,210408.49,0,2535,42095,2,2001-02-07,83.00137672583826,0.01619178959936455
1,8,2,5478.88,236334.76,0,2612,45099,2,2001-02-08,90.48038284839204,0.023182709136819316
1,9,2,4788.58,219152.26,0,3066,44212,3,2001-02-09,71.4782322243966,0.021850470535873093
1,10,2,3491.66,205076.16,0,2221,34418,4,2001-02-10,92.33505628095453,0.017026162377918524
1,11,2,18411.96,505309.68,1,4637,41974,7,2001-02-11,108.97340521889153,0.03643698256483034
1,12,2,17727.09,488280.86,1,4626,43356,8,2001-02-12,105.55141807176827,0.036305109317616914
1,1,3,18908.9,513201.63,1,5336,31181,7,2001-03-01,96.17721701649175,0.036844972608524255
1,2,3,4276.15,213153.19,0,2221,45577,4,2001-03-02,95.97171994597028,0.02006139340443368
1,3,3,3928.08,219115.2,0,2808,57814,2,2001-03-03,78.03247863247864,0.01792700825866941
1,4,3,6119.59,248256.09,0,2887,55873,6,2001-03-04,85.99102528576377,0.024650311700309145
