timestamp_utc,asset_id,zone,vibration_rms_mm_s,peak_accel_g,bearing_temp_c,rpm,load_pct,quality_flag
2024-01-01 00:00:00,ASSET_001,DRIVE_END,2.05,1.7,66.6,1744,58.8,GOOD
2024-01-01 01:00:00,ASSET_001,DRIVE_END,1.99,1.25,67.4,1812,61.1,GOOD
2024-01-01 02:00:00,ASSET_001,DRIVE_END,2.07,1.38,65.9,1825,70.4,GOOD
2024-01-01 03:00:00,ASSET_001,DRIVE_END,2.15,1.87,63.7,1857,77.5,GOOD
2024-01-01 04:00:00,ASSET_001,DRIVE_END,1.98,1.62,66.2,1879,63.1,GOOD
2024-01-01 05:00:00,ASSET_001,DRIVE_END,1.98,1.55,64.6,1749,76.0,GOOD
2024-01-01 06:00:00,ASSET_001,DRIVE_END,2.16,1.73,64.9,1759,77.4,GOOD
2024-01-01 07:00:00,ASSET_001,DRIVE_END,2.08,1.73,66.5,1737,88.4,GOOD
2024-01-01 08:00:00,ASSET_001,DRIVE_END,1.96,1.46,67.4,1788,80.9,GOOD
2024-01-01 09:00:00,ASSET_001,DRIVE_END,2.06,1.49,65.7,1823,86.1,GOOD
2024-01-01 10:00:00,ASSET_001,DRIVE_END,1.96,1.61,66.1,1849,86.0,GOOD
2024-01-01 11:00:00,ASSET_001,DRIVE_END,1.96,1.37,68.1,1796,75.7,GOOD
2024-01-01 12:00:00,ASSET_001,DRIVE_END,2.03,1.71,66.0,1784,91.2,CHECK
2024-01-01 13:00:00,ASSET_001,DRIVE_END,1.82,1.11,69.4,1808,89.2,GOOD
2024-01-01 14:00:00,ASSET_001,DRIVE_END,1.84,1.68,66.4,1758,91.3,CHECK
2024-01-01 15:00:00,ASSET_001,DRIVE_END,1.95,1.66,62.9,1904,95.0,GOOD
2024-01-01 16:00:00,ASSET_001,DRIVE_END,1.91,1.58,66.7,1720,79.3,GOOD
2024-01-01 17:00:00,ASSET_001,DRIVE_END,2.04,1.83,66.2,1809,95.0,GOOD
2024-01-01 18:00:00,ASSET_001,DRIVE_END,1.92,1.87,67.5,1901,88.6,GOOD
2024-01-01 19:00:00,ASSET_001,DRIVE_END,1.87,1.7,66.6,1800,91.4,CHECK
2024-01-01 20:00:00,ASSET_001,DRIVE_END,2.16,1.36,65.4,1790,89.5,GOOD
2024-01-01 21:00:00,ASSET_001,DRIVE_END,1.99,1.34,63.8,1782,87.2,GOOD
2024-01-01 22:00:00,ASSET_001,DRIVE_END,2.02,1.49,65.3,1791,85.9,GOOD
2024-01-01 23:00:00,ASSET_001,DRIVE_END,1.87,1.5,64.3,1869,89.8,GOOD
2024-01-02 00:00:00,ASSET_001,DRIVE_END,1.96,1.67,64.7,1689,79.7,GOOD
2024-01-02 01:00:00,ASSET_001,DRIVE_END,2.03,1.48,66.5,1877,90.1,GOOD
2024-01-02 02:00:00,ASSET_001,DRIVE_END,1.9,1.56,68.1,1729,83.2,GOOD
2024-01-02 03:00:00,ASSET_001,DRIVE_END,2.06,1.49,66.2,1787,78.4,GOOD
2024-01-02 04:00:00,ASSET_001,DRIVE_END,1.96,1.45,63.8,1779,80.6,GOOD
2024-01-02 05:00:00,ASSET_001,DRIVE_END,1.99,1.31,66.3,1829,87.7,GOOD
2024-01-02 06:00:00,ASSET_001,DRIVE_END,1.96,1.38,67.4,1720,77.3,GOOD
2024-01-02 07:00:00,ASSET_001,DRIVE_END,2.21,1.5,64.7,1823,80.2,GOOD
2024-01-02 08:00:00,ASSET_001,DRIVE_END,2.02,1.42,65.4,1901,73.1,GOOD
2024-01-02 09:00:00,ASSET_001,DRIVE_END,1.92,1.74,65.6,1732,78.9,GOOD
2024-01-02 10:00:00,ASSET_001,DRIVE_END,2.11,1.49,64.5,1809,76.8,GOOD
2024-01-02 11:00:00,ASSET_001,DRIVE_END,1.9,2.05,66.5,1767,80.9,GOOD
