,monthly_avg,monthly_peak,monthly_min,monthly_std
2026-01-31,122.2194121875,127.17411,117.07509,2.1672555780519267
2026-02-28,119.77502394374999,124.6306278,114.7335882,2.1239487132106354
2026-03-31,117.33063569999999,122.08714559999999,112.3920864,2.0805653549298477
2026-04-30,114.88624745625,119.54366339999999,110.0505846,2.0372316564632835
2026-05-31,112.4418592125,117.0001812,107.70908280000002,1.9938751318077688
2026-06-30,116.10844157812501,120.8154045,111.2213355,2.0589043336596977
2026-07-31,128.330382796875,133.5328155,122.92884450000001,2.2756183569545203
2026-08-31,131.9969651625,137.3480388,126.4410972,2.340636024296076
2026-09-30,124.66380043125001,129.7175922,119.4165918,2.2106130740346246
2026-10-31,119.77502394375,124.6306278,114.7335882,2.1239104664908863
2026-11-30,117.33063569999999,122.08714559999999,112.3920864,2.0805770108561155
2026-12-31,123.44160630937499,128.4458511,118.2458409,2.1889281338324458
