Month,Peak Load (MW),Average Load (MW),Capacity Margin (MW),Capacity Margin (%)
January,127.17411,122.2194121875,37.643536560000015,22.839506172839513
February,124.6306278,119.77502394374999,40.187018760000015,24.382716049382726
March,122.0871456,117.33063569999999,42.730500960000015,25.92592592592593
April,119.5436634,114.88624745625,45.273983160000014,27.46913580246914
May,117.0001812,112.4418592125,47.817465360000014,29.012345679012352
June,120.8154045,116.10844157812501,44.002242060000015,26.69753086419754
July,133.5328155,128.330382796875,31.284831060000016,18.98148148148149
August,137.3480388,131.9969651625,27.469607760000002,16.666666666666664
September,129.7175922,124.66380043125,35.10005436,21.296296296296298
October,124.6306278,119.77502394375,40.187018760000015,24.382716049382726
November,122.0871456,117.3306357,42.730500960000015,25.92592592592593
December,128.4458511,123.44160630937499,36.371795460000016,22.06790123456791
