feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,label
0.6387,0.0678,-0.2449,1.6989,0.7637,-0.3797,1.3229,0.6645,0.7092,-0.0179,0.2568,1.6928,0.6432,1.3127,1.6403,1.6703,2.3389,0.1242,0.8461,0.4868,0.7696,-0.3226,0.8028,0.9691,-0.6811,0.6159,-0.3147,-0.4048,-0.7621,0.5507,-0.2859,1.0111,2
-0.5442,0.3137,-0.0513,1.9229,0.9455,-0.7493,0.8731,0.8324,0.2585,0.1597,0.6525,0.0536,-0.1505,-0.8144,0.9368,-1.238,-0.0129,0.3464,0.4833,-1.0738,-0.4065,-1.2108,-0.7037,0.965,-0.168,-0.5122,-0.8427,0.5076,0.0592,-0.3469,-0.2124,-0.9674,2
-0.9868,-0.1647,-0.6487,0.4991,-0.6954,0.4,2.374,-0.8505,-0.7149,1.3411,1.7256,0.5848,1.191,-0.1594,-0.2875,0.9948,-0.7368,0.2316,0.1351,-0.0827,0.4005,-3.1344,-0.4429,-1.6924,0.0378,-0.1483,0.1178,0.0908,1.1545,-0.8517,0.6961,0.6048,1
1.7868,0.936,-1.7291,0.1529,-0.9214,-1.0325,-1.0316,0.0253,0.9133,0.1334,-0.422,0.2132,-0.604,-0.9018,1.0185,-0.3466,-0.2251,0.3738,0.7206,-0.3394,-1.8044,0.8209,0.6332,-0.1025,0.5263,1.243,-1.107,0.7275,1.1481,-0.4392,-0.1446,0.5899,0
1.052,1.6167,0.8526,-1.2823,-0.1589,0.4175,2.2625,-1.1888,0.1278,-0.047,0.9521,-0.8589,-0.0118,-0.39,1.7399,1.0215,-1.1915,-1.4323,0.2448,-0.082,2.0655,1.3034,-0.8097,1.5561,0.4059,0.3573,2.0576,-1.2208,0.9692,-0.0145,-0.0862,-0.8846,3
-0.2406,-0.7043,0.1132,-0.6449,-0.2064,0.4026,-1.3436,-0.2652,-0.1511,-1.2644,-0.4525,-0.55,-0.1844,0.3112,1.3253,-0.7669,-0.8493,-0.0721,0.8122,1.7361,0.4471,0.6045,1.7099,0.6813,-0.7509,-0.3828,-0.5275,1.0625,0.8856,0.1396,0.3872,-0.0518,2
-1.2618,-0.094,0.582,-0.3285,-0.6528,-1.4984,-1.0032,-0.3366,0.1734,0.8189,1.3156,-1.6638,-0.358,0.2358,-1.1154,-0.8923,0.5967,-1.059,-1.0318,-0.6036,1.7423,-0.4549,0.3397,0.7079,0.6695,-0.2649,1.9021,0.4975,0.2112,-0.1272,1.4959,-1.5963,3
1.1235,0.6612,-0.3362,-0.2101,-0.5315,2.0797,1.3378,-0.869,0.2462,-0.9328,0.6425,-0.8903,0.4741,-0.2471,0.145,1.5007,1.2077,0.3041,-1.0165,-0.9255,1.0446,-0.4371,0.261,-0.9273,-0.1526,-0.7306,-0.1038,-0.6969,-1.8003,-0.6531,0.5647,-1.1577,3
-0.1887,-0.265,0.5703,1.4741,-2.0194,-0.6237,0.2236,-0.3336,1.193,0.3818,-0.381,-0.3211,1.5317,-0.1202,-1.3652,0.7285,-0.3879,-0.8009,1.0279,-1.4505,-1.5466,1.5789,1.3804,-1.3235,-0.7363,0.7066,-0.477,-0.65,-0.067,-0.6557,-0.2383,0.2079,2
-0.1442,0.2644,0.7738,-1.9254,-0.1005,-0.7354,-0.4146,-0.1248,-0.2625,1.1374,-0.0079,-1.4488,-1.0042,-0.751,0.2465,-1.4202,0.185,2.9106,0.602,1.7679,1.3888,-0.1573,0.2181,-0.2241,-0.3852,-0.9915,-0.291,-1.5028,-0.9257,-1.0591,0.2391,-1.3097,2
-0.4761,0.6909,0.8194,0.5095,-0.0782,-0.749,0.5359,0.1072,-0.0084,2.0553,1.3151,0.7757,-1.1138,-0.3794,-1.5347,0.6916,0.9853,-1.2301,1.7323,0.6558,-1.0475,-0.8569,-0.7126,0.665,-0.5879,0.8146,0.2006,1.4927,1.1968,-0.4439,-1.4996,-0.1907,3
-0.4952,1.6297,0.2517,-1.2061,0.3027,0.4516,0.6933,-1.6094,-0.6541,0.5142,2.9663,-0.8638,1.178,0.8824,-0.7873,-1.7773,0.1684,0.1985,0.6498,0.1356,0.8708,-0.9661,2.2904,-0.7422,1.1504,0.5549,-0.4002,0.2524,-0.0272,0.6287,0.5821,2.3412,1
