store_id,date,sales_revenue_usd,lag_sales,avg_roas,roas_std,current_policy_budget,performance_budget,equal_budget,hybrid_budget,perf_change_pct,hybrid_change_pct
1,2001-03-12,486225.31,517924.43,,,14290.321587283293,,14123.60378811983,,,
2,2001-03-12,511430.52,515062.25,,,14211.349694336111,,14123.60378811983,,,
3,2001-03-12,530198.6,556448.5,,,15353.259184474862,,14123.60378811983,,,
4,2001-03-12,539182.47,497604.1,,,13729.652822421747,,14123.60378811983,,,
5,2001-03-12,520409.72,514797.51,,,14204.04511567969,,14123.60378811983,,,
6,2001-03-12,489240.66,506433.4,,,13973.266618339043,,14123.60378811983,,,
7,2001-03-12,534668.87,492852.53,,,13598.549789988065,,14123.60378811983,,,
8,2001-03-12,537641.49,495165.2,,,13662.35986750316,,14123.60378811983,,,
9,2001-03-12,510972.55,527318.98,,,14549.53148913676,,14123.60378811983,,,
10,2001-03-12,505606.38,513227.67,,,14160.730845988683,,14123.60378811983,,,
11,2001-03-12,503676.06,517680.74,,,14283.597810095172,,14123.60378811983,,,
12,2001-03-12,501447.93,478152.3,,,13192.94811928288,,14123.60378811983,,,
13,2001-03-12,520076.11,523989.49,,,14457.665803593323,,14123.60378811983,,,
14,2001-03-12,534674.96,517911.16,,,14289.955447830356,,14123.60378811983,,,
15,2001-03-12,482712.86,487760.52,,,13458.053500933573,,14123.60378811983,,,
16,2001-03-12,507978.56,542183.04,,,14959.653478347956,,14123.60378811983,,,
17,2001-03-12,526357.06,507707.89,,,14008.431732986706,,14123.60378811983,,,
18,2001-03-12,525540.54,526946.67,,,14539.258890815494,,14123.60378811983,,,
19,2001-03-12,537613.76,513823.88,,,14177.181185343316,,14123.60378811983,,,
20,2001-03-12,519053.61,485333.73,,,13391.094679306249,,14123.60378811983,,,
21,2001-03-12,480910.37,488418.9,,,13476.219205004794,,14123.60378811983,,,
22,2001-03-12,527287.03,497709.07,,,13732.549104138016,,14123.60378811983,,,
23,2001-03-12,519148.62,509214.12,,,14049.990906174218,,14123.60378811983,,,
24,2001-03-12,506710.36,482273.94,,,13306.670426351908,,14123.60378811983,,,
25,2001-03-12,508560.2,537072.88,,,14818.656403229348,,14123.60378811983,,,
26,2001-03-12,488213.34,479444.87,,,13228.612088588354,,14123.60378811983,,,
27,2001-03-12,528458.47,494156.03,,,13634.515334592754,,14123.60378811983,,,
28,2001-03-12,523214.02,483818.62,,,13349.290493432822,,14123.60378811983,,,
29,2001-03-12,497182.29,513209.08,,,14160.217919656347,,14123.60378811983,,,
30,2001-03-12,523229.64,494486.03,,,13643.620535758499,,14123.60378811983,,,
31,2001-03-12,496756.04,517400.28,,,14275.859492765037,,14123.60378811983,,,
32,2001-03-12,543780.09,498591.87,,,13756.906896832315,,14123.60378811983,,,
33,2001-03-12,524733.49,507556.0,,,14004.240857213783,,14123.60378811983,,,
34,2001-03-12,480802.3,545393.71,,,15048.24073964135,,14123.60378811983,,,
35,2001-03-12,476682.35,500081.12,,,13797.997566032573,,14123.60378811983,,,
36,2001-03-12,510218.72,505861.36,,,13957.483165991003,,14123.60378811983,,,
37,2001-03-12,524559.58,527623.25,,,14557.926760526763,,14123.60378811983,,,
38,2001-03-12,512182.0,522576.08,,,14418.667675170067,,14123.60378811983,,,
39,2001-03-12,479999.35,509068.67,,,14045.97771978162,,14123.60378811983,,,
40,2001-03-12,505600.11,513302.59,,,14162.798002568496,,14123.60378811983,,,
41,2001-03-12,524517.51,506112.96,,,13964.425192091918,,14123.60378811983,,,
42,2001-03-12,540403.88,520915.6,,,14372.852510225535,,14123.60378811983,,,
43,2001-03-12,475919.1,511899.27,,,14124.07827256876,,14123.60378811983,,,
44,2001-03-12,516680.85,517662.7,,,14283.100059098113,,14123.60378811983,,,
45,2001-03-12,511569.07,545896.38,,,15062.110168338273,,14123.60378811983,,,
46,2001-03-12,514945.35,512614.9,,,14143.823591084645,,14123.60378811983,,,
47,2001-03-12,513826.6,532246.94,,,14685.501389551127,,14123.60378811983,,,
48,2001-03-12,491766.93,527489.7,,,14554.241913206504,,14123.60378811983,,,
49,2001-03-12,499714.68,481690.85,,,13290.582087722409,,14123.60378811983,,,
50,2001-03-12,526087.24,534342.53,,,14743.321900190287,,14123.60378811983,,,
51,2001-03-12,505760.49,517604.17,,,14281.485127509533,,14123.60378811983,,,
52,2001-03-12,497609.87,509896.1,,,14068.807770086383,,14123.60378811983,,,
53,2001-03-12,519110.71,493671.96,,,13621.159108143354,,14123.60378811983,,,
54,2001-03-12,518742.41,513960.01,,,14180.937218781779,,14123.60378811983,,,
55,2001-03-12,506023.99,491745.57,,,13568.007082465541,,14123.60378811983,,,
56,2001-03-12,511858.65,500445.54,,,13808.052467271422,,14123.60378811983,,,
57,2001-03-12,512222.67,509051.82,,,14045.512802691794,,14123.60378811983,,,
58,2001-03-12,515528.3,482042.93,,,13300.296509620699,,14123.60378811983,,,
59,2001-03-12,490831.46,529389.79,,,14606.668281942928,,14123.60378811983,,,
60,2001-03-12,528578.36,506877.21,,,13985.51201024622,,14123.60378811983,,,
61,2001-03-12,510082.1,504822.17,,,13928.8103356897,,14123.60378811983,,,
62,2001-03-12,498736.22,508118.58,,,14019.76329379507,,14123.60378811983,,,
63,2001-03-12,476347.08,506975.11,,,13988.21321992539,,14123.60378811983,,,
64,2001-03-12,504776.01,515195.52,,,14215.026816031139,,14123.60378811983,,,
65,2001-03-12,509007.0,491495.4,,,13561.104512236347,,14123.60378811983,,,
66,2001-03-12,528992.19,540198.2,,,14904.888728403057,,14123.60378811983,,,
67,2001-03-12,538057.69,509761.85,,,14065.103608703046,,14123.60378811983,,,
68,2001-03-12,505687.1,491901.27,,,13572.303081924652,,14123.60378811983,,,
69,2001-03-12,504428.67,507291.64,,,13996.946763334461,,14123.60378811983,,,
70,2001-03-12,493933.66,506064.72,,,13963.094177230596,,14123.60378811983,,,
71,2001-03-12,475757.89,485560.98,,,13397.364851927205,,14123.60378811983,,,
72,2001-03-12,477601.52,515604.41,,,14226.308712105869,,14123.60378811983,,,
73,2001-03-12,491773.64,499374.9,,,13778.511883707506,,14123.60378811983,,,
74,2001-03-12,511382.17,510040.21,,,14072.783983843947,,14123.60378811983,,,
75,2001-03-12,499501.81,530012.32,,,14623.844830069322,,14123.60378811983,,,
76,2001-03-12,517613.48,523888.24,,,14454.872162326561,,14123.60378811983,,,
77,2001-03-12,513627.06,510974.04,,,14098.549771736694,,14123.60378811983,,,
78,2001-03-12,497404.5,532682.92,,,14697.530739867012,,14123.60378811983,,,
79,2001-03-12,530501.73,498173.13,,,13745.353224298548,,14123.60378811983,,,
80,2001-03-12,502155.74,501171.17,,,13828.073700974148,,14123.60378811983,,,
81,2001-03-12,552740.79,502428.92,,,13862.776933599042,,14123.60378811983,,,
82,2001-03-12,496358.79,517932.98,,,14290.557494768043,,14123.60378811983,,,
83,2001-03-12,500233.93,463242.41,,,12781.561610770394,,14123.60378811983,,,
84,2001-03-12,521055.97,507846.23,,,14012.24874368146,,14123.60378811983,,,
85,2001-03-12,511885.51,511614.6,,,14116.223794944965,,14123.60378811983,,,
86,2001-03-12,518591.9,539269.89,,,14879.275245693445,,14123.60378811983,,,
87,2001-03-12,499263.1,506351.86,,,13971.016805905541,,14123.60378811983,,,
88,2001-03-12,496110.83,482921.95,,,13324.550006374373,,14123.60378811983,,,
89,2001-03-12,487581.98,491484.69,,,13560.80900707124,,14123.60378811983,,,
90,2001-03-12,532320.5,513442.58,,,14166.660539269078,,14123.60378811983,,,
91,2001-03-12,523338.88,520530.39,,,14362.223981313244,,14123.60378811983,,,
92,2001-03-12,528077.27,506610.2,,,13978.144798842386,,14123.60378811983,,,
93,2001-03-12,508530.87,529342.41,,,14605.360995787676,,14123.60378811983,,,
94,2001-03-12,507430.87,533407.86,,,14717.532935421843,,14123.60378811983,,,
95,2001-03-12,452836.83,536107.74,,,14792.0267248866,,14123.60378811983,,,
96,2001-03-12,532354.67,521282.72,,,14382.981908564832,,14123.60378811983,,,
97,2001-03-12,508024.28,517227.42,,,14271.090022845308,,14123.60378811983,,,
98,2001-03-12,481503.72,507973.97,,,14015.773284278164,,14123.60378811983,,,
99,2001-03-12,526640.44,508066.65,,,14018.330466229805,,14123.60378811983,,,
100,2001-03-12,518546.77,521276.86,,,14382.820222265344,,14123.60378811983,,,
101,2001-03-12,492205.44,493435.17,,,13614.625712434152,,14123.60378811983,,,
102,2001-03-12,527537.57,497056.77,,,13714.551156500394,,14123.60378811983,,,
103,2001-03-12,506823.89,504554.2,,,13921.41663642793,,14123.60378811983,,,
104,2001-03-12,495144.79,481306.65,,,13279.98142624399,,14123.60378811983,,,
105,2001-03-12,509215.66,504873.07,,,13930.21474399072,,14123.60378811983,,,
106,2001-03-12,493660.04,518603.05,,,14309.04574369268,,14123.60378811983,,,
107,2001-03-12,493400.83,513826.24,,,14177.24630132741,,14123.60378811983,,,
108,2001-03-12,537047.68,506422.56,,,13972.967526276507,,14123.60378811983,,,
109,2001-03-12,532243.22,480044.53,,,13245.157618682446,,14123.60378811983,,,
110,2001-03-12,498075.13,503788.35,,,13900.28567184373,,14123.60378811983,,,
111,2001-03-12,529376.99,530550.06,,,14638.681893326499,,14123.60378811983,,,
112,2001-03-12,537166.68,525711.9,,,14505.18971128996,,14123.60378811983,,,
113,2001-03-12,487245.38,504902.89,,,13931.037523077879,,14123.60378811983,,,
114,2001-03-12,523585.95,527305.25,,,14549.152657585228,,14123.60378811983,,,
115,2001-03-12,527842.31,484433.42,,,13366.25375911979,,14123.60378811983,,,
116,2001-03-12,536000.88,492365.17,,,13585.102787442192,,14123.60378811983,,,
117,2001-03-12,506022.48,517437.63,,,14276.890035987888,,14123.60378811983,,,
118,2001-03-12,527505.84,504179.05,,,13911.0656781936,,14123.60378811983,,,
119,2001-03-12,515014.37,512847.63,,,14150.244965227988,,14123.60378811983,,,
120,2001-03-12,537213.88,528426.77,,,14580.097097619791,,14123.60378811983,,,
121,2001-03-12,504131.89,501142.22,,,13827.274926508242,,14123.60378811983,,,
122,2001-03-12,511144.12,536198.22,,,14794.523205497135,,14123.60378811983,,,
123,2001-03-12,520040.73,530717.0,,,14643.288021455617,,14123.60378811983,,,
124,2001-03-12,533691.09,559452.19,,,15436.135553231028,,14123.60378811983,,,
125,2001-03-12,494022.49,503711.47,,,13898.1644358873,,14123.60378811983,,,
126,2001-03-12,519688.85,507587.66,,,14005.11440469532,,14123.60378811983,,,
127,2001-03-12,506953.47,524432.35,,,14469.884983557751,,14123.60378811983,,,
128,2001-03-12,497937.15,518912.51,,,14317.584215064655,,14123.60378811983,,,
