date,unit,kwh_site,kwh_field,_merge
2024-01-01,T01,50,50,both
2024-01-01,T02,51,51,both
2024-01-01,T03,52,52,both
2024-01-02,T01,53,53,both
2024-01-02,T02,54,54,both
2024-01-02,T03,55,55,both
2024-01-03,T01,56,56,both
2024-01-03,T02,57,57,both
2024-01-03,T03,58,58,both
2024-01-04,T01,59,59,both
2024-01-04,T02,60,60,both
2024-01-04,T03,61,61,both
2024-01-05,T01,62,62,both
2024-01-05,T02,63,63,both
2024-01-05,T03,64,64,both
2024-01-06,T01,65,65,both
2024-01-06,T02,66,66,both
2024-01-06,T03,67,67,both
2024-01-07,T01,68,68,both
2024-01-07,T02,69,69,both
2024-01-07,T03,70,70,both
2024-01-08,T01,71,71,both
2024-01-08,T02,72,72,both
2024-01-08,T03,73,73,both
2024-01-09,T01,74,74,both
2024-01-09,T02,75,75,both
2024-01-09,T03,76,76,both
2024-01-10,T01,77,77,both
2024-01-10,T02,78,78,both
2024-01-10,T03,79,79,both
