timestamp_utc,asset_id,zone,vibration_rms_mm_s,peak_accel_g,bearing_temp_c,rpm,load_pct,quality_flag
2024-01-01T00:00:00,ASSET_001,B,2.199,5.272,63.2,1188,21.2,GOOD
2024-01-01T00:00:00,ASSET_002,C,1.906,4.884,61.1,1227,23.6,GOOD
2024-01-01T00:00:00,ASSET_003,D,4.194,8.122,69.6,1149,25.8,GOOD
2024-01-01T00:00:00,ASSET_004,A,2.126,5.692,63.3,1129,31.8,GOOD
2024-01-01T00:00:00,ASSET_005,B,1.54,4.501,60.9,1170,33.7,GOOD
2024-01-01T00:00:00,ASSET_006,C,1.883,4.224,63.6,1139,26.2,GOOD
2024-01-01T00:00:00,ASSET_007,D,2.937,7.822,67.6,1237,21.8,GOOD
2024-01-01T00:00:00,ASSET_008,A,9.57,19.935,101.9,1173,27.1,GOOD
2024-01-01T01:00:00,ASSET_001,B,1.548,2.495,60.5,1229,34.6,GOOD
2024-01-01T01:00:00,ASSET_002,C,2.355,4.799,61.3,1255,21.3,GOOD
2024-01-01T01:00:00,ASSET_003,D,4.944,13.995,75.4,1148,34.3,GOOD
2024-01-01T01:00:00,ASSET_004,A,1.97,5.232,69.1,1154,28.6,GOOD
2024-01-01T01:00:00,ASSET_005,B,1.432,4.099,61.7,1173,35.1,GOOD
2024-01-01T01:00:00,ASSET_006,C,1.402,2.712,60.5,1258,37.4,GOOD
2024-01-01T01:00:00,ASSET_007,D,5.097,10.078,78.3,1187,28.5,GOOD
2024-01-01T01:00:00,ASSET_008,A,1.853,2.799,56.5,1217,24.4,GOOD
2024-01-01T02:00:00,ASSET_001,B,2.181,4.969,63.1,1153,39.4,GOOD
2024-01-01T02:00:00,ASSET_002,C,2.562,5.753,63.2,1150,20.7,GOOD
2024-01-01T02:00:00,ASSET_003,D,3.473,9.94,69.9,1171,29.8,GOOD
2024-01-01T02:00:00,ASSET_004,A,1.831,4.594,60.1,1239,34.6,GOOD
2024-01-01T02:00:00,ASSET_005,B,2.562,4.19,68.1,1175,23.7,GOOD
2024-01-01T02:00:00,ASSET_006,C,2.369,5.962,64.4,1182,24.5,GOOD
2024-01-01T02:00:00,ASSET_007,D,4.429,12.867,72.8,1181,22.3,GOOD
2024-01-01T02:00:00,ASSET_008,A,1.646,3.105,62.8,1226,31.1,GOOD
2024-01-01T03:00:00,ASSET_001,B,1.87,5.331,61.4,1128,27.0,GOOD
2024-01-01T03:00:00,ASSET_002,C,2.476,7.009,66.1,1261,21.7,GOOD
2024-01-01T03:00:00,ASSET_003,D,14.664,36.591,127.5,1293,33.0,GOOD
2024-01-01T03:00:00,ASSET_004,A,2.19,4.063,65.8,1159,33.0,GOOD
2024-01-01T03:00:00,ASSET_005,B,2.329,4.778,67.9,1156,39.5,GOOD
2024-01-01T03:00:00,ASSET_006,C,1.674,4.095,60.9,1273,31.5,GOOD
2024-01-01T03:00:00,ASSET_007,D,4.501,6.915,73.3,1146,38.8,GOOD
2024-01-01T03:00:00,ASSET_008,A,2.193,4.507,64.4,1196,39.3,GOOD
2024-01-01T04:00:00,ASSET_001,B,1.661,3.282,57.8,1211,38.7,GOOD
2024-01-01T04:00:00,ASSET_002,C,1.502,2.471,60.1,1143,37.5,GOOD
2024-01-01T04:00:00,ASSET_003,D,4.866,9.443,78.9,1226,37.3,GOOD
2024-01-01T04:00:00,ASSET_004,A,2.206,4.967,64.7,1257,34.0,GOOD
2024-01-01T04:00:00,ASSET_005,B,1.874,3.075,63.4,1176,29.3,GOOD
2024-01-01T04:00:00,ASSET_006,C,2.033,4.851,61.7,1254,22.5,GOOD
2024-01-01T04:00:00,ASSET_007,D,3.428,5.58,71.0,1202,30.8,GOOD
2024-01-01T04:00:00,ASSET_008,A,1.739,5.155,57.1,1209,35.9,GOOD
2024-01-01T05:00:00,ASSET_001,B,13.15,36.214,118.0,1161,23.5,GOOD
2024-01-01T05:00:00,ASSET_002,C,2.665,6.192,67.7,1263,25.6,GOOD
2024-01-01T05:00:00,ASSET_003,D,4.302,9.16,77.3,1163,35.2,CHECK
2024-01-01T05:00:00,ASSET_004,A,1.488,2.335,59.5,1294,22.0,GOOD
2024-01-01T05:00:00,ASSET_005,B,1.482,3.109,59.7,1277,20.9,GOOD
2024-01-01T05:00:00,ASSET_006,C,2.529,5.703,66.0,1245,23.3,GOOD
2024-01-01T05:00:00,ASSET_007,D,3.838,11.17,71.8,1105,32.9,GOOD
2024-01-01T05:00:00,ASSET_008,A,2.512,7.316,65.9,1195,38.1,GOOD
2024-01-01T06:00:00,ASSET_001,B,1.805,4.996,61.9,1169,33.9,GOOD
2024-01-01T06:00:00,ASSET_002,C,1.858,4.835,60.5,1244,23.5,GOOD
2024-01-01T06:00:00,ASSET_003,D,2.57,5.169,62.9,1278,35.1,GOOD
2024-01-01T06:00:00,ASSET_004,A,1.824,4.119,60.6,1247,37.9,GOOD
2024-01-01T06:00:00,ASSET_005,B,1.892,5.535,60.7,1296,29.0,GOOD
2024-01-01T06:00:00,ASSET_006,C,2.426,6.087,66.2,1233,35.8,GOOD
2024-01-01T06:00:00,ASSET_007,D,3.441,7.44,69.7,1185,22.3,GOOD
2024-01-01T06:00:00,ASSET_008,A,2.322,5.635,63.2,1210,36.4,GOOD
2024-01-01T07:00:00,ASSET_001,B,2.462,7.334,63.9,1167,21.7,GOOD
2024-01-01T07:00:00,ASSET_002,C,2.544,5.435,64.6,1200,29.4,GOOD
2024-01-01T07:00:00,ASSET_003,D,5.017,14.766,79.1,1128,37.4,GOOD
2024-01-01T07:00:00,ASSET_004,A,1.662,2.524,61.0,1249,39.9,GOOD
2024-01-01T07:00:00,ASSET_005,B,2.189,5.351,63.6,1178,32.6,GOOD
2024-01-01T07:00:00,ASSET_006,C,2.744,4.303,66.0,1249,32.4,GOOD
2024-01-01T07:00:00,ASSET_007,D,3.874,9.202,69.2,1104,36.3,GOOD
2024-01-01T07:00:00,ASSET_008,A,2.145,6.148,64.7,1274,28.4,GOOD
2024-01-01T08:00:00,ASSET_001,B,3.695,11.014,70.4,1215,77.6,GOOD
2024-01-01T08:00:00,ASSET_002,C,2.927,8.071,62.2,1155,75.5,GOOD
2024-01-01T08:00:00,ASSET_003,D,7.889,23.627,92.6,1276,88.9,GOOD
2024-01-01T08:00:00,ASSET_004,A,3.984,8.669,69.7,1227,83.4,GOOD
2024-01-01T08:00:00,ASSET_005,B,3.129,7.136,67.5,1206,87.0,GOOD
2024-01-01T08:00:00,ASSET_006,C,4.913,13.831,75.0,1187,70.6,GOOD
2024-01-01T08:00:00,ASSET_007,D,9.734,16.591,102.9,1113,78.7,GOOD
2024-01-01T08:00:00,ASSET_008,A,4.833,10.976,75.7,1267,82.4,GOOD
2024-01-01T09:00:00,ASSET_001,B,3.739,8.183,73.3,1200,76.6,GOOD
2024-01-01T09:00:00,ASSET_002,C,4.052,6.54,71.1,1224,76.9,GOOD
2024-01-01T09:00:00,ASSET_003,D,10.583,18.926,105.3,1159,71.8,GOOD
2024-01-01T09:00:00,ASSET_004,A,3.331,6.027,69.8,1086,83.8,GOOD
2024-01-01T09:00:00,ASSET_005,B,4.136,11.624,76.1,1243,85.0,GOOD
2024-01-01T09:00:00,ASSET_006,C,3.285,6.752,74.2,1184,77.4,GOOD
2024-01-01T09:00:00,ASSET_007,D,8.777,19.902,94.9,1151,78.9,GOOD
2024-01-01T09:00:00,ASSET_008,A,3.81,7.253,71.7,1198,76.4,GOOD
2024-01-01T10:00:00,ASSET_001,B,3.17,7.578,68.6,1253,80.0,GOOD
2024-01-01T10:00:00,ASSET_002,C,4.24,10.093,73.8,1279,72.6,GOOD
2024-01-01T10:00:00,ASSET_003,D,9.594,19.515,98.8,1201,74.7,GOOD
2024-01-01T10:00:00,ASSET_004,A,3.846,7.187,72.0,1179,75.7,GOOD
2024-01-01T10:00:00,ASSET_005,B,1.873,3.124,64.2,1220,87.3,GOOD
2024-01-01T10:00:00,ASSET_006,C,3.686,6.474,73.0,1210,81.1,GOOD
2024-01-01T10:00:00,ASSET_007,D,8.9,17.67,96.5,1214,74.8,GOOD
2024-01-01T10:00:00,ASSET_008,A,1.694,3.275,59.7,1213,79.6,GOOD
2024-01-01T11:00:00,ASSET_001,B,3.639,5.804,71.4,1170,83.6,GOOD
2024-01-01T11:00:00,ASSET_002,C,4.32,9.536,72.1,1148,88.6,GOOD
2024-01-01T11:00:00,ASSET_003,D,7.755,12.405,93.0,1224,86.8,GOOD
2024-01-01T11:00:00,ASSET_004,A,4.935,8.895,78.0,1184,86.3,GOOD
2024-01-01T11:00:00,ASSET_005,B,2.094,4.374,65.2,1187,77.5,GOOD
2024-01-01T11:00:00,ASSET_006,C,4.726,12.388,74.5,1201,88.0,GOOD
2024-01-01T11:00:00,ASSET_007,D,8.839,14.808,98.4,1208,76.7,GOOD
2024-01-01T11:00:00,ASSET_008,A,4.177,10.15,76.8,1204,85.8,GOOD
2024-01-01T12:00:00,ASSET_001,B,2.931,4.545,67.5,1275,87.5,GOOD
2024-01-01T12:00:00,ASSET_002,C,4.052,6.75,77.3,1178,73.0,GOOD
2024-01-01T12:00:00,ASSET_003,D,8.946,22.731,101.2,1118,76.9,GOOD
2024-01-01T12:00:00,ASSET_004,A,3.961,9.407,72.5,1084,88.9,GOOD
2024-01-01T12:00:00,ASSET_005,B,3.885,5.934,79.2,1289,88.4,GOOD
2024-01-01T12:00:00,ASSET_006,C,4.193,9.913,72.8,1294,84.7,GOOD
2024-01-01T12:00:00,ASSET_007,D,7.365,21.927,92.9,1327,78.0,GOOD
2024-01-01T12:00:00,ASSET_008,A,4.143,11.204,76.9,1084,88.4,GOOD
2024-01-01T13:00:00,ASSET_001,B,4.703,8.638,76.9,1144,73.5,GOOD
2024-01-01T13:00:00,ASSET_002,C,3.638,10.45,75.4,1108,82.6,CHECK
2024-01-01T13:00:00,ASSET_003,D,5.974,10.294,85.9,1160,89.9,GOOD
2024-01-01T13:00:00,ASSET_004,A,3.627,5.805,71.6,1234,88.0,GOOD
2024-01-01T13:00:00,ASSET_005,B,5.677,15.121,81.2,1269,78.8,GOOD
2024-01-01T13:00:00,ASSET_006,C,1.755,3.042,64.4,1187,88.9,GOOD
2024-01-01T13:00:00,ASSET_007,D,8.75,13.458,96.1,1224,83.2,GOOD
2024-01-01T13:00:00,ASSET_008,A,3.17,5.855,71.0,1193,73.6,GOOD
2024-01-01T14:00:00,ASSET_001,B,3.487,9.008,72.5,1212,77.9,GOOD
