date,vibration_rms_mm_s_mean,vibration_rms_mm_s_std,vibration_rms_mm_s_max,peak_accel_g_mean,peak_accel_g_max,readings_count
2024-01-01,4.396,4.676,33.455,9.886,81.142,192
2024-01-02,4.119,4.496,50.869,9.599,152.26,192
2024-01-03,4.188,4.405,43.046,9.313,90.897,192
2024-01-04,4.068,3.601,28.725,9.415,83.952,192
2024-01-05,4.055,4.538,43.407,9.314,109.571,192
2024-01-06,4.279,4.181,30.14,9.494,78.459,192
2024-01-07,5.033,7.017,49.926,11.518,111.103,192
2024-01-08,4.175,3.988,40.991,9.314,80.778,192
2024-01-09,4.582,5.216,50.659,10.489,141.632,192
2024-01-10,4.027,3.207,29.897,8.988,59.88,192
2024-01-11,4.737,6.329,46.431,10.203,94.993,192
2024-01-12,4.485,5.356,54.536,10.104,103.376,192
2024-01-13,4.235,4.899,44.412,9.479,108.536,192
2024-01-14,4.101,3.989,36.571,9.115,77.313,192
2024-01-15,4.551,5.417,42.684,10.176,106.754,192
2024-01-16,4.076,3.738,28.748,8.934,54.903,192
2024-01-17,4.724,6.263,55.94,10.782,133.596,192
2024-01-18,4.216,4.553,34.299,9.561,79.313,192
2024-01-19,4.346,4.179,31.789,9.473,85.297,192
2024-01-20,4.123,4.921,46.616,8.803,107.166,192
2024-01-21,3.733,2.339,20.098,8.415,48.948,192
2024-01-22,4.345,4.022,25.694,9.764,71.631,192
2024-01-23,4.722,6.366,64.56,11.09,188.53,192
2024-01-24,4.303,5.906,71.892,9.428,143.521,192
2024-01-25,3.854,3.646,37.671,8.578,74.489,192
2024-01-26,4.279,5.878,61.879,9.547,138.227,192
2024-01-27,4.247,4.088,31.483,9.925,69.57,192
2024-01-28,4.588,5.256,38.682,10.467,111.922,192
2024-01-29,4.375,5.729,63.621,9.91,170.662,192
2024-01-30,3.967,3.275,28.764,9.074,60.157,192
