,kwh_site,kwh_site,kwh_site,kwh_site,kwh_site,kwh_field,kwh_field,kwh_field,kwh_field,kwh_field
,mean,std,min,max,sum,mean,std,min,max,sum
date,,,,,,,,,,
2024-01-01,51.0,1.0,50,52,153,51.0,1.0,50,52,153
2024-01-02,54.0,1.0,53,55,162,54.0,1.0,53,55,162
2024-01-03,57.0,1.0,56,58,171,57.0,1.0,56,58,171
2024-01-04,60.0,1.0,59,61,180,60.0,1.0,59,61,180
2024-01-05,63.0,1.0,62,64,189,63.0,1.0,62,64,189
2024-01-06,66.0,1.0,65,67,198,66.0,1.0,65,67,198
2024-01-07,69.0,1.0,68,70,207,69.0,1.0,68,70,207
2024-01-08,72.0,1.0,71,73,216,72.0,1.0,71,73,216
2024-01-09,75.0,1.0,74,76,225,75.0,1.0,74,76,225
2024-01-10,78.0,1.0,77,79,234,78.0,1.0,77,79,234
