code,encoding,model_type,params,val_accuracy,test_accuracy,sota_accuracy,difference
ZOBKB,label,rf,"{'n_estimators': 50, 'max_depth': 10}",52.0,43.0,95.2,-52.2
ZOBKB,label,gb,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.01}",61.0,47.5,95.2,-47.7
ZOBKB,label,lr,{'C': 0.01},51.0,53.5,95.2,-41.7
ZOBKB,label,mlp,"{'hidden_layer_sizes': (50,), 'alpha': 0.001}",51.0,48.0,95.2,-47.2
ZOBKB,onehot,rf,"{'n_estimators': 50, 'max_depth': 10}",61.0,48.5,95.2,-46.7
ZOBKB,onehot,gb,"{'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.01}",55.00000000000001,52.0,95.2,-43.2
ZOBKB,onehot,lr,{'C': 0.1},59.0,49.5,95.2,-45.7
ZOBKB,onehot,mlp,"{'hidden_layer_sizes': (50, 50), 'alpha': 0.0001}",56.00000000000001,44.5,95.2,-50.7
NUFES,label,rf,"{'n_estimators': 50, 'max_depth': 20}",47.0,48.0,94.8,-46.8
NUFES,label,gb,"{'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.1}",49.0,45.0,94.8,-49.8
NUFES,label,lr,{'C': 0.01},40.0,53.0,94.8,-41.8
NUFES,label,mlp,"{'hidden_layer_sizes': (50,), 'alpha': 0.0001}",48.0,46.5,94.8,-48.3
NUFES,onehot,rf,"{'n_estimators': 100, 'max_depth': 20}",44.0,49.0,94.8,-45.8
NUFES,onehot,gb,"{'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.01}",45.0,44.5,94.8,-50.3
NUFES,onehot,lr,{'C': 0.1},41.0,40.5,94.8,-54.3
NUFES,onehot,mlp,"{'hidden_layer_sizes': (50, 50), 'alpha': 0.001}",52.0,43.5,94.8,-51.3
FDLOT,label,rf,"{'n_estimators': 50, 'max_depth': 20}",63.0,46.5,60.4,-13.899999999999999
FDLOT,label,gb,"{'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.1}",64.0,47.0,60.4,-13.399999999999999
FDLOT,label,lr,{'C': 0.01},53.0,44.5,60.4,-15.899999999999999
FDLOT,label,mlp,"{'hidden_layer_sizes': (100,), 'alpha': 0.01}",60.0,51.0,60.4,-9.399999999999999
FDLOT,onehot,rf,"{'n_estimators': 100, 'max_depth': 10}",56.00000000000001,45.5,60.4,-14.899999999999999
FDLOT,onehot,gb,"{'n_estimators': 50, 'max_depth': 5, 'learning_rate': 0.1}",56.00000000000001,46.5,60.4,-13.899999999999999
FDLOT,onehot,lr,{'C': 0.1},53.0,48.5,60.4,-11.899999999999999
FDLOT,onehot,mlp,"{'hidden_layer_sizes': (100,), 'alpha': 0.0001}",56.00000000000001,45.5,60.4,-14.899999999999999
GAPFD,label,rf,"{'n_estimators': 100, 'max_depth': 10}",91.0,88.5,62.6,25.9
GAPFD,label,gb,"{'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.1}",84.0,87.5,62.6,24.9
GAPFD,label,lr,{'C': 0.01},56.00000000000001,55.50000000000001,62.6,-7.099999999999994
GAPFD,label,mlp,"{'hidden_layer_sizes': (50, 50), 'alpha': 0.01}",86.0,85.5,62.6,22.9
GAPFD,onehot,rf,"{'n_estimators': 50, 'max_depth': 10}",91.0,91.0,62.6,28.4
GAPFD,onehot,gb,"{'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.1}",88.0,89.5,62.6,26.9
GAPFD,onehot,lr,{'C': 0.1},56.00000000000001,54.50000000000001,62.6,-8.099999999999994
GAPFD,onehot,mlp,"{'hidden_layer_sizes': (50,), 'alpha': 0.0001}",90.0,89.5,62.6,26.9
