iter	Passed	Remaining
0	1	940
1	3	857
2	5	874
3	6	856
4	8	855
5	10	848
6	11	837
7	13	840
8	15	860
9	17	879
10	19	883
11	21	870
12	23	869
13	25	871
14	26	871
15	28	865
16	30	862
17	31	855
18	33	851
19	35	843
20	36	840
21	38	843
22	40	847
23	42	852
24	44	847
25	46	842
26	48	841
27	49	840
28	51	838
29	53	834
30	55	846
31	58	849
32	60	849
33	62	858
34	65	870
35	67	873
36	69	870
37	71	875
38	73	873
39	75	869
40	77	871
41	80	876
42	82	877
43	84	878
44	86	878
45	89	882
46	91	882
47	94	885
48	96	884
49	98	889
50	101	896
51	104	896
52	106	896
53	108	893
54	110	893
55	112	892
56	115	894
57	117	896
58	119	896
59	122	900
60	125	901
61	127	898
62	129	899
63	131	898
64	134	901
65	137	904
66	140	905
67	142	903
68	144	902
69	146	900
70	148	897
71	151	897
72	153	896
73	155	896
74	157	893
75	160	895
76	162	894
77	165	893
78	167	891
79	169	891
80	171	888
81	173	885
82	176	886
83	178	884
84	180	883
85	183	881
86	185	882
87	188	880
88	190	879
89	192	877
90	195	876
91	197	876
92	199	873
93	201	870
94	203	867
95	206	867
96	209	868
97	211	866
98	213	864
99	215	862
100	217	859
101	219	856
102	221	854
103	224	853
104	226	852
105	228	850
106	231	848
107	233	845
108	235	846
109	238	844
110	240	843
111	242	840
112	244	837
113	246	835
114	248	832
115	250	830
116	253	828
117	255	827
118	257	825
119	260	824
120	262	823
121	265	821
122	267	820
123	269	818
124	272	817
125	274	815
126	277	814
127	279	812
128	282	812
129	284	809
130	287	809
131	289	807
132	292	806
133	294	804
134	297	803
135	299	802
136	302	800
137	304	799
138	307	799
139	310	797
140	312	795
141	314	794
142	317	793
143	320	791
144	322	790
145	325	789
146	327	787
147	330	785
148	333	784
149	335	782
150	337	780
151	340	779
152	343	778
153	345	776
154	347	773
155	350	771
156	352	770
157	355	769
158	358	768
159	360	765
160	362	763
161	364	761
162	366	758
163	368	755
164	371	753
165	373	751
166	375	749
167	377	745
168	379	742
169	381	740
170	382	736
171	385	734
172	387	732
173	389	729
174	391	727
175	393	725
176	395	722
177	397	719
178	400	717
179	402	715
180	404	712
181	406	709
182	408	707
183	410	704
184	412	702
185	414	699
186	416	697
187	418	695
188	420	692
189	422	689
190	424	686
191	426	684
192	428	682
193	430	679
194	433	678
195	436	676
196	438	674
197	441	673
198	443	671
199	446	669
200	448	667
201	450	665
202	453	663
203	455	660
204	457	658
205	459	656
206	462	654
207	464	652
208	467	650
209	470	649
210	473	648
211	476	647
212	478	645
213	481	643
214	483	640
215	486	639
216	488	637
217	491	635
218	493	633
219	495	630
220	498	628
221	500	626
222	502	623
223	504	621
224	506	619
225	509	617
226	511	615
227	514	613
228	516	611
229	519	609
230	521	607
231	524	605
232	525	602
233	528	600
234	530	598
235	532	595
236	534	593
237	537	591
238	539	588
239	541	586
240	543	584
241	545	582
242	548	580
243	550	577
