Category,Model,Train Accuracy,Validation Accuracy,Test Accuracy
Basic Models,LogisticRegression,0.6115,0.528,0.493
Basic Models,RandomForest,1.0,0.504,0.518
Basic Models,SVM,0.918,0.518,0.498
Basic Models,MLP,1.0,0.496,0.516
Engineered Features,RandomForest,1.0,0.486,0.501
Engineered Features,GradientBoosting,0.7475,0.496,0.506
Engineered Features,SVM,0.882,0.5,0.516
Engineered Features,MLP,1.0,0.468,0.523
Sequence Models,LSTM,,,0.489
Sequence Models,Transformer,,,0.498
Rule-Based,RuleBased,0.4805,0.532,0.52
Final Models,XGBoost,1.0,0.482,0.495
Final Models,LightGBM,1.0,0.484,0.495
Final Models,CatBoost,0.68,0.538,0.479
Final Models,Ensemble,1.0,0.48,0.493
