store_id,current_ad_share,optimal_ad_share,current_profit,optimal_profit,profit_improvement
1,0.0338896159040036,0.023938562209187615,468673.05,466290.60531277896,-0.5083383154250121
2,0.03649341414557172,0.024068387127473386,492634.14,463305.356677154,-5.953461390809413
3,0.03524417803264812,0.028423762287695598,510587.02999999997,484455.45001065487,-5.117948254452352
4,0.039187619233844735,0.02491793266160679,519682.55,467737.2957759136,-9.995574071918792
5,0.03770465012544447,0.024087225050092847,500999.45999999996,462444.757635453,-7.695557668774124
6,0.03407478653659099,0.024488492232489986,471984.05,463783.2855195054,-1.7375088163455108
7,0.04257332309930518,0.025155915293300433,513686.5,461108.7814430565,-10.235370903643277
8,0.04301693656985588,0.025037359029694433,516341.0,460928.2010014635,-10.731822380662486
9,0.034398685971819186,0.023515917258508396,492833.47,485435.62572024955,-1.5010839827397326
10,0.036325496635830255,0.024167245204699952,486963.13,466103.0387101218,-4.283710614780667
11,0.03352859911303635,0.024326382317314658,486318.95,461157.4853352107,-5.1738606247585714
12,0.036571694834470106,0.025929158829061313,483961.08999999997,460354.877604158,-4.877708742213543
13,0.03830330642700486,0.023658387931742075,500005.57999999996,475201.66365177615,-4.960727907921309
14,0.03908191513000029,0.02393598859727377,514433.99999999994,476931.3604819002,-7.2900779338262485
15,0.03340620926023287,0.02542261176172697,466418.63,465942.4157854994,-0.10210017007695896
16,0.034952236794422775,0.023153029499651607,489028.05,465683.96447012457,-4.7735678004309605
17,0.03907599308728489,0.02443218623968426,506517.87000000005,458806.84666156943,-9.419415614779911
18,0.03848148428378909,0.02352732107522678,505262.85000000003,468235.70662252407,-7.328293259137489
19,0.04176857253111708,0.024131100112088178,516152.07,473475.0087748862,-8.268311551112022
20,0.037353451613593804,0.02554957019522093,500924.72,468010.1214843904,-6.570767462945246
21,0.036175770429850276,0.025381319653475388,463241.44,461169.0775797831,-0.44736119035829375
22,0.039660860510337896,0.024908454324735846,507547.46,467086.18503181613,-7.971919506440617
23,0.03865811890683628,0.024344801739841375,499463.36,459729.4044029498,-7.955329415364963
24,0.039611802371075665,0.025709611283162348,487606.62,469738.1143064425,-3.66453303967807
25,0.03459599375041987,0.02308463848012254,489979.63,467530.32963977224,-4.58168033643108
26,0.03417189550907073,0.025858308053542663,471829.80000000005,468372.5591057922,-0.7327305087995389
27,0.03918432402818194,0.025086643885701223,509095.3,482155.93505401025,-5.2916153313514664
28,0.039204423343607575,0.028559262974788033,504246.19,470850.2600189442,-6.622941460609903
29,0.035179833529056036,0.024164910688616054,479127.68,467059.45468662475,-2.518791089960663
30,0.04031436439164924,0.025108874578316693,503294.75,459723.44821453665,-8.65721364776075
31,0.037002995050563176,0.023961459825888008,477610.68,459139.3613326834,-3.86744255118344
32,0.043604280992387626,0.024874029229674733,522039.35,459563.01956011454,-11.967743512033229
33,0.03830276856149863,0.024426755444457847,505292.69,467602.9206391597,-7.458997548696048
34,0.03388205558879658,0.023066241004044096,462323.24,463803.206329776,0.3201150627374872
35,0.03370067240290935,0.02479304560446694,459829.27999999997,459317.36376757163,-0.11132745449100999
36,0.034785776086949986,0.02451922894684759,492621.93999999994,459769.9565416436,-6.668802339245457
37,0.03635463372775934,0.02349963691631083,505378.02999999997,485195.5669900228,-3.993537869063519
38,0.038267117010024644,0.02373239067547651,492184.52,468434.17621630157,-4.825495889976071
39,0.03425127301587819,0.024353403406121948,462563.1,467008.8942397374,0.9611216804231558
40,0.0352605078419729,0.024150896192556306,487500.8,475022.85423628805,-2.55957441787007
41,0.037292406027302674,0.0245016006921029,505643.34,471979.3846623191,-6.65764832138023
42,0.03948956414436427,0.023799552069730008,519833.15,465123.7665160771,-10.524412204939782
43,0.03191913127752653,0.02421938553862695,459579.72,462269.76397164736,0.5853269529924846
44,0.039077549918122366,0.02394748124492967,496451.86,462826.57840435905,-6.773120277088081
45,0.0357104584573358,0.022991132181052077,492074.86,469284.9548224283,-4.631389861610019
46,0.037571459588864854,0.024191939189519382,495685.66,471357.62550549564,-4.907956081381159
47,0.032545588707377074,0.023673039143170222,496504.31,474335.1871970352,-4.465041361466695
48,0.033908586271921524,0.023501361064506412,473880.5,464858.8326501472,-1.9037853108226224
49,0.038745847051070204,0.025742238376191034,481051.16,468221.48311884474,-2.6670088231686693
50,0.040234828397432636,0.02365238072107191,504588.06,462487.100195867,-8.343629812432143
