timestamp_utc,asset_id,zone,vibration_rms_mm_s,peak_accel_g,bearing_temp_c,rpm,load_pct,quality_flag
2024-01-01 00:00:00,ASSET_001,BEARING_A,2.878,13.703,65.1,1788,90.8,GOOD
2024-01-01 01:00:00,ASSET_001,BEARING_A,3.115,11.73,69.1,1777,70.3,GOOD
2024-01-01 02:00:00,ASSET_001,BEARING_A,2.816,10.471,63.0,1816,65.9,GOOD
2024-01-01 03:00:00,ASSET_001,BEARING_A,3.049,12.299,64.5,1773,76.1,GOOD
2024-01-01 04:00:00,ASSET_001,BEARING_A,3.342,12.882,69.0,1893,74.9,GOOD
2024-01-01 05:00:00,ASSET_001,BEARING_A,3.333,14.704,67.7,1810,55.4,GOOD
2024-01-01 06:00:00,ASSET_001,BEARING_A,3.721,15.201,73.8,1785,60.2,GOOD
2024-01-01 07:00:00,ASSET_001,BEARING_A,3.401,14.187,67.3,1816,71.1,GOOD
2024-01-01 08:00:00,ASSET_001,BEARING_A,3.327,14.326,72.2,1847,66.6,GOOD
2024-01-01 09:00:00,ASSET_001,BEARING_A,3.27,12.295,69.1,1745,63.0,GOOD
2024-01-01 10:00:00,ASSET_001,BEARING_A,3.146,14.163,69.0,1768,78.6,GOOD
2024-01-01 11:00:00,ASSET_001,BEARING_A,3.269,8.795,71.2,1804,72.0,GOOD
2024-01-01 12:00:00,ASSET_001,BEARING_A,2.704,11.301,66.8,1774,66.9,GOOD
2024-01-01 13:00:00,ASSET_001,BEARING_A,2.435,10.853,61.8,1774,80.1,GOOD
2024-01-01 14:00:00,ASSET_001,BEARING_A,2.196,8.423,58.0,1727,78.0,CHECK
2024-01-01 15:00:00,ASSET_001,BEARING_A,2.218,5.926,59.7,1780,72.1,GOOD
2024-01-01 16:00:00,ASSET_001,BEARING_A,2.077,6.209,55.7,1870,74.8,GOOD
2024-01-01 17:00:00,ASSET_001,BEARING_A,1.617,6.552,52.1,1767,75.0,GOOD
2024-01-01 18:00:00,ASSET_001,BEARING_A,1.809,6.854,55.6,1800,82.7,GOOD
2024-01-01 19:00:00,ASSET_001,BEARING_A,1.722,6.198,56.8,1870,88.9,GOOD
2024-01-01 20:00:00,ASSET_001,BEARING_A,1.936,8.636,59.6,1844,75.1,GOOD
2024-01-01 21:00:00,ASSET_001,BEARING_A,2.092,8.93,55.9,1831,73.4,GOOD
2024-01-01 22:00:00,ASSET_001,BEARING_A,2.265,9.689,61.6,1826,88.6,GOOD
2024-01-01 23:00:00,ASSET_001,BEARING_A,3.043,9.98,69.6,1865,66.3,GOOD
2024-01-02 00:00:00,ASSET_001,BEARING_A,2.872,13.235,66.0,1842,76.7,GOOD
2024-01-02 01:00:00,ASSET_001,BEARING_A,2.718,11.872,62.1,1762,63.7,GOOD
2024-01-02 02:00:00,ASSET_001,BEARING_A,3.246,14.508,67.5,1807,61.3,GOOD
2024-01-02 03:00:00,ASSET_001,BEARING_A,3.177,14.104,68.1,1860,80.4,GOOD
2024-01-02 04:00:00,ASSET_001,BEARING_A,3.181,12.67,66.7,1849,75.4,GOOD
